time,code,name,start_date,end_date,status,rows,reason
2026-06-18 21:29:51,000001,平安银行,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:51,000004,*ST国华,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:51,000007,全新好,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:51,000009,中国宝安,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:51,000006,深振业A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:51,000008,神州高铁,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:51,000002,万科A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:51,000010,*ST美丽,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000008,神州高铁,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:52,000010,*ST美丽,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:52,000002,万科A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:52,000011,深物业A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000009,中国宝安,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:52,000001,平安银行,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:52,000012,南玻A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000007,全新好,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:52,000014,沙河股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000016,*ST康佳A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000017,深中华A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000006,深振业A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:52,000019,深粮控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000020,深华发A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000004,*ST国华,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:52,000021,深科技,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:52,000011,深物业A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000012,南玻A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000016,*ST康佳A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000025,特力A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000014,沙河股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000026,飞亚达,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000017,深中华A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000027,深圳能源,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000028,国药一致,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000029,深深房A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000019,深粮控股,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000030,富奥股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000020,深华发A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000031,大悦城,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000021,深科技,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000032,深桑达A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000026,飞亚达,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000025,特力A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000028,国药一致,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000034,神州数码,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000029,深深房A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000027,深圳能源,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:53,000035,中国天楹,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000036,华联控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:53,000037,深南电A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000030,富奥股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000039,中集集团,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000031,大悦城,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000042,中洲控股,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000045,深纺织A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000032,深桑达A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000048,京基智农,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000034,神州数码,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000037,深南电A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000049,德赛电池,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000035,中国天楹,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000050,深天马A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000036,华联控股,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000055,方大集团,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000039,中集集团,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000056,*ST皇庭,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000042,中洲控股,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000058,深赛格,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:54,000045,深纺织A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:54,000059,华锦股份,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000048,京基智农,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000060,中金岭南,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000049,德赛电池,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000061,农产品,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000062,深圳华强,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000050,深天马A,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000055,方大集团,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000063,中兴通讯,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000056,*ST皇庭,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000065,北方国际,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000058,深赛格,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000066,中国长城,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000059,华锦股份,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000068,华控赛格,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000060,中金岭南,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000069,华侨城A,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000061,农产品,2026-06-18,2026-06-18,updated,1,
2026-06-18 21:29:55,000070,特发信息,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000078,ST海王,2026-06-18,2026-06-18,started,0,
2026-06-18 21:29:55,000062,深圳华强,2026-06-18,2026-06-18,updated,1,
