rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.86522407634531,81.09122815333465,688355,明志科技,bottom_area,2021-09-28,25.53,2021-09-27,25.03,1.9976028765481422,6.272473032361167,28.136663795578514,False,0.7498,2.0459,1,1,1,100.0,35.08474576271185,35.08474576271185,8.002397123451859,1.9976028765481422,历史1/1次成功; 当前距低点2.00%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
2,85.70388541260498,80.29806943584308,000532,华金资本,bottom_area,2021-09-28,12.21,2021-09-27,12.02,1.5806988352745532,7.487520798668888,32.998885172798225,False,0.6595,0.866,1,1,1,100.0,25.710014947683103,25.710014947683103,8.419301164725447,1.5806988352745532,历史1/1次成功; 当前距低点1.58%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
3,83.98706993312973,78.33137498813787,300340,科恒股份,confirmed_rebound,2021-09-28,16.62,2021-09-27,16.4,1.3414634146341613,10.548780487804882,28.321678321678323,False,-0.8353,4.0211,2,2,2,100.0,28.225331040342816,42.54473161033797,8.65853658536584,1.3414634146341613,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-0.84%; 状态confirmed_rebound; 底部未确认
4,83.6747018051443,78.46895640464126,300727,润禾材料,bottom_area,2021-09-28,28.7,2021-09-27,28.24,1.6288951841359804,8.356940509915026,27.534000513215297,False,-0.2433,2.0392,2,2,2,100.0,22.273319486404827,26.812499999999993,8.371104815864019,1.6288951841359804,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
5,83.24105193500131,75.94776901279009,001212,中旗新材,bottom_area,2021-09-28,31.74,2021-09-27,31.68,0.18939393939393537,3.1565656565656566,28.888888888888886,False,0.0946,2.4709,1,1,1,100.0,25.105307497893843,25.105307497893843,9.810606060606066,0.18939393939393537,历史1/1次成功; 当前距低点0.19%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
6,83.19122229431805,78.75692771084339,002114,罗平锌电,bottom_area,2021-09-28,8.17,2021-09-27,8.0,2.124999999999999,9.87499999999999,28.44364937388193,False,0.2454,4.026,1,1,1,100.0,24.096385542168683,24.096385542168683,7.875000000000002,2.124999999999999,历史1/1次成功; 当前距低点2.12%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
7,82.74820711336285,78.03656542719273,600331,宏达股份,bottom_area,2021-09-28,4.24,2021-09-28,4.16,1.9230769230769247,5.048076923076922,31.239669421487598,False,-1.8519,4.4333,1,1,1,100.0,40.221402214022135,40.221402214022135,8.076923076923077,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
8,79.40585243107344,74.09566323272794,688135,利扬芯片,bottom_area,2021-09-28,37.8,2021-09-17,37.29,1.3676588897827782,5.3901850362027295,29.641509433962266,False,-0.5263,2.9999,1,1,1,100.0,12.225405921680993,12.225405921680993,8.632341110217222,1.3676588897827782,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
9,79.32082214210014,76.13655856665812,601606,长城军工,bottom_area,2021-09-28,11.19,2021-09-27,10.88,2.8492647058823413,6.525735294117638,27.707641196013288,False,0.7201,0.7083,1,1,1,100.0,18.886462882096076,18.886462882096076,7.150735294117659,2.8492647058823413,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
10,78.48086596676178,72.96599430423257,600230,沧州大化,bottom_area,2021-09-28,17.2,2021-09-28,17.0,1.17647058823529,5.647058823529417,27.505330490405118,False,-4.7091,3.9514,1,1,1,100.0,14.02337228714524,14.02337228714524,8.82352941176471,1.17647058823529,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-4.71%; 状态bottom_area; 底部未确认
11,77.98154723887689,71.76609113191628,000426,兴业银锡,bottom_area,2021-09-28,7.84,2021-09-27,7.79,0.6418485237483931,8.729139922978185,28.988149498632637,False,-1.0101,2.8522,1,1,1,100.0,30.64250411861613,30.64250411861613,9.358151476251606,0.6418485237483931,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
12,77.8313371040804,71.2562333043483,603005,晶方科技,bottom_area,2021-09-28,43.49,2021-09-28,43.33,0.3692591737826072,2.6540503115624245,31.763779527559056,False,-0.7757,1.5559,1,1,1,100.0,24.55991516436903,24.55991516436903,9.630740826217393,0.3692591737826072,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
13,77.2943964273245,71.44980257656175,601127,赛力斯,bottom_area,2021-09-28,60.0,2021-09-28,59.48,0.8742434431741815,4.993275050437132,27.357107962872497,False,-3.9385,2.3952,2,2,2,100.0,25.33912702687572,27.74461028192372,9.125756556825818,0.8742434431741815,历史2/2次成功; 当前距低点0.87%; 最新日涨幅-3.94%; 状态bottom_area; 底部未确认
14,76.79708936057494,76.05985391646992,300688,创业黑马,confirmed_rebound,2021-09-28,29.3,2021-09-27,28.04,4.493580599144085,15.549215406562054,32.757793764988016,True,2.771,15.436,1,1,1,100.0,39.651707970529145,39.651707970529145,5.506419400855916,4.493580599144085,历史1/1次成功; 当前距低点4.49%; 最新日涨幅2.77%; 状态confirmed_rebound; 底部已确认
15,75.19317663330973,69.35904235922096,002127,南极电商,bottom_area,2021-09-28,6.61,2021-09-28,6.56,0.7621951219512304,2.286585365853664,30.874604847207593,False,-0.4518,2.4193,1,1,1,100.0,19.17659804983748,19.17659804983748,9.23780487804877,0.7621951219512304,历史1/1次成功; 当前距低点0.76%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
16,73.67014901045212,72.80867235284217,300521,爱司凯,bottom_area,2021-09-28,15.72,2021-09-28,15.06,4.382470119521913,5.245683930942889,27.21121314644756,False,0.5115,0.7479,1,1,1,100.0,19.788732394366214,19.788732394366214,5.617529880478088,4.382470119521913,历史1/1次成功; 当前距低点4.38%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
17,73.23092960276908,67.83137265377333,300566,激智科技,bottom_area,2021-09-28,22.65,2021-09-28,22.43,0.980829246544801,4.592064199732506,30.750231552948442,False,-1.9481,2.5356,1,1,1,100.0,13.643351268255191,13.643351268255191,9.0191707534552,0.980829246544801,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
18,71.94413986711106,66.19691791430046,688127,蓝特光学,bottom_area,2021-09-28,19.12,2021-09-28,19.0,0.6315789473684263,4.473684210526323,27.06333973128599,False,-3.1408,1.2577,1,1,1,100.0,10.789881259679916,10.789881259679916,9.368421052631575,0.6315789473684263,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
19,71.82609486897665,71.36680355894383,000902,新洋丰,confirmed_rebound,2021-09-28,18.18,2021-09-27,17.37,4.663212435233153,11.85952792170408,29.733009708737857,False,1.3378,2.2541,1,1,1,100.0,25.693160813308673,25.693160813308673,5.336787564766848,4.663212435233153,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.34%; 状态confirmed_rebound; 底部未确认
20,70.2463493530136,69.39916886354226,002805,丰元股份,confirmed_rebound,2021-09-28,23.92,2021-09-27,22.92,4.363001745200698,11.692844677137868,27.924528301886788,False,-1.4827,3.9589,1,1,1,100.0,33.907595927956166,33.907595927956166,5.636998254799303,4.363001745200698,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-1.48%; 状态confirmed_rebound; 底部未确认
