rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.35666126184934,79.24113880955441,001212,中旗新材,bottom_area,2021-10-08,32.21,2021-09-30,31.58,1.994933502216601,2.75490816972769,29.11335578002245,False,1.4808,3.0202,1,1,1,100.0,25.105307497893843,25.105307497893843,6.005066497783399,1.994933502216601,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
2,80.93483687123776,78.82739012874332,000426,兴业银锡,bottom_area,2021-10-08,7.81,2021-09-29,7.61,2.6281208935610945,4.862023653088043,30.628988149498632,False,0.0,1.7917,1,1,1,100.0,30.64250411861613,30.64250411861613,5.3718791064389055,2.6281208935610945,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,80.88995426419156,79.1314769975787,688355,明志科技,bottom_area,2021-10-08,25.2,2021-09-29,24.5,2.857142857142854,4.163265306122447,29.658340511053687,False,2.7313,3.3893,1,1,1,100.0,35.08474576271185,35.08474576271185,5.142857142857146,2.857142857142854,历史1/1次成功; 当前距低点2.86%; 最新日涨幅2.73%; 状态bottom_area; 底部未确认
4,80.2770225198051,77.0324758546681,605589,圣泉集团,bottom_area,2021-10-08,30.2,2021-09-29,29.65,1.8549747048903904,5.160202360876901,28.69167869167869,False,0.9696,4.522,1,1,1,100.0,11.515151515151507,11.515151515151507,6.14502529510961,1.8549747048903904,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
5,78.29447603550643,76.40414992828883,300516,久之洋,bottom_area,2021-10-08,29.36,2021-09-30,28.58,2.7291812456263163,4.268719384184753,27.590575120344567,False,1.5917,0.4653,1,1,1,100.0,18.853135313531354,18.853135313531354,5.270818754373684,2.7291812456263163,历史1/1次成功; 当前距低点2.73%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
6,78.21995692763889,76.01867981877616,001202,炬申股份,bottom_area,2021-10-08,16.3,2021-09-29,15.9,2.5157232704402537,2.7044025157232574,27.6944065484311,False,1.5576,1.4458,1,1,1,100.0,14.164133738601837,14.164133738601837,5.484276729559746,2.5157232704402537,历史1/1次成功; 当前距低点2.52%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
7,77.9732582106084,76.70973883292203,300727,润禾材料,bottom_area,2021-10-08,27.83,2021-09-29,26.98,3.150481838398806,7.375833951074864,30.76725686425455,True,-2.2823,2.9241,2,2,2,100.0,22.273319486404827,26.812499999999993,4.849518161601194,3.150481838398806,历史2/2次成功; 当前距低点3.15%; 最新日涨幅-2.28%; 状态bottom_area; 底部已确认
8,77.52665821590242,73.86188588634963,603225,新凤鸣,bottom_area,2021-10-08,16.43,2021-10-08,16.19,1.4823965410747277,6.238418777022841,29.913419913419915,False,-1.3806,0.9701,1,1,1,100.0,12.375000000000004,12.375000000000004,6.517603458925272,1.4823965410747277,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
9,77.07951198512153,78.04589452840733,601127,赛力斯,bottom_area,2021-10-08,59.44,2021-09-29,56.8,4.647887323943664,7.323943661971838,30.630190522716173,True,0.101,1.2997,2,2,2,100.0,25.33912702687572,27.74461028192372,3.3521126760563362,4.647887323943664,历史2/2次成功; 当前距低点4.65%; 最新日涨幅0.10%; 状态bottom_area; 底部已确认
10,76.791327911672,74.44443553711217,002622,皓宸医疗,bottom_area,2021-10-08,4.72,2021-09-30,4.61,2.3861171366594234,7.158351409978309,29.294478527607353,True,-1.6667,3.9978,1,1,1,100.0,17.391304347826082,17.391304347826082,5.613882863340577,2.3861171366594234,历史1/1次成功; 当前距低点2.39%; 最新日涨幅-1.67%; 状态bottom_area; 底部已确认
11,75.55705601958904,74.11166303558461,605365,立达信,bottom_area,2021-10-08,18.91,2021-09-28,18.36,2.995642701525058,4.193899782135074,29.68211413251628,False,1.7761,2.3951,1,1,1,100.0,9.794238683127569,9.794238683127569,5.004357298474941,2.995642701525058,历史1/1次成功; 当前距低点3.00%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
