rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.8155313253777,81.09122815333465,688355,明志科技,bottom_area,2021-09-28,25.53,2021-09-27,25.03,1.9976028765481422,6.272473032361167,28.136663795578514,False,0.7498,2.0459,1,1,1,100.0,35.08474576271185,35.08474576271185,18.002397123451857,1.9976028765481422,历史1/1次成功; 当前距低点2.00%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
2,93.6087404053882,80.29806943584308,000532,华金资本,bottom_area,2021-09-28,12.21,2021-09-27,12.02,1.5806988352745532,7.487520798668888,32.998885172798225,False,0.6595,0.866,1,1,1,100.0,25.710014947683103,25.710014947683103,18.41930116472545,1.5806988352745532,历史1/1次成功; 当前距低点1.58%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
3,90.9030389612305,78.75692771084339,002114,罗平锌电,bottom_area,2021-09-28,8.17,2021-09-27,8.0,2.124999999999999,9.87499999999999,28.44364937388193,False,0.2454,4.026,1,1,1,100.0,24.096385542168683,24.096385542168683,17.875000000000004,2.124999999999999,历史1/1次成功; 当前距低点2.12%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
4,90.82147198013423,75.94776901279009,001212,中旗新材,bottom_area,2021-09-28,31.74,2021-09-27,31.68,0.18939393939393537,3.1565656565656566,28.888888888888886,False,0.0946,2.4709,1,1,1,100.0,25.105307497893843,25.105307497893843,19.810606060606066,0.18939393939393537,历史1/1次成功; 当前距低点0.19%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
5,90.40462485338932,78.03656542719273,600331,宏达股份,bottom_area,2021-09-28,4.24,2021-09-28,4.16,1.9230769230769247,5.048076923076922,31.239669421487598,False,-1.8519,4.4333,1,1,1,100.0,40.221402214022135,40.221402214022135,18.076923076923077,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
6,86.17623715517499,77.95985391646991,300688,创业黑马,bottom_area,2021-09-28,29.3,2021-09-27,28.04,4.493580599144085,15.549215406562054,32.757793764988016,True,2.771,15.436,1,1,1,100.0,39.651707970529145,39.651707970529145,15.506419400855917,4.493580599144085,历史1/1次成功; 当前距低点4.49%; 最新日涨幅2.77%; 状态bottom_area; 底部已确认
7,85.11238716129562,71.76609113191628,000426,兴业银锡,bottom_area,2021-09-28,7.84,2021-09-27,7.79,0.6418485237483931,8.729139922978185,28.988149498632637,False,-1.0101,2.8522,1,1,1,100.0,30.64250411861613,30.64250411861613,19.35815147625161,0.6418485237483931,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
8,84.93074521876748,71.2562333043483,603005,晶方科技,bottom_area,2021-09-28,43.49,2021-09-28,43.33,0.3692591737826072,2.6540503115624245,31.763779527559056,False,-0.7757,1.5559,1,1,1,100.0,24.55991516436903,24.55991516436903,19.630740826217394,0.3692591737826072,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
9,84.37745352274767,71.44980257656175,601127,赛力斯,bottom_area,2021-09-28,60.0,2021-09-28,59.48,0.8742434431741815,4.993275050437132,27.357107962872497,False,-3.9385,2.3952,2,2,2,100.0,25.33912702687572,27.74461028192372,19.12575655682582,0.8742434431741815,历史2/2次成功; 当前距低点0.87%; 最新日涨幅-3.94%; 状态bottom_area; 底部未确认
10,80.73856669416286,73.26680355894382,000902,新洋丰,bottom_area,2021-09-28,18.18,2021-09-27,17.37,4.663212435233153,11.85952792170408,29.733009708737857,False,1.3378,2.2541,1,1,1,100.0,25.693160813308673,25.693160813308673,15.33678756476685,4.663212435233153,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
11,79.00138677087475,71.29916886354226,002805,丰元股份,bottom_area,2021-09-28,23.92,2021-09-27,22.92,4.363001745200698,11.692844677137868,27.924528301886788,False,-1.4827,3.9589,1,1,1,100.0,33.907595927956166,33.907595927956166,15.636998254799304,4.363001745200698,历史1/1次成功; 当前距低点4.36%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
12,73.46651545104058,62.74478349415698,300340,科恒股份,bottom_area,2021-09-28,16.62,2021-09-27,16.4,1.3414634146341613,10.548780487804882,28.321678321678323,False,-0.8353,4.0211,1,2,1,50.0,42.54473161033797,42.54473161033797,18.65853658536584,1.3414634146341613,历史1/2次成功; 当前距低点1.34%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
13,68.9097184588544,59.163243980169966,300727,润禾材料,bottom_area,2021-09-28,28.7,2021-09-27,28.24,1.6288951841359804,8.356940509915026,27.534000513215297,False,-0.2433,2.0392,1,2,1,50.0,26.812499999999993,26.812499999999993,18.37110481586402,1.6288951841359804,历史1/2次成功; 当前距低点1.63%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
