rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.92154758035977,80.93785478926428,688289,圣湘生物,bottom_area,2022-01-24,55.58,2022-01-24,54.89,1.257059573692836,2.532337402076882,30.067524525417245,False,0.3249,1.4883,1,1,1,100.0,25.182530200451346,25.182530200451346,8.742940426307165,1.257059573692836,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
2,84.17064201033405,77.56902302913137,300484,蓝海华腾,bottom_area,2022-01-24,14.1,2022-01-21,14.0,0.7142857142857117,2.7857142857142896,31.773879142300192,False,0.2132,1.1044,2,2,2,100.0,23.589217514531214,28.708133971291865,9.285714285714288,0.7142857142857117,历史2/2次成功; 当前距低点0.71%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,81.81192261360627,76.81245607062932,300463,迈克生物,bottom_area,2022-01-24,28.27,2022-01-24,27.8,1.6906474820143842,3.920863309352517,27.301255230125527,False,-0.6676,2.9487,2,2,2,100.0,14.12436736355977,14.159515396264513,8.309352517985616,1.6906474820143842,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-0.67%; 状态bottom_area; 底部未确认
4,81.77180857158731,76.84263468794587,603230,内蒙新华,bottom_area,2022-01-24,16.4,2022-01-24,16.12,1.736972704714625,3.5980148883374587,29.576234163390126,False,-0.4854,11.9376,1,1,1,100.0,31.521142229544196,31.521142229544196,8.263027295285376,1.736972704714625,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
5,81.71362165767142,77.73640998406796,601798,蓝科高新,bottom_area,2022-01-24,7.74,2022-01-24,7.56,2.3809523809523894,3.8359788359788363,28.67924528301887,False,1.0444,1.8843,1,1,1,100.0,21.74721189591078,21.74721189591078,7.6190476190476115,2.3809523809523894,历史1/1次成功; 当前距低点2.38%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
6,81.69681057947321,75.9650734743012,001296,长江材料,bottom_area,2022-01-24,35.93,2022-01-24,35.51,1.1827654181920635,2.7597859757814813,29.262948207171323,False,-0.1944,7.9038,1,1,1,100.0,20.009562514941443,20.009562514941443,8.817234581807936,1.1827654181920635,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
7,81.0379401709402,76.57128205128207,601218,吉鑫科技,bottom_area,2022-01-24,5.04,2022-01-24,4.94,2.0242914979757014,2.8340080971659853,30.324400564174887,False,1.002,1.4221,1,1,1,100.0,11.111111111111114,11.111111111111114,7.9757085020242995,2.0242914979757014,历史1/1次成功; 当前距低点2.02%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
8,80.89492892159647,77.01981902891018,300567,精测电子,bottom_area,2022-01-24,57.48,2022-01-24,56.12,2.423378474697077,3.349964362081259,28.051282051282055,False,1.0726,1.28,1,1,1,100.0,18.414634146341452,18.414634146341452,7.576621525302923,2.423378474697077,历史1/1次成功; 当前距低点2.42%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
9,80.30980803281034,76.34591032537048,000625,长安汽车,bottom_area,2022-01-24,13.54,2022-01-24,13.23,2.3431594860166194,3.0990173847316713,27.467105263157887,False,0.4451,0.9347,1,1,1,100.0,13.808139534883724,13.808139534883724,7.656840513983382,2.3431594860166194,历史1/1次成功; 当前距低点2.34%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
10,79.66538918597743,75.113081232493,600418,江淮汽车,bottom_area,2022-01-24,13.86,2022-01-21,13.6,1.9117647058823513,3.0882352941176463,27.38921516284037,False,-0.1441,1.3479,1,1,1,100.0,24.365079365079367,24.365079365079367,8.088235294117649,1.9117647058823513,历史1/1次成功; 当前距低点1.91%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
11,79.41724594938317,75.9845950854116,688286,敏芯股份,bottom_area,2022-01-24,74.31,2022-01-24,72.37,2.680668785408315,3.012297913500059,32.04694835680751,False,1.102,1.0079,1,1,1,100.0,16.00279524807827,16.00279524807827,7.319331214591686,2.680668785408315,历史1/1次成功; 当前距低点2.68%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
