rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.43802353126551,77.54855609849571,600217,中再资环,bottom_area,2022-01-25,5.74,2022-01-25,5.68,1.056338028169023,5.281690140845083,28.643216080402013,False,-3.5294,1.3186,1,1,1,100.0,37.18820861678004,37.18820861678004,13.943661971830975,1.056338028169023,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
2,83.5475,72.65,002584,西陇科学,bottom_area,2022-01-25,9.0,2022-01-25,9.0,0.0,11.444444444444438,27.942353883106485,False,-9.8196,14.6463,1,1,1,100.0,68.08510638297875,68.08510638297875,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.82%; 状态bottom_area; 底部未确认
3,83.4426444289474,72.6867804482977,605162,新中港,bottom_area,2022-01-25,10.62,2022-01-25,10.61,0.0942507068802996,5.843543826578709,28.067796610169495,False,-5.0938,3.4011,2,2,2,100.0,22.428344408520275,26.46502835538753,14.9057492931197,0.0942507068802996,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
4,83.39068429146909,72.57716273671302,600391,航发科技,bottom_area,2022-01-25,21.36,2022-01-25,21.35,0.04683840749413588,6.79156908665105,27.67615176151761,False,-2.9532,2.3164,1,1,1,100.0,27.709431751611014,27.709431751611014,14.953161592505865,0.04683840749413588,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
5,82.72973503587816,72.53719273341133,300511,雪榕生物,bottom_area,2022-01-25,6.8,2022-01-25,6.77,0.4431314623338294,7.6809453471196525,30.061983471074385,False,-9.3333,8.3222,2,2,2,100.0,25.900712191034756,29.220779220779214,14.55686853766617,0.4431314623338294,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-9.33%; 状态bottom_area; 底部未确认
6,81.92301033328042,71.92789523767308,300491,通合科技,bottom_area,2022-01-25,15.58,2022-01-25,15.5,0.516129032258065,11.870967741935482,27.093132643461903,False,-10.2535,10.1535,2,2,2,100.0,23.51972812484664,27.26480836236933,14.483870967741936,0.516129032258065,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-10.25%; 状态bottom_area; 底部未确认
7,81.08712017557735,70.51053928311075,300658,延江股份,bottom_area,2022-01-25,10.11,2022-01-25,10.11,0.0,11.473788328387737,30.08298755186723,False,-8.4239,3.1581,2,2,2,100.0,21.830856360810415,26.72018348623853,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-8.42%; 状态bottom_area; 底部未确认
8,80.6153430612276,70.61098240178683,603348,文灿股份,bottom_area,2022-01-25,51.7,2022-01-25,51.5,0.38834951456311234,5.980582524271841,27.464788732394368,False,-4.3655,1.2179,1,1,1,100.0,31.539888682745836,31.539888682745836,14.611650485436886,0.38834951456311234,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
9,79.53918555022297,70.21778711484592,600418,江淮汽车,bottom_area,2022-01-25,13.71,2022-01-21,13.6,0.8088235294117736,5.3676470588235325,27.38921516284037,False,-1.0823,2.058,1,1,1,100.0,24.365079365079367,24.365079365079367,14.191176470588227,0.8088235294117736,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
10,79.33858117722261,69.01357676171514,300567,精测电子,bottom_area,2022-01-25,54.89,2022-01-25,54.88,0.018221574344019695,5.703352769679292,29.641025641025635,False,-4.5059,1.8922,1,1,1,100.0,18.414634146341452,18.414634146341452,14.981778425655982,0.018221574344019695,历史1/1次成功; 当前距低点0.02%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
11,78.94385388554645,68.85445510169346,600032,浙江新能,bottom_area,2022-01-25,12.4,2022-01-25,12.38,0.16155088852988345,6.300484652665585,32.052689352360034,False,-6.2736,4.5615,1,1,1,100.0,19.31608133086876,19.31608133086876,14.838449111470117,0.16155088852988345,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-6.27%; 状态bottom_area; 底部未确认
