rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.03860129034982,82.89510955302366,603368,柳药集团,bottom_area,2022-02-07,16.6,2022-01-28,16.3,1.8404907975460165,3.5582822085889463,30.282292557741652,False,1.0347,1.6471,1,1,1,100.0,42.85714285714285,42.85714285714285,8.159509202453984,1.8404907975460165,历史1/1次成功; 当前距低点1.84%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
2,86.1365782528923,80.86709746881783,300624,万兴科技,bottom_area,2022-02-07,40.99,2022-02-07,40.31,1.686926321012155,3.919622922351769,27.014303820387465,False,-0.8706,4.1483,2,2,2,100.0,35.87790043400834,51.195680123425035,8.313073678987845,1.686926321012155,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
3,84.88104277663852,79.0375833073654,300677,英科医疗,bottom_area,2022-02-07,53.17,2022-02-07,52.51,1.2569034469624905,2.609026852028194,29.516778523489933,False,0.5865,1.9835,1,1,1,100.0,14.964103045375621,14.964103045375621,8.74309655303751,1.2569034469624905,历史1/1次成功; 当前距低点1.26%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
4,84.05528512550654,78.70024660641765,000848,承德露露,bottom_area,2022-02-07,9.2,2022-01-28,9.06,1.5452538631346444,3.532008830022078,27.228915662650593,False,0.8772,1.0103,1,1,1,100.0,16.685082872928174,16.685082872928174,8.454746136865356,1.5452538631346444,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
5,82.58818120825974,79.4749553703057,603196,璞源材料,bottom_area,2022-02-07,7.25,2022-01-27,7.04,2.982954545454545,7.812499999999997,28.960645812310798,True,-1.7615,1.6837,3,3,3,100.0,18.419848031946557,22.85714285714286,7.017045454545457,2.982954545454545,历史3/3次成功; 当前距低点2.98%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
6,81.53052559950676,79.16365859365861,300511,雪榕生物,bottom_area,2022-02-07,6.89,2022-01-27,6.66,3.4534534534534465,4.654654654654649,31.198347107438014,False,0.2911,2.209,2,2,2,100.0,25.900712191034756,29.220779220779214,6.546546546546554,3.4534534534534465,历史2/2次成功; 当前距低点3.45%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
7,80.83267063166291,73.81602117882035,300447,全信股份,bottom_area,2022-02-07,16.99,2022-02-07,16.95,0.23598820058996547,8.908554572271395,28.117048346055977,False,-3.3011,6.879,2,2,2,100.0,30.236958474007892,30.328638497652584,9.764011799410035,0.23598820058996547,历史2/2次成功; 当前距低点0.24%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
8,79.23527263988706,74.1304934850703,688339,亿华通,bottom_area,2022-02-07,203.0,2022-02-07,199.99,1.5050752537626837,5.650282514125697,31.716061185468448,False,-2.9358,1.962,1,1,1,100.0,14.0971239981141,14.0971239981141,8.494924746237317,1.5050752537626837,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
9,79.03701059677383,77.39438543695688,300658,延江股份,bottom_area,2022-02-07,10.13,2022-01-27,9.75,3.8974358974359053,6.46153846153847,32.57261410788382,False,0.6958,1.4359,2,2,2,100.0,21.830856360810415,26.72018348623853,6.102564102564095,3.8974358974359053,历史2/2次成功; 当前距低点3.90%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
10,78.91386823362838,76.87113867444728,002342,巨力索具,bottom_area,2022-02-07,4.29,2022-01-28,4.14,3.6231884057971104,5.797101449275368,28.620689655172416,False,0.2336,1.9963,2,2,2,100.0,15.655958277767192,19.889502762430933,6.37681159420289,3.6231884057971104,历史2/2次成功; 当前距低点3.62%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
11,78.48181933873231,71.34710848975664,300672,国科微,bottom_area,2022-02-07,115.42,2022-02-07,115.42,0.0,9.166522266504936,30.297723292469353,False,-20.0028,2.6599,2,2,2,100.0,26.328540267508803,33.08187961653309,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态bottom_area; 底部未确认
12,78.34812478829502,75.3238984418756,688311,盟升电子,bottom_area,2022-02-07,56.14,2022-01-28,54.54,2.933626696002936,6.784011734506789,28.882514017472943,False,-2.3652,0.8286,2,2,2,100.0,21.357888756786508,23.893805309734503,7.066373303997064,2.933626696002936,历史2/2次成功; 当前距低点2.93%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
