rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.72629954667921,83.8175474131718,300624,万兴科技,bottom_area,2022-02-15,39.95,2022-02-14,39.08,2.2262026612077905,3.1473899692937666,29.24135433641137,False,0.6551,2.0677,2,2,2,100.0,35.87790043400834,51.195680123425035,5.7737973387922095,2.2262026612077905,历史2/2次成功; 当前距低点2.23%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
2,83.95586670375293,81.49633654688873,603368,柳药集团,bottom_area,2022-02-15,16.7,2022-01-28,16.3,2.453987730061341,6.871165644171786,30.282292557741652,False,1.5815,1.8443,1,1,1,100.0,42.85714285714285,42.85714285714285,5.546012269938659,2.453987730061341,历史1/1次成功; 当前距低点2.45%; 最新日涨幅1.58%; 状态bottom_area; 底部未确认
3,81.25992201554422,77.85598588833336,300677,英科医疗,bottom_area,2022-02-15,51.6,2022-02-14,50.7,1.7751479289940801,2.4457593688362818,31.94630872483221,False,0.8995,1.6288,1,1,1,100.0,14.964103045375621,14.964103045375621,6.22485207100592,1.7751479289940801,历史1/1次成功; 当前距低点1.78%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
4,81.1078775569955,77.36226838073105,688319,欧林生物,bottom_area,2022-02-15,27.66,2022-02-14,27.24,1.5418502202643236,3.3039647577092595,29.739489295847317,False,0.7283,1.2678,1,1,1,100.0,9.449929478138205,9.449929478138205,6.458149779735677,1.5418502202643236,历史1/1次成功; 当前距低点1.54%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
5,80.93308347075275,78.64562259750636,600211,西藏药业,bottom_area,2022-02-15,41.67,2022-01-28,40.65,2.5092250922509303,6.519065190651903,28.18021201413428,False,0.0,1.1309,2,2,2,100.0,11.541160257196122,13.252533280349695,5.49077490774907,2.5092250922509303,历史2/2次成功; 当前距低点2.51%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,79.25360911855412,75.24239763797371,300562,乐心医疗,bottom_area,2022-02-15,11.69,2022-02-14,11.54,1.2998266897747,3.5528596187175054,31.957547169811328,False,-1.0161,3.4465,1,1,1,100.0,17.559153175591536,17.559153175591536,6.700173310225301,1.2998266897747,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
7,77.52366139132894,77.60428922428923,300511,雪榕生物,confirmed_rebound,2022-02-15,6.93,2022-01-27,6.66,4.054054054054047,8.108108108108109,31.198347107438014,True,0.1445,2.6318,2,2,2,100.0,25.900712191034756,29.220779220779214,3.9459459459459527,4.054054054054047,历史2/2次成功; 当前距低点4.05%; 最新日涨幅0.14%; 状态confirmed_rebound; 底部已确认
8,75.82113934933795,74.16252909278023,688049,炬芯科技,bottom_area,2022-02-15,48.72,2022-02-14,47.37,2.8499050031665645,3.6732108929702383,31.645021645021647,False,2.1598,1.8414,1,1,1,100.0,8.281249999999996,8.281249999999996,5.150094996833436,2.8499050031665645,历史1/1次成功; 当前距低点2.85%; 最新日涨幅2.16%; 状态bottom_area; 底部未确认
9,75.53089514608128,72.44374973263814,000967,盈峰环境,bottom_area,2022-02-15,6.12,2022-01-28,6.01,1.8302828618968439,6.988352745424292,30.52023121387284,False,-0.8104,0.6716,1,1,1,100.0,9.015025041736227,9.015025041736227,6.169717138103156,1.8302828618968439,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
10,74.9119750317353,74.87382276535803,000848,承德露露,bottom_area,2022-02-15,9.42,2022-01-28,9.06,3.9735099337748276,7.174392935982343,27.228915662650593,True,2.3913,0.9254,1,1,1,100.0,16.685082872928174,16.685082872928174,4.026490066225173,3.9735099337748276,历史1/1次成功; 当前距低点3.97%; 最新日涨幅2.39%; 状态bottom_area; 底部已确认
11,74.28586456111697,74.66018264303298,603196,璞源材料,confirmed_rebound,2022-02-15,7.34,2022-01-27,7.04,4.261363636363634,10.227272727272723,28.960645812310798,True,-1.8717,1.2015,3,3,3,100.0,18.419848031946557,22.85714285714286,3.738636363636366,4.261363636363634,历史3/3次成功; 当前距低点4.26%; 最新日涨幅-1.87%; 状态confirmed_rebound; 底部已确认
12,74.28491827669535,75.36351537751112,688311,盟升电子,bottom_area,2022-02-15,56.68,2022-02-14,54.11,4.749584180373314,5.119201626316769,29.443212935193635,False,2.6626,0.952,2,2,2,100.0,21.357888756786508,23.893805309734503,3.2504158196266864,4.749584180373314,历史2/2次成功; 当前距低点4.75%; 最新日涨幅2.66%; 状态bottom_area; 底部未确认
13,74.05236466886662,73.69719745222933,000518,四环生物,confirmed_rebound,2022-02-15,3.32,2022-01-27,3.2,3.7499999999999893,8.4375,27.272727272727277,True,0.3021,0.9561,1,1,1,100.0,17.834394904458602,17.834394904458602,4.250000000000011,3.7499999999999893,历史1/1次成功; 当前距低点3.75%; 最新日涨幅0.30%; 状态confirmed_rebound; 底部已确认
14,73.38367979722268,72.28401478540536,001896,豫能控股,confirmed_rebound,2022-02-15,6.1,2022-01-27,5.91,3.214890016920465,8.121827411167505,31.833910034602077,True,-0.1637,0.5121,2,2,2,100.0,9.483677548301134,9.493670886075943,4.785109983079535,3.214890016920465,历史2/2次成功; 当前距低点3.21%; 最新日涨幅-0.16%; 状态confirmed_rebound; 底部已确认
15,73.15002878035833,73.29968939908498,002342,巨力索具,bottom_area,2022-02-15,4.31,2022-01-28,4.14,4.106280193236714,7.971014492753625,28.620689655172416,True,-0.2315,1.4557,2,2,2,100.0,15.655958277767192,19.889502762430933,3.8937198067632863,4.106280193236714,历史2/2次成功; 当前距低点4.11%; 最新日涨幅-0.23%; 状态bottom_area; 底部已确认
16,71.94863364309447,72.45554697554697,002022,科华生物,bottom_area,2022-02-15,13.15,2022-01-28,12.6,4.365079365079371,7.539682539682549,31.891891891891895,True,0.0,1.1712,1,1,1,100.0,8.483483483483475,8.483483483483475,3.634920634920629,4.365079365079371,历史1/1次成功; 当前距低点4.37%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
17,70.57519973677955,70.67382988126262,605086,龙高股份,bottom_area,2022-02-15,21.21,2022-01-28,20.38,4.072620215897949,7.7036310107949,27.31811697574893,True,-0.2821,2.3347,1,1,1,100.0,17.79249448123621,17.79249448123621,3.927379784102051,4.072620215897949,历史1/1次成功; 当前距低点4.07%; 最新日涨幅-0.28%; 状态bottom_area; 底部已确认
18,69.38486875879804,70.25273733637482,688020,方邦股份,bottom_area,2022-02-15,71.17,2022-02-14,68.01,4.646375533009846,4.646375533009846,27.363024671579613,False,1.4396,0.4644,1,1,1,100.0,9.28211586901762,9.28211586901762,3.3536244669901545,4.646375533009846,历史1/1次成功; 当前距低点4.65%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
