rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.15667040358744,71.44058295964126,000980,众泰汽车,bottom_area,2022-03-09,3.45,2022-03-09,3.45,0.0,4.637681159420281,31.1377245508982,False,-4.9587,1.2633,1,1,1,100.0,43.49775784753364,43.49775784753364,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.96%; 状态bottom_area; 底部未确认
2,77.94686800002569,74.09531892535752,603348,文灿股份,bottom_area,2022-03-09,36.85,2022-03-09,35.17,4.776798407733863,6.6249644583451754,30.00995024875622,False,1.5991,1.1925,1,1,1,100.0,31.539888682745836,31.539888682745836,10.223201592266138,4.776798407733863,历史1/1次成功; 当前距低点4.78%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
3,77.9208156703502,70.7354537488308,603156,养元饮品,bottom_area,2022-03-09,23.09,2022-03-09,22.57,2.303943287549843,6.335844040762072,28.801261829652997,False,-3.2272,0.2718,1,1,1,100.0,15.851851851851857,15.851851851851857,12.696056712450158,2.303943287549843,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
4,77.27015054650465,71.50998543239815,601966,玲珑轮胎,bottom_area,2022-03-09,21.98,2022-03-09,21.27,3.338034790785147,7.381288199341797,27.8493894165536,False,-1.7434,1.2821,1,1,1,100.0,22.476907287033857,22.476907287033857,11.661965209214852,3.338034790785147,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
5,75.89512400814873,69.6398132118716,688258,卓易信息,bottom_area,2022-03-09,28.94,2022-03-09,28.13,2.8794880910060514,8.425168858869538,27.649176954732518,False,-3.2431,2.6266,1,1,1,100.0,17.01637666325486,17.01637666325486,12.120511908993947,2.8794880910060514,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
6,73.51294927230316,69.1919729510166,600183,生益科技,bottom_area,2022-03-09,17.19,2022-03-09,16.49,4.2449969678593265,8.18677986658582,30.97530347425702,False,-2.2184,1.0215,1,1,1,100.0,21.132075471698116,21.132075471698116,10.755003032140673,4.2449969678593265,历史1/1次成功; 当前距低点4.24%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
7,72.07544781547948,67.60880034522441,601901,方正证券,bottom_area,2022-03-09,6.66,2022-03-09,6.4,4.0624999999999964,10.156249999999991,29.51541850220264,False,-4.8571,0.4499,1,1,1,100.0,20.598388952819345,20.598388952819345,10.937500000000004,4.0624999999999964,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-4.86%; 状态bottom_area; 底部未确认
8,71.40110803660025,67.8422741829574,603129,春风动力,bottom_area,2022-03-09,105.8,2022-03-09,101.0,4.75247524752475,7.920792079207921,29.360749755210513,False,-2.2,0.8288,1,1,1,100.0,20.09633197480549,20.09633197480549,10.24752475247525,4.75247524752475,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
9,70.46538535455241,67.08031395585421,605319,无锡振华,bottom_area,2022-03-09,15.12,2022-03-09,14.42,4.85436893203883,9.500693481276,31.169451073985677,False,-2.5773,6.0904,1,1,1,100.0,17.248790972595383,17.248790972595383,10.145631067961169,4.85436893203883,历史1/1次成功; 当前距低点4.85%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
10,70.0118456431962,65.99726544124054,688108,赛诺医疗,bottom_area,2022-03-09,6.51,2022-03-09,6.24,4.3269230769230695,8.493589743589732,32.54054054054053,False,-3.125,1.5417,1,1,1,100.0,15.175537938844846,15.175537938844846,10.67307692307693,4.3269230769230695,历史1/1次成功; 当前距低点4.33%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
11,58.40198895249345,53.87142292490119,603233,大参林,bottom_area,2022-03-09,31.32,2022-03-09,30.36,3.162055335968382,6.357048748353096,27.368421052631575,False,-1.9718,0.4618,1,2,1,50.0,17.155425219941353,17.155425219941353,11.837944664031617,3.162055335968382,历史1/2次成功; 当前距低点3.16%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
12,55.18544529661544,51.67472004186291,002111,威海广泰,bottom_area,2022-03-09,9.17,2022-03-09,8.82,3.968253968253964,7.482993197278913,31.415241057542765,False,-2.3429,1.232,1,2,1,50.0,15.227629513343796,15.227629513343796,11.031746031746035,3.968253968253964,历史1/2次成功; 当前距低点3.97%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
