rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.96985595186456,75.04077625917188,688075,安旭生物,confirmed_rebound,2022-03-16,226.13,2022-03-16,221.0,2.32126696832579,15.054298642533942,29.28,False,-6.0063,10.2523,2,2,2,100.0,32.75948896212185,40.134529147982065,7.67873303167421,2.32126696832579,历史2/2次成功; 当前距低点2.32%; 最新日涨幅-6.01%; 状态confirmed_rebound; 底部未确认
2,75.93989736101804,75.25623532260121,002222,福晶科技,bottom_area,2022-03-16,14.09,2022-03-16,13.48,4.525222551928779,4.970326409495549,27.056277056277057,False,2.8467,1.953,2,2,2,100.0,18.030874951606656,25.783972125435533,5.4747774480712215,4.525222551928779,历史2/2次成功; 当前距低点4.53%; 最新日涨幅2.85%; 状态bottom_area; 底部未确认
3,73.13007554836494,72.08943641960694,002749,国光股份,bottom_area,2022-03-16,8.59,2022-03-16,8.24,4.247572815533976,5.097087378640776,27.592267135325134,False,3.1212,0.9652,1,1,1,100.0,14.26829268292683,14.26829268292683,5.752427184466025,4.247572815533976,历史1/1次成功; 当前距低点4.25%; 最新日涨幅3.12%; 状态bottom_area; 底部未确认
4,72.42643740461375,71.5605963112468,688196,卓越新能,bottom_area,2022-03-16,61.16,2022-03-16,58.6,4.368600682593849,6.313993174061426,30.403800475059384,False,2.5142,3.3505,1,1,1,100.0,12.908633696563292,12.908633696563292,5.631399317406151,4.368600682593849,历史1/1次成功; 当前距低点4.37%; 最新日涨幅2.51%; 状态bottom_area; 底部未确认
5,72.28422977165818,71.88486938617939,601598,中国外运,bottom_area,2022-03-16,3.78,2022-03-16,3.61,4.709141274238225,4.986149584487539,30.57692307692308,False,3.2787,3.5637,1,1,1,100.0,18.82640586797067,18.82640586797067,5.290858725761776,4.709141274238225,历史1/1次成功; 当前距低点4.71%; 最新日涨幅3.28%; 状态bottom_area; 底部未确认
6,71.22912778091197,70.62556117290193,605288,凯迪股份,bottom_area,2022-03-16,42.71,2022-03-16,40.85,4.553243574051407,5.018359853121169,28.333333333333332,False,2.055,3.8172,1,1,1,100.0,10.144927536231874,10.144927536231874,5.446756425948594,4.553243574051407,历史1/1次成功; 当前距低点4.55%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
7,70.10433352663556,70.02893225368408,300483,首华燃气,bottom_area,2022-03-16,14.86,2022-03-16,14.16,4.943502824858752,6.56779661016949,31.75903614457831,False,1.0884,5.2478,1,1,1,100.0,11.721068249258165,11.721068249258165,5.056497175141248,4.943502824858752,历史1/1次成功; 当前距低点4.94%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
8,69.42708334553284,68.85829539556487,688256,寒武纪,bottom_area,2022-03-16,65.01,2022-03-16,62.17,4.568119671867466,8.557181920540442,29.74347383885184,False,-1.5298,1.6473,1,1,1,100.0,23.298969072164944,23.298969072164944,5.431880328132534,4.568119671867466,历史1/1次成功; 当前距低点4.57%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
9,58.360215662062096,57.9398320227801,000037,深南电A,bottom_area,2022-03-16,6.34,2022-03-16,6.06,4.620462046204625,5.280528052805286,28.45336481700119,False,2.2581,1.042,1,2,1,50.0,34.43271767810025,34.43271767810025,5.379537953795375,4.620462046204625,历史1/2次成功; 当前距低点4.62%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
10,57.516850729978685,56.36395171757377,603353,和顺石油,bottom_area,2022-03-16,19.8,2022-03-16,19.05,3.937007874015748,4.934383202099726,27.151051625239,False,1.227,4.0075,1,2,1,50.0,17.582417582417577,17.582417582417577,6.062992125984253,3.937007874015748,历史1/2次成功; 当前距低点3.94%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
11,56.75109640951786,56.35718116401161,605169,洪通燃气,bottom_area,2022-03-16,14.45,2022-03-16,13.81,4.634322954380875,5.3584359160028985,27.506561679790025,False,2.9936,7.0431,1,2,1,50.0,26.09375,26.09375,5.365677045619126,4.634322954380875,历史1/2次成功; 当前距低点4.63%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
12,53.65720858409884,53.48327922077923,000968,蓝焰控股,bottom_area,2022-03-16,7.38,2022-03-16,7.04,4.829545454545452,7.812499999999997,31.517509727626454,False,0.6821,2.8178,1,2,1,50.0,13.035714285714295,13.035714285714295,5.1704545454545485,4.829545454545452,历史1/2次成功; 当前距低点4.83%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
