rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.49776870005219,81.28259066913958,300447,全信股份,bottom_area,2022-04-15,14.4,2022-04-15,14.12,1.9830028328611982,3.399433427762043,28.902316213494462,False,-1.6393,2.7078,3,3,3,100.0,25.074393161629644,30.328638497652584,6.016997167138801,1.9830028328611982,历史3/3次成功; 当前距低点1.98%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
2,83.39859153945022,79.62648211232516,688288,鸿泉技术,bottom_area,2022-04-15,20.4,2022-04-15,20.08,1.5936254980079698,4.183266932270933,29.64260686755431,False,-2.6718,1.3116,2,2,2,100.0,28.064237891308274,41.992882562277565,6.406374501992031,1.5936254980079698,历史2/2次成功; 当前距低点1.59%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
3,83.38848614431562,82.24203917758264,300724,捷佳伟创,bottom_area,2022-04-15,58.25,2022-04-15,56.4,3.280141843971634,5.088652482269511,31.94980694980695,False,0.0687,2.9471,3,3,3,100.0,23.660013880849316,30.55368319691865,4.719858156028367,3.280141843971634,历史3/3次成功; 当前距低点3.28%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
4,83.38736064396714,80.31187620091593,300648,星云股份,bottom_area,2022-04-15,35.41,2022-04-15,34.7,2.046109510086437,3.6887608069164095,28.4683570397856,False,-2.1553,1.5727,3,3,3,100.0,20.62906389200542,26.78362573099414,5.953890489913563,2.046109510086437,历史3/3次成功; 当前距低点2.05%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
5,83.00160591949005,78.73151045563682,300490,华自科技,bottom_area,2022-04-15,12.11,2022-04-15,11.96,1.254180602006677,5.769230769230765,30.586186883343004,False,-3.506,2.6087,2,2,2,100.0,29.306678646301293,32.06349206349206,6.745819397993323,1.254180602006677,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-3.51%; 状态bottom_area; 底部未确认
6,82.46617664186371,78.22079897470269,300631,久吾高科,bottom_area,2022-04-15,27.49,2022-04-15,27.15,1.2523020257826882,3.8674033149171296,31.370070778564212,False,-2.5523,2.264,2,2,2,100.0,16.322836524124767,23.04347826086956,6.747697974217312,1.2523020257826882,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
7,82.22922044875308,78.40377742376239,605186,健麾信息,bottom_area,2022-04-15,24.66,2022-04-15,24.29,1.5232606010704035,4.363935776039532,27.922848664688438,False,-2.4911,1.502,1,1,1,100.0,37.29468599033817,37.29468599033817,6.476739398929597,1.5232606010704035,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
8,81.0878117943789,77.10443291671947,000863,三湘印象,bottom_area,2022-04-15,3.67,2022-04-15,3.62,1.3812154696132548,7.458563535911603,31.047619047619047,False,-4.6753,5.1487,2,2,2,100.0,22.116151545363905,25.588235294117638,6.618784530386746,1.3812154696132548,历史2/2次成功; 当前距低点1.38%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
9,80.90439566733866,77.547063957192,002014,永新股份,bottom_area,2022-04-15,6.8,2022-04-14,6.68,1.7964071856287442,5.838323353293422,30.777202072538866,False,0.4431,0.8395,1,1,1,100.0,13.563829787234038,13.563829787234038,6.203592814371256,1.7964071856287442,历史1/1次成功; 当前距低点1.80%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
10,80.11140334570345,76.03076482833463,603123,翠微股份,bottom_area,2022-04-15,15.8,2022-04-15,15.6,1.282051282051289,6.2179487179487225,27.777777777777786,False,-5.8964,7.1223,2,2,2,100.0,15.128181459201945,16.108452950558224,6.717948717948712,1.282051282051289,历史2/2次成功; 当前距低点1.28%; 最新日涨幅-5.90%; 状态bottom_area; 底部未确认
11,79.88038465473142,76.08705882352939,000889,中嘉博创,bottom_area,2022-04-15,3.45,2022-04-15,3.4,1.4705882352941255,4.411764705882351,31.863727454909824,False,-3.0899,4.3368,1,1,1,100.0,34.408602150537625,34.408602150537625,6.529411764705875,1.4705882352941255,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
12,79.38071901448501,74.35303743551229,300387,富邦科技,confirmed_rebound,2022-04-15,8.4,2022-04-15,8.35,0.5988023952095893,11.856287425149702,27.39130434782609,False,-8.7948,11.4831,2,2,2,100.0,47.78659621822667,50.883392226148395,7.4011976047904104,0.5988023952095893,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-8.79%; 状态confirmed_rebound; 底部未确认
13,79.11626794299212,74.80802886626688,688225,亚信安全,bottom_area,2022-04-15,20.42,2022-04-15,20.2,1.0891089108911012,3.3663366336633653,28.647121158601202,False,-2.5298,2.8505,1,1,1,100.0,12.640845070422536,12.640845070422536,6.910891089108899,1.0891089108911012,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
14,78.92739154563412,74.5147128209082,002531,天顺风能,bottom_area,2022-04-15,11.01,2022-04-15,10.9,1.0091743119266001,4.403669724770646,30.661577608142494,False,-2.9956,2.2902,1,1,1,100.0,10.084033613445389,10.084033613445389,6.9908256880734,1.0091743119266001,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
15,78.437053943308,74.46878577008044,300424,航新科技,bottom_area,2022-04-15,11.68,2022-04-15,11.53,1.3009540329575053,3.902862098872516,27.025316455696206,False,-2.5042,1.5407,1,1,1,100.0,13.413768630234213,13.413768630234213,6.699045967042496,1.3009540329575053,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
16,78.39843240089252,74.5674444301683,002218,拓日新能,bottom_area,2022-04-15,4.36,2022-04-15,4.3,1.395348837209314,3.2558139534883854,27.118644067796616,False,-1.3575,1.1751,1,1,1,100.0,15.10128913443831,15.10128913443831,6.604651162790686,1.395348837209314,历史1/1次成功; 当前距低点1.40%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
17,77.59049817063033,73.82466839600484,300620,光库科技,bottom_area,2022-04-15,28.7,2022-04-15,28.3,1.4134275618374508,3.07420494699647,27.473090722706306,False,-2.0143,1.0654,1,1,1,100.0,11.32947976878613,11.32947976878613,6.586572438162549,1.4134275618374508,历史1/1次成功; 当前距低点1.41%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
18,76.9801586266717,75.87446913484501,688185,康希诺,confirmed_rebound,2022-04-15,190.11,2022-04-14,184.13,3.2477054255145923,9.162005105088799,31.798651751981634,False,0.0053,2.8214,2,2,2,100.0,15.909879059238028,19.236097367900253,4.752294574485408,3.2477054255145923,历史2/2次成功; 当前距低点3.25%; 最新日涨幅0.01%; 状态confirmed_rebound; 底部未确认
19,76.82993657364847,71.13883016078562,603129,春风动力,bottom_area,2022-04-15,91.41,2022-04-15,91.41,0.0,3.2600371950552502,27.944190446161127,False,-2.2039,0.407,2,2,2,100.0,14.993710541858189,20.09633197480549,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
20,76.63705111849491,73.84254946769515,603026,石大胜华,bottom_area,2022-04-15,112.99,2022-04-15,110.7,2.0686540198735246,4.336043360433601,28.210116731517505,False,-1.8332,2.5029,1,1,1,100.0,19.457422758100996,19.457422758100996,5.931345980126475,2.0686540198735246,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
21,76.56821016128532,71.55402288745431,605589,圣泉集团,bottom_area,2022-04-15,25.15,2022-04-15,25.03,0.4794246903715439,3.316020775069909,28.892045454545457,False,-1.8345,1.8895,2,2,2,100.0,10.844683771513038,11.515151515151507,7.520575309628456,0.4794246903715439,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
22,75.54200547700059,72.7807979060823,002747,埃斯顿,bottom_area,2022-04-15,15.33,2022-04-15,15.02,2.0639147802929463,3.8615179760319576,28.916232844297205,False,-2.4809,1.4544,1,1,1,100.0,13.690987124463508,13.690987124463508,5.936085219707054,2.0639147802929463,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
23,75.47011992594696,72.4202891689591,603335,迪生力,bottom_area,2022-04-15,5.49,2022-04-15,5.39,1.855287569573294,4.823747680890551,28.985507246376812,False,-2.6596,2.6426,1,1,1,100.0,9.195402298850583,9.195402298850583,6.144712430426706,1.855287569573294,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
24,74.69933162707598,69.99908416318354,002104,恒宝股份,bottom_area,2022-04-15,9.71,2022-04-15,9.65,0.6217616580310932,4.663212435233153,32.658757850662944,False,-5.1758,11.1983,2,2,2,100.0,14.444627653195827,20.260223048327138,7.378238341968907,0.6217616580310932,历史2/2次成功; 当前距低点0.62%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
25,74.62998273317358,70.1329106029106,002482,广田集团,bottom_area,2022-04-15,2.62,2022-04-15,2.6,0.7692307692307698,3.8461538461538494,29.347826086956523,False,-2.963,2.814,1,1,1,100.0,23.423423423423422,23.423423423423422,7.230769230769231,0.7692307692307698,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-2.96%; 状态bottom_area; 底部未确认
26,74.58462502316881,75.53533841534971,300393,中来股份,bottom_area,2022-04-15,13.03,2022-04-15,12.45,4.658634538152611,5.702811244979927,32.26332970620239,False,1.4798,4.7846,2,2,2,100.0,21.166801948051944,23.89610389610389,3.34136546184739,4.658634538152611,历史2/2次成功; 当前距低点4.66%; 最新日涨幅1.48%; 状态bottom_area; 底部未确认
27,74.56127425746392,69.66857638314681,300435,中泰股份,bottom_area,2022-04-15,14.9,2022-04-15,14.83,0.47201618341200463,4.1807147673634475,31.878732200275607,False,-3.6223,2.1796,1,1,1,100.0,27.498781082398814,27.498781082398814,7.527983816587995,0.47201618341200463,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
28,74.52377910323996,70.10745064026575,300339,润和软件,bottom_area,2022-04-15,15.9,2022-04-15,15.77,0.8243500317057754,4.311984781230182,29.282511210762337,False,-4.9611,4.5093,2,2,2,100.0,17.510584476101712,25.615763546798025,7.175649968294224,0.8243500317057754,历史2/2次成功; 当前距低点0.82%; 最新日涨幅-4.96%; 状态bottom_area; 底部未确认
29,74.51136515161537,72.10663863638914,688107,安路科技,bottom_area,2022-04-15,41.02,2022-04-15,40.1,2.294264339152124,6.558603491271809,30.09065550906555,False,-2.1002,1.9062,1,1,1,100.0,12.890114675569741,12.890114675569741,5.705735660847877,2.294264339152124,历史1/1次成功; 当前距低点2.29%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
30,74.3827422947925,75.55154574132494,000537,绿发电力,confirmed_rebound,2022-04-15,13.29,2022-04-15,12.68,4.810725552050469,10.252365930599375,28.84399551066218,False,2.1522,1.1696,1,1,1,100.0,310.7981220657277,310.7981220657277,3.1892744479495314,4.810725552050469,历史1/1次成功; 当前距低点4.81%; 最新日涨幅2.15%; 状态confirmed_rebound; 底部未确认
31,74.1226479041202,73.17841035120148,000788,北大医药,confirmed_rebound,2022-04-15,9.3,2022-04-15,9.0,3.333333333333341,8.333333333333332,30.17843289371606,False,1.087,9.0368,1,1,1,100.0,19.13123844731978,19.13123844731978,4.666666666666659,3.333333333333341,历史1/1次成功; 当前距低点3.33%; 最新日涨幅1.09%; 状态confirmed_rebound; 底部未确认
32,73.71899235566916,71.68953181167575,001266,宏英智能,bottom_area,2022-04-15,37.02,2022-04-15,36.1,2.5484764542936333,5.013850415512452,30.45655942978231,False,-0.1618,8.9138,1,1,1,100.0,13.763753373468953,13.763753373468953,5.451523545706367,2.5484764542936333,历史1/1次成功; 当前距低点2.55%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
33,73.4469899683995,68.7108340112688,002825,纳尔股份,bottom_area,2022-04-15,15.03,2022-04-15,14.95,0.5351170568561878,5.4180602006689,29.24751538097492,False,-5.2333,3.3903,1,1,1,100.0,23.123123123123136,23.123123123123136,7.464882943143812,0.5351170568561878,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
34,72.74007781014431,68.13142535448269,002178,延华智能,bottom_area,2022-04-15,5.05,2022-04-15,5.02,0.5976095617529931,4.183266932270933,29.691876750700285,False,-2.8846,3.458,1,1,1,100.0,10.559006211180119,10.559006211180119,7.402390438247007,0.5976095617529931,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
35,72.73157213608805,68.12659363957596,300364,中文在线,bottom_area,2022-04-15,10.06,2022-04-15,10.0,0.600000000000005,6.300000000000009,29.971988795518207,False,-5.0943,6.5867,1,1,1,100.0,20.7773851590106,20.7773851590106,7.399999999999995,0.600000000000005,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
36,72.51666620235034,70.38865998629734,002829,星网宇达,bottom_area,2022-04-15,28.42,2022-04-15,27.74,2.451333813987034,5.6236481614996485,29.486527707168285,False,-7.6073,4.7227,1,1,1,100.0,15.794091839719234,15.794091839719234,5.548666186012966,2.451333813987034,历史1/1次成功; 当前距低点2.45%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
37,72.43627350296069,67.92155844155845,300471,厚普股份,bottom_area,2022-04-15,16.91,2022-04-15,16.8,0.6547619047619013,6.845238095238086,32.773109243697476,False,-6.1077,3.3053,1,1,1,100.0,20.346320346320343,20.346320346320343,7.345238095238099,0.6547619047619013,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
38,72.398560630272,72.26017335594503,300432,富临精工,bottom_area,2022-04-15,18.38,2022-04-15,17.69,3.9005087620124232,4.635387224420578,29.18334667734187,False,0.2181,1.8366,1,1,1,100.0,10.931899641577065,10.931899641577065,4.099491237987577,3.9005087620124232,历史1/1次成功; 当前距低点3.90%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
39,71.791691688599,67.01266723602565,002617,露笑科技,bottom_area,2022-04-15,9.58,2022-04-15,9.54,0.4192872117400517,2.8301886792452975,30.263157894736846,False,-3.33,1.8573,1,1,1,100.0,12.573344509639565,12.573344509639565,7.580712788259948,0.4192872117400517,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
40,70.94586685715718,68.52332506203474,000665,湖北广电,confirmed_rebound,2022-04-15,7.92,2022-04-15,7.75,2.1935483870967736,10.580645161290327,29.28832116788322,False,-6.2722,11.3631,1,1,1,100.0,12.820512820512828,12.820512820512828,5.806451612903227,2.1935483870967736,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-6.27%; 状态confirmed_rebound; 底部未确认
41,70.93867514200932,66.47738705946114,300702,天宇股份,bottom_area,2022-04-15,35.5,2022-04-15,35.28,0.6235827664399061,6.320861678004526,30.05551149881046,False,-4.8512,1.4344,1,1,1,100.0,12.199762187871588,12.199762187871588,7.376417233560094,0.6235827664399061,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
42,70.7562210588192,72.00563388420727,002584,西陇科学,confirmed_rebound,2022-04-15,8.76,2022-04-14,8.35,4.910179640718565,10.77844311377246,27.20139494333044,True,-5.2973,11.9696,2,2,2,100.0,38.983029381965565,68.08510638297875,3.0898203592814353,4.910179640718565,历史2/2次成功; 当前距低点4.91%; 最新日涨幅-5.30%; 状态confirmed_rebound; 底部已确认
43,69.56923855344455,65.53287726358148,000533,顺钠股份,bottom_area,2022-04-15,3.39,2022-04-15,3.36,0.8928571428571502,4.1666666666666705,32.93413173652694,False,-3.1429,2.6127,1,1,1,100.0,10.42253521126761,10.42253521126761,7.10714285714285,0.8928571428571502,历史1/1次成功; 当前距低点0.89%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
44,68.84766578662271,67.92542039454183,002824,和胜股份,bottom_area,2022-04-15,27.87,2022-04-15,26.98,3.2987398072646426,7.487027427724239,29.86742916558357,False,-4.5221,5.7812,1,1,1,100.0,12.93842556508184,12.93842556508184,4.701260192735358,3.2987398072646426,历史1/1次成功; 当前距低点3.30%; 最新日涨幅-4.52%; 状态bottom_area; 底部未确认
45,68.50990171621245,69.61084872873604,000421,南京公用,confirmed_rebound,2022-04-15,5.21,2022-04-13,4.97,4.828973843058355,9.05432595573441,28.07525325615051,True,3.5785,5.4096,1,1,1,100.0,9.090909090909086,9.090909090909086,3.171026156941645,4.828973843058355,历史1/1次成功; 当前距低点4.83%; 最新日涨幅3.58%; 状态confirmed_rebound; 底部已确认
46,64.99410101892009,65.27198652150568,002036,联创电子,confirmed_rebound,2022-04-15,12.59,2022-04-15,12.08,4.22185430463576,8.195364238410598,29.066353493834413,False,-1.4096,2.9722,1,1,1,100.0,9.988249118683898,9.988249118683898,3.7781456953642407,4.22185430463576,历史1/1次成功; 当前距低点4.22%; 最新日涨幅-1.41%; 状态confirmed_rebound; 底部未确认
47,57.35631729052372,56.48704586225233,688020,方邦股份,bottom_area,2022-04-15,43.46,2022-04-15,42.11,3.2058893374495403,5.058180954642609,30.81977985871529,False,0.7184,0.8136,1,2,1,50.0,9.28211586901762,9.28211586901762,4.79411066255046,3.2058893374495403,历史1/2次成功; 当前距低点3.21%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
48,54.168441304667496,53.27637182298037,300566,激智科技,bottom_area,2022-04-15,16.77,2022-04-15,16.26,3.1365313653136404,5.719557195571953,27.66903914590747,False,-1.815,1.3057,1,2,1,50.0,13.643351268255191,13.643351268255191,4.86346863468636,3.1365313653136404,历史1/2次成功; 当前距低点3.14%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
