rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.88747946320973,80.87332883490775,601218,吉鑫科技,bottom_area,2022-04-22,4.11,2022-04-22,4.05,1.4814814814814938,3.4567901234568046,29.809358752166375,False,0.489,1.5878,2,2,2,100.0,10.919928025191178,11.111111111111114,6.518518518518507,1.4814814814814938,历史2/2次成功; 当前距低点1.48%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
2,83.41210182288543,79.54855884048457,603236,移远通信,bottom_area,2022-04-22,139.63,2022-04-22,137.52,1.534322280395568,4.072134962187314,28.060263653483986,False,-2.4385,0.9572,2,2,2,100.0,26.918352902077746,39.389337383102855,6.4656777196044315,1.534322280395568,历史2/2次成功; 当前距低点1.53%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
3,81.57720771691659,77.34050754604696,002605,姚记科技,bottom_area,2022-04-22,15.67,2022-04-22,15.48,1.2273901808785497,4.328165374676991,31.59522757401679,False,-2.9721,1.2914,2,2,2,100.0,11.284715905645513,12.862318840579725,6.77260981912145,1.2273901808785497,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
4,81.4709896466709,76.93542146526089,300676,华大基因,bottom_area,2022-04-22,68.19,2022-04-22,67.5,1.0222222222222188,4.222222222222214,27.792041078305523,False,-2.5857,1.4268,1,1,1,100.0,23.258538343696497,23.258538343696497,6.977777777777781,1.0222222222222188,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
5,81.30263054488559,76.34373886321016,300340,科恒股份,bottom_area,2022-04-22,11.06,2022-04-22,10.98,0.7285974499089259,3.8251366120218573,27.858081471747703,False,-2.6408,1.9592,3,3,3,100.0,22.983554026895213,42.54473161033797,7.271402550091074,0.7285974499089259,历史3/3次成功; 当前距低点0.73%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
6,81.19141710652592,77.76440972222223,002320,海峡股份,bottom_area,2022-04-22,5.21,2022-04-22,5.12,1.7578124999999973,3.9062500000000036,29.08587257617728,False,0.3854,0.6357,1,1,1,100.0,14.259259259259249,14.259259259259249,6.242187500000003,1.7578124999999973,历史1/1次成功; 当前距低点1.76%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
7,80.90928905346998,77.04593317010763,002728,特一药业,bottom_area,2022-04-22,12.54,2022-04-22,12.36,1.4563106796116483,2.588996763754048,30.833799664241752,False,-1.2598,2.843,2,2,2,100.0,12.507104944205294,14.169139465875372,6.543689320388352,1.4563106796116483,历史2/2次成功; 当前距低点1.46%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
8,80.71886005165727,76.77997662530774,300690,双一科技,bottom_area,2022-04-22,15.22,2022-04-22,15.01,1.399067288474356,3.59760159893405,31.648451730418948,False,-0.8469,1.6198,2,2,2,100.0,10.375537865748704,11.160714285714286,6.600932711525644,1.399067288474356,历史2/2次成功; 当前距低点1.40%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
9,80.687699418275,75.71785901714938,300624,万兴科技,bottom_area,2022-04-22,30.41,2022-04-22,30.2,0.6953642384105989,5.463576158940405,32.34767025089606,False,-2.5633,1.7801,2,2,2,100.0,35.87790043400834,51.195680123425035,7.304635761589401,0.6953642384105989,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
10,80.58978395031488,75.81651479950517,300649,杭州园林,bottom_area,2022-04-22,23.19,2022-04-22,23.0,0.8260869565217446,6.217391304347824,31.506849315068493,False,-3.7759,4.8192,2,2,2,100.0,48.22576914179969,71.60305343511452,7.173913043478255,0.8260869565217446,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
11,80.15395771569719,76.58382767494895,002537,海联金汇,bottom_area,2022-04-22,8.1,2022-04-22,7.97,1.6311166875784175,5.144291091593488,31.17443868739206,False,-2.7611,6.5095,1,1,1,100.0,28.832116788321155,28.832116788321155,6.368883312421583,1.6311166875784175,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
12,79.83611128974233,77.0505168466945,300675,建科院,bottom_area,2022-04-22,15.18,2022-04-22,14.86,2.1534320323014824,3.7012113055181746,28.2472235634959,False,0.5298,2.5741,1,1,1,100.0,15.270655270655267,15.270655270655267,5.846567967698518,2.1534320323014824,历史1/1次成功; 当前距低点2.15%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
13,79.76044947033655,76.78578431372549,600418,江淮汽车,bottom_area,2022-04-22,8.57,2022-04-22,8.4,2.023809523809523,3.9285714285714293,30.578512396694208,False,-0.3488,1.7573,2,2,2,100.0,18.064892623716155,24.365079365079367,5.976190476190477,2.023809523809523,历史2/2次成功; 当前距低点2.02%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
14,79.46024692901582,76.67409060407282,002690,美亚光电,bottom_area,2022-04-22,22.39,2022-04-22,21.92,2.1441605839416003,3.4215328467153285,27.296849087893854,False,0.8104,0.927,1,1,1,100.0,13.133208255159476,13.133208255159476,5.855839416058401,2.1441605839416003,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
15,78.86043716638727,74.64517994591222,600272,开开实业,bottom_area,2022-04-22,8.84,2022-04-22,8.74,1.1441647597253963,3.6613272311212848,30.57982525814138,False,-1.8868,3.8826,1,1,1,100.0,12.440191387559814,12.440191387559814,6.855835240274604,1.1441647597253963,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
16,78.8468375392336,74.75498569089015,002389,航天彩虹,bottom_area,2022-04-22,14.82,2022-04-22,14.64,1.2295081967213095,3.6202185792349684,29.104116222760286,False,-2.2427,1.0243,1,1,1,100.0,14.076690211907161,14.076690211907161,6.7704918032786905,1.2295081967213095,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
17,78.70867858092488,74.89294219837642,688298,东方生物,bottom_area,2022-04-22,228.4,2022-04-22,225.21,1.4164557524088617,5.901158918342876,27.81730769230769,False,-3.8316,4.0217,2,2,2,100.0,10.65839416058395,12.200000000000008,6.5835442475911385,1.4164557524088617,历史2/2次成功; 当前距低点1.42%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
18,78.65563873504286,75.80498503045797,002145,钛能化学,bottom_area,2022-04-22,7.85,2022-04-22,7.69,2.0806241872561673,3.9011703511053293,27.039848197343442,False,-0.1272,1.1057,2,2,2,100.0,13.488216007537837,16.649537512846855,5.919375812743833,2.0806241872561673,历史2/2次成功; 当前距低点2.08%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
19,78.43419319291256,73.04864596125896,300365,恒华科技,bottom_area,2022-04-22,6.63,2022-04-22,6.61,0.30257186081693754,2.7231467473524917,30.052910052910043,False,-2.5,1.4663,2,2,2,100.0,16.712418300653603,19.111111111111114,7.697428139183063,0.30257186081693754,历史2/2次成功; 当前距低点0.30%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
20,77.99714907397056,73.32587148457195,688089,嘉必优,bottom_area,2022-04-22,29.36,2022-04-22,29.13,0.7895640233436335,2.986611740473742,28.742661448140904,False,-2.3287,1.1116,1,1,1,100.0,40.83912611717973,40.83912611717973,7.210435976656367,0.7895640233436335,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
21,77.65689118031544,73.63896103896103,002428,云南锗业,bottom_area,2022-04-22,10.63,2022-04-22,10.5,1.2380952380952457,3.0476190476190506,31.818181818181817,False,-1.756,1.2193,1,1,1,100.0,8.181818181818185,8.181818181818185,6.761904761904755,1.2380952380952457,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
22,77.60289442097381,76.02605766931396,000573,粤宏远A,bottom_area,2022-04-22,3.51,2022-04-22,3.41,2.9325513196480832,5.571847507331377,27.600849256900204,False,0.2857,4.0537,1,1,1,100.0,19.31330472103003,19.31330472103003,5.067448680351918,2.9325513196480832,历史1/1次成功; 当前距低点2.93%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
23,77.27564549960842,72.6272154369134,688276,百克生物,bottom_area,2022-04-22,40.31,2022-04-22,40.0,0.7750000000000057,4.450000000000003,29.165928811758455,False,-3.1242,1.6779,3,3,3,100.0,13.786104499534513,16.844155844155843,7.224999999999994,0.7750000000000057,历史3/3次成功; 当前距低点0.78%; 最新日涨幅-3.12%; 状态bottom_area; 底部未确认
24,77.19120790855187,75.4197364477288,600055,万东医疗,bottom_area,2022-04-22,22.82,2022-04-22,22.2,2.792792792792797,3.8738738738738716,28.387096774193548,False,1.1973,1.0206,1,1,1,100.0,14.340344168260035,14.340344168260035,5.207207207207203,2.792792792792797,历史1/1次成功; 当前距低点2.79%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
25,77.03978136552055,73.36292853262975,688062,迈威生物,bottom_area,2022-04-22,16.01,2022-04-22,15.78,1.4575411913815097,2.9784537389100167,32.245598969514816,False,-0.6824,1.8794,1,1,1,100.0,9.387755102040819,9.387755102040819,6.542458808618489,1.4575411913815097,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
26,76.87687606653303,71.5598790275542,300374,中铁装配,bottom_area,2022-04-22,10.95,2022-04-22,10.92,0.27472527472526886,3.1135531135531123,28.110599078341014,False,-2.9255,1.2656,2,2,2,100.0,8.366949752300066,8.678343949044583,7.725274725274732,0.27472527472526886,历史2/2次成功; 当前距低点0.27%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
27,76.50694768264192,73.28738620762488,600218,全柴动力,bottom_area,2022-04-22,8.65,2022-04-22,8.5,1.7647058823529453,2.941176470588235,28.027095681625745,False,-0.4603,1.3548,1,1,1,100.0,12.746858168761218,12.746858168761218,6.235294117647054,1.7647058823529453,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
28,76.07288064842447,71.03924286805912,002235,安妮股份,bottom_area,2022-04-22,4.55,2022-04-22,4.53,0.4415011037527499,3.752759381898453,32.28699551569507,False,-1.7279,5.3879,1,1,1,100.0,24.27884615384615,24.27884615384615,7.55849889624725,0.4415011037527499,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
29,75.47739490409391,69.88647676304991,300542,新晨科技,bottom_area,2022-04-22,10.32,2022-04-22,10.32,0.0,5.523255813953491,29.218106995884774,False,-3.5514,2.0885,2,2,2,100.0,18.47568152177371,21.587301587301592,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
30,74.90144732546224,71.2869002695418,603117,万林物流,confirmed_rebound,2022-04-22,3.55,2022-04-21,3.5,1.4285714285714235,9.142857142857139,30.13972055888223,False,-1.1142,3.5262,1,1,1,100.0,8.086253369272232,8.086253369272232,6.5714285714285765,1.4285714285714235,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.11%; 状态confirmed_rebound; 底部未确认
31,74.85217639651495,73.93846528084917,002390,信邦制药,bottom_area,2022-04-22,4.92,2022-04-22,4.76,3.361344537815129,4.411764705882352,28.528528528528536,False,0.6135,1.173,1,1,1,100.0,13.345864661654133,13.345864661654133,4.638655462184871,3.361344537815129,历史1/1次成功; 当前距低点3.36%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
32,74.4153781783815,71.86491311379959,002819,东方中科,confirmed_rebound,2022-04-22,24.3,2022-04-22,23.78,2.1867115222876348,8.915054667788045,28.993729471484027,False,-2.4096,0.5751,1,1,1,100.0,20.487179487179493,20.487179487179493,5.813288477712366,2.1867115222876348,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-2.41%; 状态confirmed_rebound; 底部未确认
33,74.26931684839408,69.99335892155028,002261,拓维信息,bottom_area,2022-04-22,5.5,2022-04-22,5.45,0.9174311926605472,2.7522935779816415,27.81456953642384,False,-1.4337,1.2502,1,1,1,100.0,24.489795918367328,24.489795918367328,7.082568807339452,0.9174311926605472,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
34,74.11948237022183,68.93052397095538,002140,东华科技,bottom_area,2022-04-22,8.81,2022-04-22,8.79,0.22753128555177876,3.2992036405005796,30.12718600953896,False,-2.4363,1.7343,1,1,1,100.0,10.318791946308728,10.318791946308728,7.772468714448221,0.22753128555177876,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
35,73.99583240491816,69.17009123073919,002644,佛慈制药,bottom_area,2022-04-22,8.13,2022-04-22,8.09,0.49443757725588283,3.5846724351050794,28.533568904593643,False,-2.9833,1.5641,1,1,1,100.0,14.878542510121445,14.878542510121445,7.505562422744118,0.49443757725588283,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
36,73.88169347405416,73.35415049831448,300732,设研院,bottom_area,2022-04-22,12.57,2022-04-22,12.13,3.6273701566364345,5.853256389117881,31.079545454545453,False,1.8639,3.9682,1,1,1,100.0,13.465346534653477,13.465346534653477,4.3726298433635655,3.6273701566364345,历史1/1次成功; 当前距低点3.63%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
37,73.72144534148458,69.22154590377994,603186,华正新材,bottom_area,2022-04-22,20.81,2022-04-22,20.66,0.7260406582768566,4.695062923523712,31.927512355848435,False,-2.5749,1.8508,1,1,1,100.0,17.994186046511643,17.994186046511643,7.273959341723144,0.7260406582768566,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
38,73.72123920869296,73.44846828773723,688229,博睿数据,confirmed_rebound,2022-04-22,38.99,2022-04-21,37.56,3.8072417465388706,8.972310969116073,27.657935285053924,False,1.4836,0.6728,2,2,2,100.0,9.725696074440098,11.21206614573869,4.19275825346113,3.8072417465388706,历史2/2次成功; 当前距低点3.81%; 最新日涨幅1.48%; 状态confirmed_rebound; 底部未确认
39,73.6927238317436,69.3245492028587,002243,力合科创,bottom_area,2022-04-22,8.57,2022-04-22,8.5,0.8235294117647093,2.7058823529411815,27.536231884057973,False,-1.0393,1.043,1,1,1,100.0,19.7429906542056,19.7429906542056,7.176470588235291,0.8235294117647093,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
40,73.5547467438495,68.10624698504583,600196,复星医药,bottom_area,2022-04-22,40.71,2022-04-22,40.71,0.0,2.8985507246376807,28.80377754459601,False,-2.8401,1.361,1,1,1,100.0,15.356166586267886,15.356166586267886,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
41,73.44239854871499,68.68407885870954,002565,顺灏股份,bottom_area,2022-04-22,3.88,2022-04-22,3.86,0.5181347150259072,3.367875647668403,29.044117647058833,False,-2.0202,1.971,1,1,1,100.0,12.556053811659185,12.556053811659185,7.481865284974093,0.5181347150259072,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-2.02%; 状态bottom_area; 底部未确认
