rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.08803462867643,78.84684524029745,000012,南玻A,bottom_area,2022-04-27,5.58,2022-04-27,5.37,3.910614525139664,4.096834264432025,29.527559055118108,False,2.5735,3.2656,1,1,1,100.0,46.467991169977914,46.467991169977914,16.089385474860336,3.910614525139664,历史1/1次成功; 当前距低点3.91%; 最新日涨幅2.57%; 状态bottom_area; 底部未确认
2,84.2940205686374,75.21411803150122,002375,亚厦股份,bottom_area,2022-04-27,4.44,2022-04-27,4.28,3.738317757009349,4.205607476635507,28.187919463087248,False,0.4525,1.2191,1,1,1,100.0,24.825174825174827,24.825174825174827,16.261682242990652,3.738317757009349,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
3,84.15763776654484,76.54670794774088,002722,物产金轮,bottom_area,2022-04-27,12.25,2022-04-27,11.69,4.790419161676651,4.961505560307956,27.61609907120743,False,1.9135,0.8665,1,1,1,100.0,44.886363636363626,44.886363636363626,15.20958083832335,4.790419161676651,历史1/1次成功; 当前距低点4.79%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
4,81.56576687116565,67.97147239263805,601086,国芳集团,bottom_area,2022-04-27,4.24,2022-04-27,4.24,0.0,2.8301886792452855,27.022375215146287,False,-9.9788,6.4128,1,1,1,100.0,24.846625766871185,24.846625766871185,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
5,74.84565214846039,68.08195468914649,002479,富春环保,bottom_area,2022-04-27,4.59,2022-04-27,4.38,4.794520547945204,7.305936073059367,28.66449511400651,False,-5.7495,1.7495,1,1,1,100.0,32.11538461538461,32.11538461538461,15.205479452054796,4.794520547945204,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-5.75%; 状态bottom_area; 底部未确认
6,67.98546914871366,56.65455762392805,603196,璞源材料,bottom_area,2022-04-27,5.91,2022-04-27,5.91,0.0,2.8764805414551597,27.03703703703703,False,-10.0457,3.5743,2,4,2,50.0,22.33633131144113,22.85714285714286,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-10.05%; 状态bottom_area; 底部未确认
7,64.80541178445529,57.67904347826088,000605,渤海股份,bottom_area,2022-04-27,5.18,2022-04-27,5.0,3.5999999999999943,5.0,27.849927849927848,False,1.1719,2.9694,1,2,1,50.0,20.521739130434778,20.521739130434778,16.400000000000006,3.5999999999999943,历史1/2次成功; 当前距低点3.60%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
8,60.312228404676475,53.50621014529483,603215,比依股份,bottom_area,2022-04-27,15.11,2022-04-27,14.61,3.4223134839151266,5.407255304585907,27.059410883674495,False,-6.9008,27.4341,1,2,1,50.0,28.59723058398555,28.59723058398555,16.577686516084874,3.4223134839151266,历史1/2次成功; 当前距低点3.42%; 最新日涨幅-6.90%; 状态bottom_area; 底部未确认
9,57.99844472472288,51.68740612573235,601567,三星电气,bottom_area,2022-04-27,8.19,2022-04-27,7.9,3.670886075949356,6.962025316455682,30.457746478873233,False,-2.3838,1.915,1,3,1,33.33333333333333,31.09512390087929,31.09512390087929,16.329113924050645,3.670886075949356,历史1/3次成功; 当前距低点3.67%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
10,56.65558346910506,51.462154984437106,603233,大参林,bottom_area,2022-04-27,23.98,2022-04-27,22.9,4.716157205240183,5.327510917030579,31.53961136023917,False,1.0961,0.7202,1,3,1,33.33333333333333,20.223978919631097,20.223978919631097,15.283842794759817,4.716157205240183,历史1/3次成功; 当前距低点4.72%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
11,53.28969166190034,48.59638322807924,603208,江山欧派,bottom_area,2022-04-27,48.5,2022-04-27,46.22,4.932929467762876,7.680657723929045,32.52554744525548,False,-3.2515,1.7946,1,2,1,50.0,20.717539863325737,20.717539863325737,15.067070532237125,4.932929467762876,历史1/2次成功; 当前距低点4.93%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
