rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.97029977297917,81.89157119476265,688315,诺禾致源,confirmed_rebound,2022-04-28,18.6,2022-04-27,18.33,1.4729950900163837,9.165302782324078,29.904397705544937,True,-5.8228,1.1697,2,2,2,100.0,54.319731958499396,86.2826357231662,6.527004909983616,1.4729950900163837,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-5.82%; 状态confirmed_rebound; 底部已确认
2,83.66978444166988,79.30484573255029,300521,爱司凯,confirmed_rebound,2022-04-28,10.0,2022-04-27,9.88,1.214574898785417,11.33603238866396,32.467532467532465,True,-7.4074,1.7722,3,3,3,100.0,16.258475816027065,20.590790616854918,6.785425101214583,1.214574898785417,历史3/3次成功; 当前距低点1.21%; 最新日涨幅-7.41%; 状态confirmed_rebound; 底部已确认
3,81.87829268292687,79.55000000000003,002269,美邦服饰,confirmed_rebound,2022-04-28,1.64,2022-04-27,1.6,2.4999999999999885,10.624999999999996,28.888888888888886,True,-5.2023,1.4039,2,2,2,100.0,93.05748789582057,173.50993377483442,5.5000000000000115,2.4999999999999885,历史2/2次成功; 当前距低点2.50%; 最新日涨幅-5.20%; 状态confirmed_rebound; 底部已确认
4,80.5458434233713,77.61461139896373,000607,华媒控股,bottom_area,2022-04-28,3.94,2022-04-28,3.86,2.072538860103629,7.25388601036269,28.518518518518526,False,-4.3689,2.2456,1,1,1,100.0,59.82721382289418,59.82721382289418,5.927461139896371,2.072538860103629,历史1/1次成功; 当前距低点2.07%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
5,79.38879909151981,75.12806545547784,001212,中旗新材,bottom_area,2022-04-28,22.33,2022-04-28,22.08,1.1322463768115945,7.201086956521754,31.193518229978203,False,-7.8035,4.6356,1,1,1,100.0,25.105307497893843,25.105307497893843,6.867753623188405,1.1322463768115945,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-7.80%; 状态bottom_area; 底部未确认
6,79.02718948633276,77.21433127381704,000012,南玻A,bottom_area,2022-04-28,5.52,2022-04-27,5.37,2.793296089385465,4.655493482309125,29.527559055118108,False,-1.0753,1.7874,1,1,1,100.0,46.467991169977914,46.467991169977914,5.206703910614535,2.793296089385465,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
7,79.00856769284535,76.35281751829591,300562,乐心医疗,bottom_area,2022-04-28,8.28,2022-04-27,8.1,2.2222222222222188,7.283950617283949,31.355932203389834,True,-4.2775,2.085,2,2,2,100.0,19.19077518797075,20.82239720034996,5.777777777777782,2.2222222222222188,历史2/2次成功; 当前距低点2.22%; 最新日涨幅-4.28%; 状态bottom_area; 底部已确认
8,78.53776057270409,74.98590436590436,001218,丽臣实业,bottom_area,2022-04-28,29.32,2022-04-27,28.86,1.593901593901597,5.440055440055441,32.72727272727273,False,-3.4891,1.6044,1,1,1,100.0,29.999999999999993,29.999999999999993,6.406098406098404,1.593901593901597,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
9,78.4204320579436,75.75206196901547,000605,渤海股份,bottom_area,2022-04-28,5.11,2022-04-27,5.0,2.2000000000000064,5.3999999999999915,27.849927849927848,False,-1.3514,2.3535,2,2,2,100.0,14.666999833416622,20.521739130434778,5.799999999999994,2.2000000000000064,历史2/2次成功; 当前距低点2.20%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
10,78.29638905520824,74.71700007301808,300678,中科信息,bottom_area,2022-04-28,13.61,2022-04-27,13.4,1.5671641791044706,6.940298507462685,28.723404255319153,False,-4.6919,2.9184,2,2,2,100.0,11.559862372990715,13.789581205311558,6.43283582089553,1.5671641791044706,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
11,78.27842087834067,74.87339034640459,002186,全聚德,bottom_area,2022-04-28,7.23,2022-04-28,7.11,1.6877637130801704,7.032348804500703,27.076923076923077,False,-4.6174,1.5404,2,2,2,100.0,13.87898716251279,16.28959276018099,6.31223628691983,1.6877637130801704,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-4.62%; 状态bottom_area; 底部未确认
12,77.95620269650973,76.46251633097442,002722,物产金轮,bottom_area,2022-04-28,12.04,2022-04-27,11.69,2.9940119760479016,5.474764756201887,27.61609907120743,False,-1.7143,0.6381,1,1,1,100.0,44.886363636363626,44.886363636363626,5.005988023952098,2.9940119760479016,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
13,77.89509024256807,74.2327004980922,300364,中文在线,confirmed_rebound,2022-04-28,8.14,2022-04-28,8.02,1.4962593516209601,10.972568578553627,30.200174064403836,False,-9.7561,8.1632,2,2,2,100.0,18.301999031118203,20.7773851590106,6.50374064837904,1.4962593516209601,历史2/2次成功; 当前距低点1.50%; 最新日涨幅-9.76%; 状态confirmed_rebound; 底部未确认
14,77.3008838027947,74.59436267904185,300608,思特奇,confirmed_rebound,2022-04-28,9.04,2022-04-28,8.85,2.146892655367226,9.491525423728813,28.62903225806452,False,-6.9959,6.2834,3,3,3,100.0,11.555257705801665,14.718614718614711,5.853107344632774,2.146892655367226,历史3/3次成功; 当前距低点2.15%; 最新日涨幅-7.00%; 状态confirmed_rebound; 底部未确认
15,77.14148388971887,74.05331862436823,605305,中际联合,confirmed_rebound,2022-04-28,40.19,2022-04-27,39.45,1.8757921419518246,10.950570342205324,28.777757717999634,True,-6.5349,5.8804,2,2,2,100.0,12.796369397948393,15.395207931699245,6.124207858048175,1.8757921419518246,历史2/2次成功; 当前距低点1.88%; 最新日涨幅-6.53%; 状态confirmed_rebound; 底部已确认
16,76.94270821432393,75.20543969849248,002069,獐子岛,bottom_area,2022-04-28,3.29,2022-04-27,3.2,2.8124999999999956,7.499999999999993,29.824561403508763,True,-3.8012,2.1812,2,2,2,100.0,20.2577403144756,30.967741935483854,5.187500000000004,2.8124999999999956,历史2/2次成功; 当前距低点2.81%; 最新日涨幅-3.80%; 状态bottom_area; 底部已确认
17,76.89793749397218,73.32265508817099,300559,佳发教育,confirmed_rebound,2022-04-28,7.99,2022-04-27,7.87,1.5247776365946646,9.021601016518424,29.035166816952206,True,-6.6589,1.6948,1,1,1,100.0,21.231979030144167,21.231979030144167,6.4752223634053365,1.5247776365946646,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-6.66%; 状态confirmed_rebound; 底部已确认
18,76.86529308933319,74.11013966190245,603230,内蒙新华,bottom_area,2022-04-28,10.2,2022-04-27,9.99,2.102102102102093,6.406406406406412,31.43445435827042,False,-3.4091,3.512,1,1,1,100.0,31.521142229544196,31.521142229544196,5.8978978978979075,2.102102102102093,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
19,76.71507604693859,76.77470688723936,603113,金能科技,bottom_area,2022-04-28,9.27,2022-04-27,8.91,4.040404040404034,7.744107744107738,32.29483282674772,True,-1.9048,1.3755,3,3,3,100.0,16.864667200863174,20.395634379263292,3.9595959595959664,4.040404040404034,历史3/3次成功; 当前距低点4.04%; 最新日涨幅-1.90%; 状态bottom_area; 底部已确认
20,76.687470871746,73.46767036196925,002247,聚力文化,bottom_area,2022-04-28,2.3,2022-04-27,2.26,1.7699115044247804,7.079646017699122,31.51515151515152,True,-4.1667,2.0082,1,1,1,100.0,14.801444043321304,14.801444043321304,6.23008849557522,1.7699115044247804,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-4.17%; 状态bottom_area; 底部已确认
21,76.33486774929584,73.61846451324561,688039,当虹科技,confirmed_rebound,2022-04-28,29.92,2022-04-27,29.3,2.116040955631403,8.156996587030719,29.904306220095688,True,-4.2866,2.3302,2,2,2,100.0,13.403429527339858,17.019445878506282,5.883959044368598,2.116040955631403,历史2/2次成功; 当前距低点2.12%; 最新日涨幅-4.29%; 状态confirmed_rebound; 底部已确认
22,75.83113818517496,73.29680787885522,688317,之江生物,confirmed_rebound,2022-04-28,30.68,2022-04-28,30.01,2.2325891369543425,8.297234255248245,30.91620626151012,False,-12.2426,7.0944,1,1,1,100.0,38.96296296296296,38.96296296296296,5.767410863045658,2.2325891369543425,历史1/1次成功; 当前距低点2.23%; 最新日涨幅-12.24%; 状态confirmed_rebound; 底部未确认
23,75.77847967867771,74.4940986671747,300420,五洋自控,confirmed_rebound,2022-04-28,2.32,2022-04-27,2.25,3.111111111111104,8.000000000000007,27.184466019417474,True,-4.1322,1.1934,3,3,3,100.0,13.642107529612968,21.428571428571434,4.888888888888896,3.111111111111104,历史3/3次成功; 当前距低点3.11%; 最新日涨幅-4.13%; 状态confirmed_rebound; 底部已确认
24,75.67139367090155,71.759782023354,002798,帝欧水华,bottom_area,2022-04-28,8.16,2022-04-27,8.06,1.2406947890818814,5.831265508684849,30.095403295750206,False,-3.7736,1.5187,1,1,1,100.0,8.32562442183164,8.32562442183164,6.759305210918119,1.2406947890818814,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
25,75.49428125090745,72.14887091780331,002299,圣农发展,bottom_area,2022-04-28,16.08,2022-04-28,15.82,1.6434892541087105,5.941845764854622,27.096774193548384,False,-4.7393,1.0871,1,1,1,100.0,15.354980737479357,15.354980737479357,6.356510745891289,1.6434892541087105,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-4.74%; 状态bottom_area; 底部未确认
26,75.23389160535436,71.2687211740042,688148,芳源股份,confirmed_rebound,2022-04-28,13.66,2022-04-28,13.5,1.1851851851851862,19.25925925925927,30.015552099533434,False,-17.9087,11.1475,1,1,1,100.0,15.220125786163516,15.220125786163516,6.814814814814814,1.1851851851851862,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-17.91%; 状态confirmed_rebound; 底部未确认
27,75.2121611573461,71.63876581969586,300609,汇纳科技,confirmed_rebound,2022-04-28,11.74,2022-04-27,11.57,1.4693171996542778,9.680207433016415,28.97483118477593,True,-5.7785,4.0554,1,1,1,100.0,11.498973305954824,11.498973305954824,6.530682800345722,1.4693171996542778,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-5.78%; 状态confirmed_rebound; 底部已确认
28,75.19390461390108,72.47537310895804,601163,三角轮胎,bottom_area,2022-04-28,10.28,2022-04-27,10.07,2.0854021847070414,5.759682224428998,27.813620071684582,False,-2.9273,0.2043,1,1,1,100.0,12.312312312312317,12.312312312312317,5.914597815292959,2.0854021847070414,历史1/1次成功; 当前距低点2.09%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
