rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.0499026589794,80.79184978160649,300672,国科微,bottom_area,2022-05-06,60.14,2022-04-28,59.14,1.6909029421711192,8.555968887385868,27.60435793854817,True,-2.4018,2.3731,2,2,2,100.0,26.328540267508803,33.08187961653309,8.309097057828883,1.6909029421711192,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
2,83.65942416259226,77.7135548642534,600250,南京商旅,bottom_area,2022-05-06,4.47,2022-04-28,4.42,1.1312217194570096,7.692307692307689,31.472868217054266,True,-3.6638,3.724,2,2,2,100.0,13.133012820512816,14.8076923076923,8.86877828054299,1.1312217194570096,历史2/2次成功; 当前距低点1.13%; 最新日涨幅-3.66%; 状态bottom_area; 底部已确认
3,78.72928054203726,73.92420708172513,600307,酒钢宏兴,bottom_area,2022-05-06,1.8,2022-04-27,1.77,1.6949152542372896,7.909604519774005,31.923076923076927,True,-4.2553,1.1466,1,1,1,100.0,16.33663366336634,16.33663366336634,8.305084745762711,1.6949152542372896,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-4.26%; 状态bottom_area; 底部已确认
4,78.50191973307025,73.70210305710907,002745,木林森,bottom_area,2022-05-06,8.43,2022-04-28,8.29,1.6887816646562193,8.564535585042231,30.2775441547519,True,-4.3133,1.9794,1,1,1,100.0,15.06734006734006,15.06734006734006,8.311218335343781,1.6887816646562193,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-4.31%; 状态bottom_area; 底部已确认
5,76.48283660910522,72.29001569858715,000652,泰达股份,bottom_area,2022-05-06,3.5,2022-04-27,3.43,2.0408163265306074,6.413994169096203,28.985507246376805,False,-2.7778,1.1203,1,1,1,100.0,10.769230769230779,10.769230769230779,7.959183673469393,2.0408163265306074,历史1/1次成功; 当前距低点2.04%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
6,74.68170038349525,68.71622583314527,000715,中兴商业,bottom_area,2022-05-06,6.37,2022-05-06,6.33,0.6319115323854665,8.056872037914689,31.493506493506494,False,-6.5982,13.5985,1,1,1,100.0,24.33862433862435,24.33862433862435,9.368088467614534,0.6319115323854665,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-6.60%; 状态bottom_area; 底部未确认
7,74.6343968288673,71.19985219670211,000538,云南白药,bottom_area,2022-05-06,54.77,2022-05-05,53.42,2.527143391988022,3.350804941969298,30.032743942370654,False,-0.0547,0.5369,1,1,1,100.0,10.86956521739131,10.86956521739131,7.472856608011978,2.527143391988022,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
8,72.69754413835774,71.50061750176431,002479,富春环保,bottom_area,2022-05-06,4.54,2022-04-28,4.36,4.1284403669724705,6.192660550458705,28.990228013029306,False,-1.3043,0.4745,1,1,1,100.0,32.11538461538461,32.11538461538461,5.87155963302753,4.1284403669724705,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
9,71.18144099394193,69.65946939374253,600975,新五丰,bottom_area,2022-05-06,8.33,2022-05-06,8.02,3.865336658354121,8.728179551122208,27.024567788899006,False,-1.8846,5.0936,1,1,1,100.0,18.99159663865546,18.99159663865546,6.134663341645879,3.865336658354121,历史1/1次成功; 当前距低点3.87%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
10,70.33198980806146,69.15660093835812,603116,红蜻蜓,bottom_area,2022-05-06,5.06,2022-04-28,4.86,4.115226337448545,8.230452674897109,30.96590909090909,True,-0.7843,1.4065,1,1,1,100.0,10.157618213660246,10.157618213660246,5.8847736625514555,4.115226337448545,历史1/1次成功; 当前距低点4.12%; 最新日涨幅-0.78%; 状态bottom_area; 底部已确认
11,69.90682200522325,68.74672108688209,302132,中航成飞,confirmed_rebound,2022-05-06,9.6,2022-04-28,9.22,4.121475054229924,13.882863340563983,32.255694342395294,True,-2.439,2.1169,1,1,1,100.0,18.24561403508772,18.24561403508772,5.878524945770076,4.121475054229924,历史1/1次成功; 当前距低点4.12%; 最新日涨幅-2.44%; 状态confirmed_rebound; 底部已确认
12,69.30666210436274,68.82857142857145,002274,华昌化工,confirmed_rebound,2022-05-06,8.35,2022-04-27,7.98,4.636591478696732,10.651629072681699,30.48780487804878,True,-2.907,1.4403,1,1,1,100.0,24.999999999999993,24.999999999999993,5.363408521303269,4.636591478696732,历史1/1次成功; 当前距低点4.64%; 最新日涨幅-2.91%; 状态confirmed_rebound; 底部已确认
13,69.18652915558872,67.48307294531853,600219,南山铝业,confirmed_rebound,2022-05-06,3.09,2022-04-27,2.98,3.691275167785231,10.402684563758392,30.04694835680751,True,-4.6296,0.7892,1,1,1,100.0,16.39344262295081,16.39344262295081,6.30872483221477,3.691275167785231,历史1/1次成功; 当前距低点3.69%; 最新日涨幅-4.63%; 状态confirmed_rebound; 底部已确认
14,68.15727593990336,67.41457301683651,002247,聚力文化,bottom_area,2022-05-06,2.36,2022-04-27,2.26,4.424778761061951,9.734513274336292,31.51515151515152,True,-3.2787,1.5747,1,1,1,100.0,14.801444043321304,14.801444043321304,5.57522123893805,4.424778761061951,历史1/1次成功; 当前距低点4.42%; 最新日涨幅-3.28%; 状态bottom_area; 底部已确认
15,64.22593161947067,64.00307967075634,603099,长白山,confirmed_rebound,2022-05-06,7.18,2022-04-27,6.85,4.817518248175183,11.678832116788332,28.496868475991654,True,-3.4946,1.0975,1,1,1,100.0,11.48936170212766,11.48936170212766,5.182481751824818,4.817518248175183,历史1/1次成功; 当前距低点4.82%; 最新日涨幅-3.49%; 状态confirmed_rebound; 底部已确认
16,64.04900088561509,63.96878923766817,600095,湘财股份,confirmed_rebound,2022-05-06,6.38,2022-04-27,6.08,4.934210526315787,11.84210526315789,27.705112960760996,True,-3.3333,1.3483,1,1,1,100.0,12.73542600896861,12.73542600896861,5.065789473684214,4.934210526315787,历史1/1次成功; 当前距低点4.93%; 最新日涨幅-3.33%; 状态confirmed_rebound; 底部已确认
17,59.47505319148938,57.04750000000001,002069,獐子岛,bottom_area,2022-05-06,3.29,2022-04-27,3.2,2.8124999999999956,9.374999999999995,29.824561403508763,True,-4.9133,0.0621,1,2,1,50.0,30.967741935483854,30.967741935483854,7.187500000000005,2.8124999999999956,历史1/2次成功; 当前距低点2.81%; 最新日涨幅-4.91%; 状态bottom_area; 底部已确认
18,56.97672760172939,52.25569577641214,000959,首钢股份,bottom_area,2022-05-06,4.35,2022-05-06,4.33,0.46189376443417024,4.3879907621247005,28.782894736842106,False,-6.4516,1.0227,1,2,1,50.0,25.423728813559325,25.423728813559325,9.538106235565829,0.46189376443417024,历史1/2次成功; 当前距低点0.46%; 最新日涨幅-6.45%; 状态bottom_area; 底部未确认
19,53.208983971692426,51.88287321962368,000338,潍柴动力,bottom_area,2022-05-06,10.72,2022-04-27,10.34,3.6750483558994276,9.090909090909086,29.03225806451613,True,-3.2491,0.9547,1,2,1,50.0,13.774104683195592,13.774104683195592,6.324951644100574,3.6750483558994276,历史1/2次成功; 当前距低点3.68%; 最新日涨幅-3.25%; 状态bottom_area; 底部已确认
