rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.64519708168886,86.71575245247926,603222,济民健康,bottom_area,2022-06-21,10.78,2022-06-20,10.66,1.1257035647279476,3.3771106941838593,31.535003211303792,False,-1.6423,2.3666,6,6,6,100.0,27.109443978811754,68.46504559270518,6.874296435272052,1.1257035647279476,历史6/6次成功; 当前距低点1.13%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
2,88.93580239624717,84.09255438091546,002339,积成电子,bottom_area,2022-06-21,5.57,2022-06-17,5.51,1.0889292196007352,4.174228675136124,30.604534005037788,False,-1.0657,4.7356,2,2,2,100.0,45.88877957852225,82.94930875576038,6.911070780399264,1.0889292196007352,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
3,82.46941979478606,80.27224005197372,688298,东方生物,bottom_area,2022-06-21,132.4,2022-06-17,129.05,2.5958930647035987,7.6172026346377235,32.92619542619542,True,-3.4915,3.5675,4,4,4,100.0,11.510087309128625,15.470039788586028,5.404106935296402,2.5958930647035987,历史4/4次成功; 当前距低点2.60%; 最新日涨幅-3.49%; 状态bottom_area; 底部已确认
4,81.31783925780944,77.58912747460145,002568,百润股份,bottom_area,2022-06-21,28.0,2022-06-17,27.57,1.5596663039535716,6.601378309756983,30.554156171284642,False,-2.0637,1.4904,2,2,2,100.0,16.69444434201939,21.848739495798313,6.440333696046428,1.5596663039535716,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
5,80.28624519125371,77.34856241664185,002265,建设工业,bottom_area,2022-06-21,15.84,2022-06-21,15.52,2.061855670103095,5.670103092783499,29.454545454545457,False,-2.8817,5.6077,2,2,2,100.0,21.556953464929624,32.75229357798165,5.938144329896905,2.061855670103095,历史2/2次成功; 当前距低点2.06%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
6,79.74544857646144,77.25187538369657,000983,山西焦煤,bottom_area,2022-06-21,12.64,2022-06-21,12.35,2.3481781376518294,3.643724696356284,28.072218986604554,False,-0.3155,3.2765,2,2,2,100.0,24.546889986789015,27.212389380530986,5.651821862348171,2.3481781376518294,历史2/2次成功; 当前距低点2.35%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
7,77.52724039076269,78.23005586592178,002663,普邦股份,bottom_area,2022-06-21,1.87,2022-06-14,1.79,4.469273743016763,6.145251396648037,31.939163498098853,False,1.0811,1.948,1,1,1,100.0,66.45569620253163,66.45569620253163,3.530726256983237,4.469273743016763,历史1/1次成功; 当前距低点4.47%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
8,77.11449098164407,73.434,600081,东风科技,bottom_area,2022-06-21,12.53,2022-06-21,12.35,1.4574898785425079,5.101214574898792,29.42857142857143,False,-2.7929,3.9992,1,1,1,100.0,9.769230769230766,9.769230769230766,6.542510121457493,1.4574898785425079,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
9,75.35664479001176,70.8573770281701,688069,德林海,bottom_area,2022-06-21,30.25,2022-06-21,30.01,0.7997334221925972,2.632455848050647,31.49965761241726,False,-1.5299,0.4607,1,1,1,100.0,27.692307692307676,27.692307692307676,7.200266577807403,0.7997334221925972,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
10,73.72174470063875,73.56982698961939,603203,快克智能,bottom_area,2022-06-21,24.02,2022-06-17,23.12,3.8927335640138345,5.925605536332169,30.549714629017714,False,1.2221,0.5449,1,1,1,100.0,17.877739331026522,17.877739331026522,4.1072664359861655,3.8927335640138345,历史1/1次成功; 当前距低点3.89%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
11,72.88777163929815,71.98504032281741,000521,长虹美菱,confirmed_rebound,2022-06-21,3.7,2022-06-17,3.58,3.3519553072625725,9.49720670391061,28.4,True,-2.1164,3.6465,2,2,2,100.0,9.556443136430524,9.859154929577464,4.648044692737428,3.3519553072625725,历史2/2次成功; 当前距低点3.35%; 最新日涨幅-2.12%; 状态confirmed_rebound; 底部已确认
12,71.66364463055372,72.92458852434646,605266,健之佳,bottom_area,2022-06-21,45.11,2022-06-14,43.0,4.9069767441860455,5.534883720930239,29.91035044824776,False,0.8045,0.6278,2,2,2,100.0,10.174706995110995,12.038497948879776,3.093023255813955,4.9069767441860455,历史2/2次成功; 当前距低点4.91%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
13,66.42484312698669,66.68241182572616,605289,罗曼股份,confirmed_rebound,2022-06-21,20.09,2022-06-14,19.28,4.201244813278001,10.0103734439834,28.140141632500924,True,-0.2978,1.9382,1,1,1,100.0,8.125000000000004,8.125000000000004,3.7987551867219986,4.201244813278001,历史1/1次成功; 当前距低点4.20%; 最新日涨幅-0.30%; 状态confirmed_rebound; 底部已确认
