rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,79.61718189392474,74.9415092229377,688185,康希诺,bottom_area,2022-08-02,151.32,2022-08-02,148.61,1.823565036000255,6.76266738442903,31.827148034313495,False,-5.425,3.082,2,2,2,100.0,15.909879059238028,19.236097367900253,8.176434963999746,1.823565036000255,历史2/2次成功; 当前距低点1.82%; 最新日涨幅-5.42%; 状态bottom_area; 底部未确认
2,78.9002073454955,74.56414048059152,002110,三钢闽光,bottom_area,2022-08-02,5.52,2022-07-26,5.41,2.0332717190388063,3.88170055452865,27.187079407806188,False,-1.4286,0.6187,1,1,1,100.0,22.90322580645161,22.90322580645161,7.966728280961194,2.0332717190388063,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
3,78.4600494263558,76.08597253658075,002761,浙江建投,bottom_area,2022-08-02,25.03,2022-08-02,24.21,3.3870301528294102,8.756712102437,31.93702558335676,False,-6.7437,4.433,3,3,3,100.0,24.561297231353766,43.73730534867976,6.612969847170591,3.3870301528294102,历史3/3次成功; 当前距低点3.39%; 最新日涨幅-6.74%; 状态bottom_area; 底部未确认
4,76.88973143888651,72.2068597795437,300359,全通教育,bottom_area,2022-08-02,4.78,2022-08-02,4.7,1.7021276595744694,8.51063829787233,30.882352941176467,False,-6.6406,1.909,1,1,1,100.0,16.38554216867469,16.38554216867469,8.297872340425531,1.7021276595744694,历史1/1次成功; 当前距低点1.70%; 最新日涨幅-6.64%; 状态bottom_area; 底部未确认
5,75.76015358361775,68.87286689419795,000619,海螺新材,bottom_area,2022-08-02,7.33,2022-08-02,7.33,0.0,6.95770804911323,27.20953326713009,False,-7.3325,6.4887,1,1,1,100.0,29.692832764505106,29.692832764505106,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-7.33%; 状态bottom_area; 底部未确认
6,75.68098272957438,71.48865049073065,600248,陕建股份,bottom_area,2022-08-02,4.57,2022-08-02,4.48,2.008928571428568,6.026785714285704,27.74193548387096,False,-4.3933,2.3627,1,1,1,100.0,16.28498727735369,16.28498727735369,7.991071428571432,2.008928571428568,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-4.39%; 状态bottom_area; 底部未确认
7,75.42259939405663,72.20636517078064,002157,正邦科技,bottom_area,2022-08-02,5.68,2022-08-02,5.53,2.71247739602169,6.329113924050627,28.737113402061848,False,-4.3771,2.4378,2,2,2,100.0,12.101148568333835,13.751169317118809,7.287522603978311,2.71247739602169,历史2/2次成功; 当前距低点2.71%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
8,74.81624345214145,70.79952659173593,600062,华润双鹤,bottom_area,2022-08-02,19.9,2022-08-02,19.49,2.103642893791689,7.696254489481786,28.529519618628534,False,-4.7847,3.715,1,1,1,100.0,13.741034352585885,13.741034352585885,7.8963571062083115,2.103642893791689,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
9,73.77421270376779,71.3916932123111,601236,红塔证券,confirmed_rebound,2022-08-02,8.51,2022-07-25,8.24,3.276699029126209,10.072815533980584,27.079646017699115,True,-4.1667,0.3376,2,2,2,100.0,15.658962358703505,18.12865497076022,6.723300970873791,3.276699029126209,历史2/2次成功; 当前距低点3.28%; 最新日涨幅-4.17%; 状态confirmed_rebound; 底部已确认
10,73.57026986945294,70.10520743761663,002043,兔宝宝,bottom_area,2022-08-02,8.72,2022-08-02,8.51,2.4676850763807385,6.580493537015282,28.786610878661083,False,-4.0704,2.7225,1,1,1,100.0,14.470588235294123,14.470588235294123,7.532314923619262,2.4676850763807385,历史1/1次成功; 当前距低点2.47%; 最新日涨幅-4.07%; 状态bottom_area; 底部未确认
11,72.6779257692735,69.74144392000993,601007,金陵饭店,bottom_area,2022-08-02,7.98,2022-08-02,7.76,2.8350515463917607,5.412371134020618,30.590339892665476,False,-3.1553,1.9995,1,1,1,100.0,17.018072289156624,17.018072289156624,7.16494845360824,2.8350515463917607,历史1/1次成功; 当前距低点2.84%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
12,69.10633528262589,65.12638927158463,601015,陕西黑猫,bottom_area,2022-08-02,5.4,2022-08-02,5.3,1.8867924528301987,5.094339622641518,27.1978021978022,False,-3.9146,1.0602,2,4,2,50.0,38.915462709878945,65.6514382402707,8.113207547169802,1.8867924528301987,历史2/4次成功; 当前距低点1.89%; 最新日涨幅-3.91%; 状态bottom_area; 底部未确认
13,52.46954060783894,48.526742758694965,601700,风范股份,bottom_area,2022-08-02,5.6,2022-08-02,5.55,0.9009009009008978,6.486486486486492,27.922077922077925,False,-7.131,8.5474,1,2,1,50.0,10.756972111553786,10.756972111553786,9.099099099099103,0.9009009009008978,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-7.13%; 状态bottom_area; 底部未确认
14,52.13538171981377,50.50246856940308,688357,建龙微纳,bottom_area,2022-08-02,90.0,2022-08-02,87.1,3.3295063145809483,7.451205510907015,27.945069490403707,False,-3.8564,2.5331,1,2,1,50.0,11.310446057245377,11.310446057245377,6.670493685419052,3.3295063145809483,历史1/2次成功; 当前距低点3.33%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
