rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.04102398528335,82.88312247462288,002761,浙江建投,bottom_area,2022-08-03,24.51,2022-08-02,24.21,1.239157372986372,8.756712102437,31.93702558335676,False,-2.0775,3.299,3,3,3,100.0,24.561297231353766,43.73730534867976,8.760842627013629,1.239157372986372,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
2,83.84472223236965,77.81703424853832,002157,正邦科技,bottom_area,2022-08-03,5.59,2022-08-02,5.53,1.0849909584086728,6.329113924050627,28.737113402061848,False,-1.5845,1.7443,2,2,2,100.0,12.101148568333835,13.751169317118809,8.915009041591327,1.0849909584086728,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
3,82.35095849588767,79.08096960530375,603069,海汽集团,bottom_area,2022-08-03,25.78,2022-08-02,25.06,2.8731045490822127,8.180367118914608,28.029867892016085,True,-2.5699,4.4292,3,3,3,100.0,14.955096651673086,21.284943599803825,7.126895450917788,2.8731045490822127,历史3/3次成功; 当前距低点2.87%; 最新日涨幅-2.57%; 状态bottom_area; 底部已确认
4,81.40342911915413,78.35197150676784,688185,康希诺,bottom_area,2022-08-03,153.06,2022-08-02,148.61,2.994414911513349,6.76266738442903,31.827148034313495,False,1.1499,2.5359,2,2,2,100.0,15.909879059238028,19.236097367900253,7.005585088486652,2.994414911513349,历史2/2次成功; 当前距低点2.99%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
5,80.59744552678806,75.07707254550118,300359,全通教育,bottom_area,2022-08-03,4.76,2022-08-02,4.7,1.2765957446808427,8.51063829787233,30.882352941176467,False,-0.4184,1.3415,1,1,1,100.0,16.38554216867469,16.38554216867469,8.723404255319158,1.2765957446808427,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
6,79.915,72.65,002150,正泰电源,bottom_area,2022-08-03,9.01,2022-08-03,9.01,0.0,5.105438401775815,32.102486812358705,False,-9.99,13.645,1,1,1,100.0,164.87025948103792,164.87025948103792,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
7,77.48762111324109,70.94398886827456,002110,三钢闽光,bottom_area,2022-08-03,5.41,2022-08-03,5.39,0.37105751391466535,2.968460111317257,27.456258411843876,False,-1.9928,0.5864,1,1,1,100.0,22.90322580645161,22.90322580645161,9.628942486085334,0.37105751391466535,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
8,77.14416522609758,70.50970751479032,000619,海螺新材,bottom_area,2022-08-03,7.11,2022-08-03,7.09,0.28208744710861017,6.488011283497884,29.592850049652437,False,-3.0014,4.0418,1,1,1,100.0,29.692832764505106,29.692832764505106,9.71791255289139,0.28208744710861017,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
9,76.00201470482904,70.18429418858577,000715,中兴商业,bottom_area,2022-08-03,4.91,2022-08-03,4.87,0.8213552361396311,4.928131416837787,27.421758569299552,False,-1.6032,2.524,1,1,1,100.0,24.33862433862435,24.33862433862435,9.178644763860369,0.8213552361396311,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
10,74.23728635510078,68.43023072982994,600062,华润双鹤,bottom_area,2022-08-03,19.42,2022-08-03,19.28,0.7261410788381771,4.875518672199158,29.299596626329294,False,-2.4121,3.34,1,1,1,100.0,13.741034352585885,13.741034352585885,9.273858921161823,0.7261410788381771,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
11,74.07883287063665,68.5095694313406,600248,陕建股份,bottom_area,2022-08-03,4.49,2022-08-03,4.45,0.8988764044943828,4.044943820224713,28.2258064516129,False,-1.7505,1.5044,1,1,1,100.0,16.28498727735369,16.28498727735369,9.101123595505618,0.8988764044943828,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
12,73.62507651273648,67.60320458303804,601007,金陵饭店,bottom_area,2022-08-03,7.69,2022-08-03,7.65,0.5228758169934644,5.88235294117646,31.574239713774592,False,-3.6341,1.235,1,1,1,100.0,17.018072289156624,17.018072289156624,9.477124183006536,0.5228758169934644,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-3.63%; 状态bottom_area; 底部未确认
13,73.45756676268184,67.42481973386256,002379,宏桥控股,bottom_area,2022-08-03,3.99,2022-08-03,3.97,0.5037783375314866,8.81612090680101,28.725314183123878,False,-7.4246,8.9753,1,1,1,100.0,15.824915824915816,15.824915824915816,9.496221662468514,0.5037783375314866,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-7.42%; 状态bottom_area; 底部未确认
14,72.81493269637193,66.95625995068684,002043,兔宝宝,bottom_area,2022-08-03,8.4,2022-08-03,8.35,0.5988023952095893,7.185628742514965,30.125523012552303,False,-3.6697,2.8435,1,1,1,100.0,14.470588235294123,14.470588235294123,9.401197604790411,0.5988023952095893,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
15,72.4428548336443,70.58534573534574,000761,本钢板材,bottom_area,2022-08-03,3.42,2022-07-15,3.3,3.63636363636364,8.484848484848492,31.818181818181817,True,-2.2857,0.2085,1,1,1,100.0,11.969111969111971,11.969111969111971,6.36363636363636,3.63636363636364,历史1/1次成功; 当前距低点3.64%; 最新日涨幅-2.29%; 状态bottom_area; 底部已确认
16,68.86586306000515,63.0578987055469,601015,陕西黑猫,bottom_area,2022-08-03,5.32,2022-08-02,5.3,0.3773584905660465,5.094339622641518,27.1978021978022,False,-1.4815,0.7388,2,4,2,50.0,38.915462709878945,65.6514382402707,9.622641509433954,0.3773584905660465,历史2/4次成功; 当前距低点0.38%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
17,57.98079968195773,56.26539140734359,601700,风范股份,bottom_area,2022-08-03,5.74,2022-08-02,5.55,3.4234234234234306,6.486486486486492,27.922077922077925,False,2.5,7.2283,1,2,1,50.0,10.756972111553786,10.756972111553786,6.576576576576571,3.4234234234234306,历史1/2次成功; 当前距低点3.42%; 最新日涨幅2.50%; 状态bottom_area; 底部未确认
