rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.72295265666054,85.77954368814041,688208,道通科技,bottom_area,2022-09-02,27.35,2022-09-02,26.95,1.4842300556586352,2.708719851576996,29.89073881373569,False,0.1098,2.2859,3,3,3,100.0,20.66445276904346,34.72341892124764,8.515769944341365,1.4842300556586352,历史3/3次成功; 当前距低点1.48%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
2,89.14831647755089,83.31498632290753,603185,弘元绿能,bottom_area,2022-09-02,136.57,2022-09-01,134.62,1.4485217649680497,4.969543901351952,29.065233428179997,False,-1.9739,1.5827,3,3,3,100.0,29.449548102336955,43.51028702057404,8.55147823503195,1.4485217649680497,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
3,89.12130634702139,82.80709791174759,300340,科恒股份,bottom_area,2022-09-02,12.38,2022-09-02,12.24,1.1437908496732072,3.1862745098039262,27.999999999999996,False,-0.4023,2.5092,3,3,3,100.0,22.983554026895213,42.54473161033797,8.856209150326794,1.1437908496732072,历史3/3次成功; 当前距低点1.14%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
4,87.94084872253643,82.15477478764406,300726,宏达电子,bottom_area,2022-09-02,46.16,2022-09-02,45.51,1.4282575258184984,2.4170511975390054,27.300319488817898,False,0.742,1.3983,2,2,2,100.0,17.156999712420586,20.972375690607738,8.571742474181503,1.4282575258184984,历史2/2次成功; 当前距低点1.43%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
5,85.20996946950872,80.23835483583397,002747,埃斯顿,bottom_area,2022-09-02,18.77,2022-09-01,18.43,1.8448182311448718,3.635377102550199,30.68822865739,False,1.5143,1.681,2,2,2,100.0,11.959894638947768,13.690987124463508,8.155181768855128,1.8448182311448718,历史2/2次成功; 当前距低点1.84%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
6,84.32266470214064,83.24684166200281,001212,中旗新材,confirmed_rebound,2022-09-02,28.94,2022-08-31,27.74,4.325883201153579,10.598413842826249,28.72559095580679,True,0.9066,6.5302,3,3,3,100.0,42.90244817544601,82.06521739130437,5.674116798846422,4.325883201153579,历史3/3次成功; 当前距低点4.33%; 最新日涨幅0.91%; 状态confirmed_rebound; 底部已确认
7,83.87479547035578,81.07627694605915,605258,协和电子,bottom_area,2022-09-02,23.09,2022-09-01,22.37,3.2185963343763917,3.933839964237814,28.98412698412698,False,2.5311,2.0823,1,1,1,100.0,49.971379507727534,49.971379507727534,6.781403665623609,3.2185963343763917,历史1/1次成功; 当前距低点3.22%; 最新日涨幅2.53%; 状态bottom_area; 底部未确认
8,83.74460096768517,78.84633185448094,002735,王子新材,bottom_area,2022-09-02,19.96,2022-09-02,19.6,1.8367346938775482,3.1122448979591804,27.808471454880284,False,0.5035,1.1724,1,1,1,100.0,21.043478260869563,21.043478260869563,8.163265306122453,1.8367346938775482,历史1/1次成功; 当前距低点1.84%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
9,83.62495256897023,80.85181947907382,688071,华依科技,bottom_area,2022-09-02,60.41,2022-09-02,58.52,3.2296650717703232,5.3144224196855765,29.840546697038718,False,0.3155,1.4878,3,3,3,100.0,15.566966896291156,16.966413867822318,6.770334928229676,3.2296650717703232,历史3/3次成功; 当前距低点3.23%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
10,83.360148480663,77.31955801104974,300611,美力科技,confirmed_rebound,2022-09-02,9.6,2022-08-31,9.5,1.0526315789473648,11.789473684210519,31.70381020848311,False,-0.2079,3.5072,1,1,1,100.0,35.911602209944746,35.911602209944746,8.947368421052635,1.0526315789473648,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.21%; 状态confirmed_rebound; 底部未确认
11,83.1374685968136,78.3871762994899,603055,台华新材,bottom_area,2022-09-02,10.66,2022-09-01,10.46,1.9120458891013314,3.537284894837468,31.767775603392035,False,1.2346,0.3454,1,1,1,100.0,19.498069498069512,19.498069498069512,8.08795411089867,1.9120458891013314,历史1/1次成功; 当前距低点1.91%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
12,82.95919177307422,77.39547903490465,002850,科达利,bottom_area,2022-09-02,111.3,2022-09-02,109.81,1.356889172206534,3.81568163190966,28.68554357708793,False,-0.9522,1.7025,2,2,2,100.0,13.167668535137384,13.44718098343773,8.643110827793468,1.356889172206534,历史2/2次成功; 当前距低点1.36%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
13,82.76811587315302,78.11505314093148,002196,方正电机,bottom_area,2022-09-02,8.31,2022-09-01,8.15,1.9631901840490813,5.521472392638028,27.29705619982159,False,0.2413,1.888,1,1,1,100.0,18.661971830985923,18.661971830985923,8.03680981595092,1.9631901840490813,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
