rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.49731591016985,86.12640105654994,688288,鸿泉技术,bottom_area,2022-09-06,19.2,2022-09-06,18.93,1.4263074484944511,3.1695721077654593,30.710102489019036,False,0.2611,0.8482,3,3,3,100.0,21.819258274824108,41.992882562277565,6.573692551505548,1.4263074484944511,历史3/3次成功; 当前距低点1.43%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
2,85.83883895507945,83.42504576575584,688208,道通科技,bottom_area,2022-09-06,27.29,2022-09-06,26.62,2.5169045830202785,2.8925619834710727,30.74921956295525,False,1.2992,1.977,3,3,3,100.0,20.66445276904346,34.72341892124764,5.483095416979722,2.5169045830202785,历史3/3次成功; 当前距低点2.52%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
3,83.70530036976034,81.89165468410116,605258,协和电子,bottom_area,2022-09-06,23.01,2022-09-01,22.37,2.860974519445689,3.933839964237814,28.98412698412698,False,1.3656,1.6901,1,1,1,100.0,49.971379507727534,49.971379507727534,5.139025480554311,2.860974519445689,历史1/1次成功; 当前距低点2.86%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
4,83.50984121055973,81.70046846368619,300620,光库科技,bottom_area,2022-09-06,38.11,2022-09-06,37.05,2.860998650472341,4.804318488529018,32.10555250137438,False,0.7668,1.9638,3,3,3,100.0,15.610459068618967,22.444343480236245,5.13900134952766,2.860998650472341,历史3/3次成功; 当前距低点2.86%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
5,82.17069711626338,78.96994197292071,002110,三钢闽光,bottom_area,2022-09-06,5.27,2022-08-31,5.17,1.9342359767891615,1.9342359767891615,30.41722745625841,False,0.9579,0.3472,1,1,1,100.0,22.90322580645161,22.90322580645161,6.065764023210838,1.9342359767891615,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
6,82.14552145584055,79.46403771542893,605319,无锡振华,bottom_area,2022-09-06,13.94,2022-08-29,13.63,2.27439471753484,5.209097578870132,27.345415778251603,False,0.9413,0.7349,2,2,2,100.0,13.062675652733196,17.248790972595383,5.7256052824651595,2.27439471753484,历史2/2次成功; 当前距低点2.27%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
7,81.03800877542876,80.6051982855272,300681,英搏尔,bottom_area,2022-09-06,56.02,2022-09-06,54.01,3.7215330494352994,5.665617478244775,27.337548769003096,False,1.5591,3.6004,3,3,3,100.0,20.27039590451436,27.487589035182385,4.278466950564701,3.7215330494352994,历史3/3次成功; 当前距低点3.72%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
8,80.3272593985368,78.0074764186433,688279,峰岹科技,bottom_area,2022-09-06,63.73,2022-09-05,62.19,2.476282360508119,3.6661842739990376,27.07551594746717,False,1.2069,2.2055,1,1,1,100.0,24.37311935807422,24.37311935807422,5.523717639491882,2.476282360508119,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
9,79.13353758001445,78.00069437749865,300726,宏达电子,bottom_area,2022-09-06,46.38,2022-09-05,44.92,3.2502226179875353,3.8735529830810216,28.242811501597444,False,2.2261,1.6729,2,2,2,100.0,17.156999712420586,20.972375690607738,4.749777382012465,3.2502226179875353,历史2/2次成功; 当前距低点3.25%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
10,78.66010780796995,75.99305341072204,000799,酒鬼酒,bottom_area,2022-09-06,138.5,2022-09-06,135.51,2.206479226625348,2.4278651022064945,28.256035578144857,False,0.4133,1.4775,1,1,1,100.0,10.235623910902333,10.235623910902333,5.793520773374652,2.206479226625348,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
11,78.35749020692502,77.38392059369343,688165,埃夫特,bottom_area,2022-09-06,8.33,2022-09-02,8.06,3.349875930521087,5.583126550868477,28.4826974267968,False,0.8475,0.4878,2,2,2,100.0,15.062568361728554,21.98142414860681,4.650124069478913,3.349875930521087,历史2/2次成功; 当前距低点3.35%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
