rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.68077867103506,74.25739168490153,603315,福鞍股份,bottom_area,2022-09-16,20.09,2022-09-16,20.0,0.4499999999999993,2.3499999999999943,27.771758757674252,False,-1.4713,0.4444,1,1,1,100.0,41.68490153172865,41.68490153172865,14.549999999999999,0.4499999999999993,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
2,82.47370118661648,72.94486718497554,300484,蓝海华腾,bottom_area,2022-09-16,11.1,2022-09-16,11.0,0.909090909090906,3.2727272727272676,27.86885245901639,False,-1.1576,1.7246,2,2,2,100.0,23.589217514531214,28.708133971291865,14.090909090909093,0.909090909090906,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
3,82.30688753439793,72.30588353463459,688280,精进电动,bottom_area,2022-09-16,9.2,2022-09-16,9.15,0.5464480874316823,2.73224043715847,27.265500794912555,False,-1.3934,1.4722,1,1,1,100.0,32.37518910741301,32.37518910741301,14.453551912568315,0.5464480874316823,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
4,81.99257952727645,71.5181718250565,002451,摩恩电气,bottom_area,2022-09-16,6.07,2022-09-16,6.06,0.16501650165017617,3.465346534653465,27.684964200477342,False,-1.6207,1.3791,1,1,1,100.0,23.464566929133863,23.464566929133863,14.834983498349825,0.16501650165017617,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
5,81.98316002258302,71.70431019512694,688183,生益电子,bottom_area,2022-09-16,9.7,2022-09-15,9.67,0.3102378490175735,5.687693898655644,27.07390648567119,False,-1.0204,0.6449,1,1,1,100.0,26.24544349939247,26.24544349939247,14.689762150982427,0.3102378490175735,历史1/1次成功; 当前距低点0.31%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
6,81.09135783543981,70.51422420473027,300437,清水源,bottom_area,2022-09-16,17.64,2022-09-16,17.64,0.0,4.535147392290254,28.380024360535927,False,-4.1825,2.5038,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,15.0,0.0,历史5/6次成功; 当前距低点0.00%; 最新日涨幅-4.18%; 状态bottom_area; 底部未确认
7,81.06316554809843,70.48970917225951,600215,派斯林,bottom_area,2022-09-16,6.73,2022-09-16,6.73,0.0,4.606240713224363,29.1578947368421,False,-3.9943,1.1849,2,2,2,100.0,21.718866517524237,23.993288590604024,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
8,80.95904842797519,76.60587595368406,600343,航天动力,bottom_area,2022-09-16,9.23,2022-08-29,8.83,4.530011325028316,10.192525481313709,27.504105090311988,True,-0.8593,1.2316,2,2,2,100.0,38.62527835886361,55.72413793103447,10.469988674971683,4.530011325028316,历史2/2次成功; 当前距低点4.53%; 最新日涨幅-0.86%; 状态bottom_area; 底部已确认
9,80.52320576540754,70.02017892644135,002012,凯恩股份,bottom_area,2022-09-16,5.21,2022-09-16,5.21,0.0,4.222648752399227,30.99337748344371,False,-2.0677,3.7308,1,1,1,100.0,25.646123260437374,25.646123260437374,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
10,79.9365,69.51,002110,三钢闽光,bottom_area,2022-09-16,5.16,2022-09-15,5.16,0.0,1.5503875968992262,30.55181695827725,False,-0.7692,0.5307,1,1,1,100.0,22.90322580645161,22.90322580645161,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
11,76.70145639534884,66.69691860465117,603186,华正新材,bottom_area,2022-09-16,21.48,2022-09-16,21.48,0.0,4.189944134078206,27.84682566341955,False,-3.3303,1.4164,1,1,1,100.0,17.994186046511643,17.994186046511643,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
