rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.58067939783334,83.81393232183376,300530,领湃科技,bottom_area,2022-09-26,26.95,2022-09-23,26.68,1.011994002998499,7.946026986506751,28.433476394849787,True,-3.3357,1.6788,3,3,3,100.0,27.802573379948058,34.07510431154381,13.988005997001501,1.011994002998499,历史3/3次成功; 当前距低点1.01%; 最新日涨幅-3.34%; 状态bottom_area; 底部已确认
2,92.01222897805442,83.77195252701483,002245,蔚蓝锂芯,bottom_area,2022-09-26,14.99,2022-09-23,14.63,2.460697197539299,5.673274094326726,27.788746298124384,False,1.0108,1.9687,3,3,3,100.0,21.840549125830286,25.653923541247494,12.5393028024607,2.460697197539299,历史3/3次成功; 当前距低点2.46%; 最新日涨幅1.01%; 状态bottom_area; 底部未确认
3,90.36046592305253,80.09239892697654,300484,蓝海华腾,bottom_area,2022-09-26,10.85,2022-09-26,10.74,1.0242085661080023,3.1657355679702035,29.573770491803273,False,-1.3636,1.7895,2,2,2,100.0,23.589217514531214,28.708133971291865,13.975791433891999,1.0242085661080023,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
4,89.82011171741392,79.66518572294031,600215,派斯林,bottom_area,2022-09-26,6.68,2022-09-26,6.61,1.059001512859295,3.32829046898638,30.42105263157894,False,-1.3294,0.7696,2,2,2,100.0,21.718866517524237,23.993288590604024,13.940998487140705,1.059001512859295,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
5,87.87878407918963,78.34255956589826,688018,乐鑫科技,bottom_area,2022-09-26,79.84,2022-09-26,78.79,1.332656428480768,2.5383931971062315,32.65811965811965,False,-0.7952,0.533,1,1,1,100.0,34.629119477604306,34.629119477604306,13.66734357151923,1.332656428480768,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
6,85.92509016818056,77.76026259563852,300671,富满微,bottom_area,2022-09-26,43.0,2022-09-26,42.1,2.1377672209026097,4.156769596199525,31.074001309757694,False,0.1164,1.1964,1,1,1,100.0,18.894472361809044,18.894472361809044,12.86223277909739,2.1377672209026097,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
7,85.43518196041336,74.57198003920871,002343,慈文传媒,bottom_area,2022-09-26,4.97,2022-09-26,4.96,0.20161290322580216,3.0241935483871036,29.0414878397711,False,-2.1654,2.0394,1,1,1,100.0,40.33149171270718,40.33149171270718,14.798387096774196,0.20161290322580216,历史1/1次成功; 当前距低点0.20%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
8,85.40446448729622,74.42740150139498,300437,清水源,bottom_area,2022-09-26,17.11,2022-09-26,17.09,0.11702750146284127,2.867173785839663,30.613073487616727,False,-2.2844,1.7768,5,6,5,83.33333333333334,24.628445545144793,30.330330330330323,14.882972498537159,0.11702750146284127,历史5/6次成功; 当前距低点0.12%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
9,85.03941521413336,75.51940534142696,603192,汇得科技,bottom_area,2022-09-26,18.86,2022-09-26,18.65,1.1260053619302994,3.1635388739946375,29.59607399018498,False,-0.8412,0.7228,1,1,1,100.0,16.917728852838945,16.917728852838945,13.8739946380697,1.1260053619302994,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
10,84.72494145849667,74.31056445953845,300538,同益股份,bottom_area,2022-09-26,10.91,2022-09-26,10.86,0.46040515653775976,3.499079189686932,29.019607843137262,False,-1.9766,0.7319,2,2,2,100.0,25.431657077658826,30.150753768844226,14.53959484346224,0.46040515653775976,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
11,84.6809992803479,75.9289325045779,603356,华菱精工,bottom_area,2022-09-26,12.38,2022-09-26,12.18,1.6420361247947541,5.1724137931034555,27.153110047846884,False,-2.9781,2.0271,1,1,1,100.0,25.445026178010465,25.445026178010465,13.357963875205245,1.6420361247947541,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-2.98%; 状态bottom_area; 底部未确认
