rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.60570841576543,79.20433494335055,002343,慈文传媒,bottom_area,2022-09-28,5.0,2022-09-27,4.93,1.4198782961460505,4.0567951318458455,29.470672389127333,False,-1.9608,1.9664,1,1,1,100.0,40.33149171270718,40.33149171270718,18.58012170385395,1.4198782961460505,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
2,88.44358293605129,76.30426763110307,002616,长青集团,bottom_area,2022-09-28,4.84,2022-09-27,4.75,1.8947368421052602,6.947368421052633,28.678678678678683,False,-1.2245,3.5427,1,1,1,100.0,30.560578661844474,30.560578661844474,18.10526315789474,1.8947368421052602,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
3,88.38843490034627,74.13140105078809,002202,金风科技,bottom_area,2022-09-28,11.46,2022-09-28,11.42,0.3502626970227752,4.640980735551658,27.53807106598985,False,-3.7783,0.6938,1,1,1,100.0,55.172413793103445,55.172413793103445,19.649737302977226,0.3502626970227752,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
4,88.26653118254904,73.70998073116667,688018,乐鑫科技,bottom_area,2022-09-28,78.7,2022-09-28,78.61,0.11448925073146343,3.0403256583131926,32.81196581196581,False,-2.5628,0.6486,1,1,1,100.0,34.629119477604306,34.629119477604306,19.885510749268537,0.11448925073146343,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
5,88.02502187309665,74.10061970815724,300538,同益股份,bottom_area,2022-09-28,10.92,2022-09-26,10.86,0.5524861878453085,3.7753222836095777,29.019607843137262,False,-2.7605,0.6608,2,2,2,100.0,25.431657077658826,30.150753768844226,19.447513812154693,0.5524861878453085,历史2/2次成功; 当前距低点0.55%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
6,87.71639329580024,75.5545482681247,603356,华菱精工,bottom_area,2022-09-28,12.4,2022-09-26,12.18,1.8062397372742254,5.1724137931034555,27.153110047846884,False,-1.5873,1.3668,1,1,1,100.0,25.445026178010465,25.445026178010465,18.193760262725775,1.8062397372742254,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
7,86.97466540824131,73.77631300902488,688055,龙腾光电,bottom_area,2022-09-28,4.17,2022-09-26,4.13,0.9685230024213084,3.6319612590799117,27.54385964912281,False,-1.8824,0.1996,1,1,1,100.0,45.45454545454546,45.45454545454546,19.031476997578693,0.9685230024213084,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
8,86.68564074282176,72.65958216109199,603315,福鞍股份,bottom_area,2022-09-28,18.96,2022-09-28,18.9,0.31746031746032954,5.55555555555556,31.744312026002174,False,-4.194,0.5358,1,1,1,100.0,41.68490153172865,41.68490153172865,19.68253968253967,0.31746031746032954,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-4.19%; 状态bottom_area; 底部未确认
9,85.75534020618558,71.46278350515465,002283,天润工业,bottom_area,2022-09-28,5.18,2022-09-28,5.18,0.0,2.702702702702714,27.95549374130738,False,-2.8143,0.3954,1,1,1,100.0,33.402061855670105,33.402061855670105,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
10,85.45593472083563,71.40466570858975,000591,太阳能,bottom_area,2022-09-28,6.84,2022-09-28,6.83,0.14641288433381827,4.3923865300146385,28.406708595387837,False,-3.2532,1.0476,1,1,1,100.0,32.84132841328414,32.84132841328414,19.853587115666183,0.14641288433381827,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
11,84.77849279284918,70.89750717711858,300502,新易盛,bottom_area,2022-09-28,20.9,2022-09-28,20.86,0.19175455417065745,4.793863854266539,28.781153977466712,False,-4.827,1.7144,1,1,1,100.0,30.670470756062763,30.670470756062763,19.808245445829346,0.19175455417065745,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
