rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.00973646064996,85.6249036777583,002202,金风科技,bottom_area,2022-09-29,11.56,2022-09-28,11.42,1.2259194395796897,4.640980735551658,27.53807106598985,False,0.8726,0.493,1,1,1,100.0,55.172413793103445,55.172413793103445,8.77408056042031,1.2259194395796897,历史1/1次成功; 当前距低点1.23%; 最新日涨幅0.87%; 状态bottom_area; 底部未确认
2,90.8203576905994,84.33603079459951,603315,福鞍股份,bottom_area,2022-09-29,19.08,2022-09-29,18.87,1.1128775834658045,3.7625861155272777,31.852654387865652,False,0.6329,0.4517,1,1,1,100.0,41.68490153172865,41.68490153172865,8.887122416534195,1.1128775834658045,历史1/1次成功; 当前距低点1.11%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
3,89.77980032050613,83.41909437445403,688199,久日新材,bottom_area,2022-09-29,33.6,2022-09-28,33.22,1.1438892233594298,4.093919325707404,29.97470489038786,False,0.5386,0.6268,1,1,1,100.0,37.135278514588855,37.135278514588855,8.85611077664057,1.1438892233594298,历史1/1次成功; 当前距低点1.14%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
4,86.07756094740495,81.14800899887514,600110,诺德股份,bottom_area,2022-09-29,8.56,2022-09-28,8.4,1.9047619047619064,5.476190476190465,27.710843373493972,False,1.3018,1.1964,1,1,1,100.0,34.251968503937015,34.251968503937015,8.095238095238095,1.9047619047619064,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
5,86.0480891339315,79.71651174871188,002245,蔚蓝锂芯,bottom_area,2022-09-29,14.29,2022-09-29,14.15,0.9893992932862106,2.9681978798586566,30.157946692991118,False,0.2104,1.6306,3,3,3,100.0,21.840549125830286,25.653923541247494,9.01060070671379,0.9893992932862106,历史3/3次成功; 当前距低点0.99%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
6,85.79797274343844,80.34438629331835,603155,新亚强,bottom_area,2022-09-29,26.15,2022-09-29,25.75,1.5533980582524218,3.1456310679611597,27.58717660292464,False,0.3839,1.8053,1,1,1,100.0,25.624375624375624,25.624375624375624,8.446601941747577,1.5533980582524218,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
7,85.1597546258953,79.75384543726089,000683,博源化工,bottom_area,2022-09-29,7.17,2022-09-28,7.06,1.5580736543909395,4.6742209631728056,28.17904374364192,False,1.2712,0.9548,1,1,1,100.0,22.50673854447439,22.50673854447439,8.44192634560906,1.5580736543909395,历史1/1次成功; 当前距低点1.56%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
8,85.15492758441276,78.11702573732367,300484,蓝海华腾,bottom_area,2022-09-29,10.6,2022-09-29,10.55,0.47393364928908943,3.0331753554502225,30.819672131147534,False,0.3788,1.6418,2,2,2,100.0,23.589217514531214,28.708133971291865,9.526066350710911,0.47393364928908943,历史2/2次成功; 当前距低点0.47%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
9,84.64239295205789,78.55025132275135,000728,国元证券,bottom_area,2022-09-29,6.55,2022-09-29,6.48,1.0802469135802375,3.8580246913580245,29.794149512459374,False,0.3063,1.4052,1,1,1,100.0,10.178571428571434,10.178571428571434,8.919753086419762,1.0802469135802375,历史1/1次成功; 当前距低点1.08%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
10,84.59699697913749,78.73668652116919,002708,光洋股份,bottom_area,2022-09-29,6.57,2022-09-29,6.49,1.2326656394453015,6.9337442218798175,28.524229074889867,False,-2.9542,2.5093,1,1,1,100.0,35.522388059701484,35.522388059701484,8.767334360554699,1.2326656394453015,历史1/1次成功; 当前距低点1.23%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
11,84.54995896098801,79.66453878430353,300648,星云股份,bottom_area,2022-09-29,36.38,2022-09-29,35.71,1.8762251470176468,3.6124334920190395,29.020075531703437,False,0.2756,2.1003,4,5,4,80.0,19.259850104858955,26.78362573099414,8.123774852982354,1.8762251470176468,历史4/5次成功; 当前距低点1.88%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
12,84.19219790717682,77.79701920945081,300549,优德精密,bottom_area,2022-09-29,11.8,2022-09-28,11.7,0.854700854700867,4.5299145299145405,27.23880597014925,False,0.0848,0.6536,2,2,2,100.0,26.536221280477378,38.963531669865645,9.145299145299134,0.854700854700867,历史2/2次成功; 当前距低点0.85%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
13,83.25026252178337,77.23927733216412,603356,华菱精工,bottom_area,2022-09-29,12.31,2022-09-26,12.18,1.067323481116591,5.1724137931034555,27.153110047846884,False,-0.7258,0.9995,1,1,1,100.0,25.445026178010465,25.445026178010465,8.932676518883408,1.067323481116591,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
14,82.98213051964555,75.81423884685225,002178,延华智能,bottom_area,2022-09-29,3.85,2022-09-29,3.84,0.2604166666666727,3.9062500000000098,29.54128440366973,False,-2.2843,1.1554,3,3,3,100.0,14.397789499205718,17.359413202933986,9.739583333333329,0.2604166666666727,历史3/3次成功; 当前距低点0.26%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
15,82.6822444418041,76.16902336999797,002138,顺络电子,bottom_area,2022-09-29,20.29,2022-09-29,20.15,0.694789081885859,2.1339950372208425,29.12416461484348,False,0.4953,0.6329,1,1,1,100.0,32.49001331557922,32.49001331557922,9.305210918114142,0.694789081885859,历史1/1次成功; 当前距低点0.69%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
16,82.53569838892798,76.83133423400687,002053,云南能投,bottom_area,2022-09-29,10.6,2022-09-29,10.47,1.2416427889207164,3.5339063992359048,28.287671232876704,False,-1.1194,0.6287,1,1,1,100.0,25.38860103626942,25.38860103626942,8.758357211079284,1.2416427889207164,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
17,82.13939588241817,76.24060750038413,002616,长青集团,bottom_area,2022-09-29,4.64,2022-09-29,4.59,1.0893246187363796,7.407407407407404,31.081081081081084,False,-4.1322,3.7001,1,1,1,100.0,30.560578661844474,30.560578661844474,8.910675381263621,1.0893246187363796,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-4.13%; 状态bottom_area; 底部未确认
18,82.02629318865333,76.0714739970637,300671,富满微,bottom_area,2022-09-29,42.54,2022-09-26,42.1,1.0451306413301609,5.368171021377667,31.074001309757694,False,-0.3747,0.9298,1,1,1,100.0,18.894472361809044,18.894472361809044,8.95486935866984,1.0451306413301609,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
19,81.88950495934728,75.75379069073148,002600,领益智造,bottom_area,2022-09-29,4.42,2022-09-29,4.38,0.9132420091324209,4.109589041095884,29.240710823909538,False,-1.3393,0.3293,3,3,3,100.0,22.07517457824405,38.381201044386415,9.086757990867579,0.9132420091324209,历史3/3次成功; 当前距低点0.91%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
20,81.40780845956574,75.47935349181762,300520,科大国创,bottom_area,2022-09-29,15.66,2022-09-29,15.5,1.03225806451613,4.000000000000006,28.17423540315106,False,-0.7605,2.3307,1,1,1,100.0,15.553235908141966,15.553235908141966,8.96774193548387,1.03225806451613,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
21,81.30990799449341,78.15740171211378,300502,新易盛,bottom_area,2022-09-29,21.47,2022-09-28,20.86,2.924256951102586,4.985618408437197,28.781153977466712,False,2.7273,1.822,1,1,1,100.0,30.670470756062763,30.670470756062763,7.075743048897415,2.924256951102586,历史1/1次成功; 当前距低点2.92%; 最新日涨幅2.73%; 状态bottom_area; 底部未确认
