rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,77.36052878468689,73.53936566671074,002296,辉煌科技,bottom_area,2022-11-03,8.16,2022-11-03,8.05,1.3664596273291854,4.844720496894395,31.137724550898195,False,-1.5682,17.2038,1,1,1,100.0,9.219858156028375,9.219858156028375,6.633540372670815,1.3664596273291854,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
2,76.98782092891894,76.01665754732572,002333,罗普斯金,bottom_area,2022-11-03,5.26,2022-10-31,5.09,3.3398821218074644,5.500982318271125,28.711484593837532,False,-1.1278,2.3618,1,1,1,100.0,46.728971962616825,46.728971962616825,4.660117878192536,3.3398821218074644,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
3,75.22823014356781,75.01311219512196,000789,万年青,bottom_area,2022-11-03,8.09,2022-10-31,7.79,3.8510911424903695,4.878048780487804,30.008984725965863,False,-0.9792,0.3041,1,1,1,100.0,47.599999999999994,47.599999999999994,4.14890885750963,3.8510911424903695,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
4,74.42484105412115,73.11531305903398,603030,全筑股份,bottom_area,2022-11-03,2.68,2022-10-31,2.6,3.0769230769230793,4.999999999999996,32.98969072164948,False,-1.107,2.211,1,1,1,100.0,27.906976744186036,27.906976744186036,4.923076923076921,3.0769230769230793,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
5,74.21190338885746,73.88208434095804,601919,中远海控,confirmed_rebound,2022-11-03,11.29,2022-10-10,10.88,3.768382352941161,8.915441176470578,28.13738441215323,True,-1.3974,0.7218,2,2,2,100.0,24.8601941164725,40.45881126173098,4.231617647058839,3.768382352941161,历史2/2次成功; 当前距低点3.77%; 最新日涨幅-1.40%; 状态confirmed_rebound; 底部已确认
6,70.7921889136832,70.93195631528967,600126,杭钢股份,bottom_area,2022-11-03,4.06,2022-10-11,3.9,4.102564102564095,7.179487179487174,31.698774080560423,True,-0.4902,0.196,1,1,1,100.0,19.54732510288064,19.54732510288064,3.8974358974359053,4.102564102564095,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
7,70.7728499230506,69.85344214976828,000401,金隅冀东,bottom_area,2022-11-03,7.78,2022-11-01,7.53,3.3200531208499333,4.648074369189902,30.535055350553503,False,-0.5115,0.37,1,1,1,100.0,13.350340136054426,13.350340136054426,4.679946879150067,3.3200531208499333,历史1/1次成功; 当前距低点3.32%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
8,69.49514126302222,70.39457117967768,002233,塔牌集团,bottom_area,2022-11-03,6.95,2022-10-31,6.64,4.668674698795188,5.572289156626508,27.35229759299782,False,-0.8559,0.2195,2,2,2,100.0,16.124459639412482,16.956077630234937,3.331325301204812,4.668674698795188,历史2/2次成功; 当前距低点4.67%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
9,68.40836484055171,68.03660159183441,000333,美的集团,bottom_area,2022-11-03,41.58,2022-11-01,40.09,3.7166375654776624,6.260912945871783,29.91258741258741,False,-1.1882,0.4211,1,1,1,100.0,8.443737855502564,8.443737855502564,4.283362434522338,3.7166375654776624,历史1/1次成功; 当前距低点3.72%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
10,66.31478285071087,67.39953553267848,300595,欧普康视,confirmed_rebound,2022-11-03,30.52,2022-11-01,29.11,4.843696324287187,8.86293369975954,32.50637607233944,True,-1.3256,3.727,1,1,1,100.0,19.855715871254166,19.855715871254166,3.1563036757128136,4.843696324287187,历史1/1次成功; 当前距低点4.84%; 最新日涨幅-1.33%; 状态confirmed_rebound; 底部已确认
11,52.19719205036914,51.96395449882326,002092,中泰化学,bottom_area,2022-11-03,6.06,2022-10-31,5.84,3.7671232876712284,4.452054794520544,27.0,False,-0.3289,0.5627,1,2,1,50.0,14.317180616740096,14.317180616740096,4.232876712328772,3.7671232876712284,历史1/2次成功; 当前距低点3.77%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
