rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.3313883005235,81.00670381891264,300360,炬华科技,bottom_area,2022-12-21,13.41,2022-12-16,13.27,1.055011303692544,6.782215523737757,27.007700770077008,False,-1.5419,1.3087,2,2,2,100.0,28.882417157697027,45.323741007194236,8.944988696307457,1.055011303692544,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
2,83.05598248927832,77.35001019004073,002534,西子洁能,bottom_area,2022-12-21,14.41,2022-12-21,14.23,1.2649332396345727,5.200281096275475,27.17502558853633,False,-3.4829,0.8833,2,2,2,100.0,22.01106438928788,26.532951289398277,8.735066760365429,1.2649332396345727,历史2/2次成功; 当前距低点1.26%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
3,82.78063569163955,78.77528628495338,002388,新亚制程,bottom_area,2022-12-21,7.69,2022-12-21,7.51,2.3968042609853613,5.326231691078567,28.476190476190478,False,-2.4112,3.7047,1,1,1,100.0,50.505050505050505,50.505050505050505,7.60319573901464,2.3968042609853613,历史1/1次成功; 当前距低点2.40%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
4,81.33288908109324,75.23201065472975,300624,万兴科技,bottom_area,2022-12-21,28.88,2022-12-21,28.62,0.9084556254367505,2.1663172606568746,31.678204822153255,False,-0.2762,1.3581,2,2,2,100.0,35.87790043400834,51.195680123425035,9.09154437456325,0.9084556254367505,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
5,80.11413052501379,74.39344636555066,603318,水发燃气,bottom_area,2022-12-21,9.09,2022-12-21,8.99,1.1123470522803074,4.226918798665173,27.08840227088402,False,-2.9883,3.692,1,1,1,100.0,10.696761530912658,10.696761530912658,8.887652947719694,1.1123470522803074,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
6,79.30335166195778,72.20731982099637,001332,锡装股份,bottom_area,2022-12-21,60.8,2022-12-21,60.75,0.08230452674896652,3.176954732510288,27.271638932120197,False,-2.9994,3.5295,1,1,1,100.0,26.155774956903304,26.155774956903304,9.917695473251035,0.08230452674896652,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
7,78.33526261696466,73.60220309765376,600222,太龙药业,bottom_area,2022-12-21,7.06,2022-12-21,6.94,1.7291066282420635,4.610951008645524,31.760078662733527,False,-1.3966,7.6378,1,1,1,100.0,14.00304414003044,14.00304414003044,8.270893371757937,1.7291066282420635,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
8,76.9620858317427,71.06200733853582,000810,创维数字,bottom_area,2022-12-21,13.61,2022-12-19,13.5,0.8148148148148106,5.259259259259266,27.066450567260947,False,-2.2972,1.2039,2,2,2,100.0,12.310672668352654,12.689901697944595,9.18518518518519,0.8148148148148106,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
9,76.73504524634883,74.26447915720642,002395,双象股份,bottom_area,2022-12-21,10.07,2022-12-20,9.75,3.2820512820512846,5.230769230769228,28.62371888726208,False,-1.2745,0.8149,1,1,1,100.0,36.59976387249114,36.59976387249114,6.717948717948715,3.2820512820512846,历史1/1次成功; 当前距低点3.28%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
10,76.38128144285275,70.6081130788876,300667,必创科技,bottom_area,2022-12-21,14.97,2022-12-21,14.84,0.8760107816711642,2.762803234501349,27.821011673151748,False,-1.3834,1.382,1,1,1,100.0,27.287191726332534,27.287191726332534,9.123989218328836,0.8760107816711642,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
11,76.33707877941212,70.56497117015263,603289,泰瑞机器,bottom_area,2022-12-21,9.23,2022-12-21,9.15,0.8743169398907111,4.371584699453555,27.265500794912555,False,-2.9443,1.8028,1,1,1,100.0,27.034482758620705,27.034482758620705,9.125683060109289,0.8743169398907111,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
12,76.33399820536916,70.11419094419094,002047,宝鹰股份,bottom_area,2022-12-21,3.72,2022-12-21,3.7,0.540540540540541,3.51351351351351,31.608133086876155,False,-2.3622,1.2145,1,1,1,100.0,20.51948051948051,20.51948051948051,9.45945945945946,0.540540540540541,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-2.36%; 状态bottom_area; 底部未确认
13,75.70404039065505,73.54106780806491,002362,汉王科技,bottom_area,2022-12-21,16.66,2022-12-21,16.1,3.4782608695652093,6.024844720496887,31.0492505353319,False,2.3342,10.8237,1,1,1,100.0,12.642487046632112,12.642487046632112,6.521739130434792,3.4782608695652093,历史1/1次成功; 当前距低点3.48%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
14,74.33107537731402,68.50903245256123,600158,中体产业,bottom_area,2022-12-21,8.39,2022-12-21,8.33,0.7202881152461044,2.400960384153653,29.286926994906615,False,-1.7564,1.8415,1,1,1,100.0,14.092953523238386,14.092953523238386,9.279711884753898,0.7202881152461044,历史1/1次成功; 当前距低点0.72%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
15,73.76698814655165,70.99379310344823,002795,永和智控,confirmed_rebound,2022-12-21,8.96,2022-12-19,8.7,2.9885057471264553,10.344827586206902,29.268292682926838,False,-1.9694,3.163,1,1,1,100.0,25.632183908045985,25.632183908045985,7.011494252873546,2.9885057471264553,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-1.97%; 状态confirmed_rebound; 底部未确认
16,68.96703918474829,63.175022348372536,002603,以岭药业,bottom_area,2022-12-21,37.87,2022-12-21,37.72,0.39766702014845856,5.514316012725341,30.096367679762793,False,-4.1023,8.7196,2,3,2,66.66666666666666,30.564712299163222,39.661898569570866,9.602332979851543,0.39766702014845856,历史2/3次成功; 当前距低点0.40%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
17,63.04779956847018,58.53452637603785,688115,思林杰,bottom_area,2022-12-21,39.44,2022-12-21,39.01,1.102281466290694,4.742373750320435,29.9389367816092,False,-2.8571,2.3769,1,2,1,50.0,16.977032898820603,16.977032898820603,8.897718533709305,1.102281466290694,历史1/2次成功; 当前距低点1.10%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
18,61.095950939049835,56.63068271891123,002786,银宝山新,bottom_area,2022-12-21,6.95,2022-12-21,6.88,1.0174418604651203,5.377906976744188,30.85427135678391,False,-4.6639,6.6745,1,2,1,50.0,15.916398713826371,15.916398713826371,8.98255813953488,1.0174418604651203,历史1/2次成功; 当前距低点1.02%; 最新日涨幅-4.66%; 状态bottom_area; 底部未确认
19,55.21771507393493,50.88978360089269,300482,万孚生物,bottom_area,2022-12-21,36.51,2022-12-21,36.25,0.7172413793103394,3.9724137931034424,28.43040473840079,False,-2.2752,5.9034,1,2,1,50.0,10.99512874043146,10.99512874043146,9.28275862068966,0.7172413793103394,历史1/2次成功; 当前距低点0.72%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
