rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.92278613881592,89.83527918781726,002269,美邦服饰,bottom_area,2022-12-28,1.99,2022-12-23,1.97,1.0152284263959401,7.61421319796955,27.30627306273063,True,-1.9704,2.5549,3,3,3,100.0,67.6633252638804,173.50993377483442,8.98477157360406,1.0152284263959401,历史3/3次成功; 当前距低点1.02%; 最新日涨幅-1.97%; 状态bottom_area; 底部已确认
2,91.38830935097721,84.61092295126595,688075,安旭生物,bottom_area,2022-12-28,85.48,2022-12-28,84.67,0.9566552497933178,2.055037203259708,28.776917900403763,False,0.0351,4.0699,4,4,4,100.0,31.086542584917854,40.134529147982065,9.043344750206684,0.9566552497933178,历史4/4次成功; 当前距低点0.96%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
3,84.77324214739167,79.09804602036965,000597,东北制药,bottom_area,2022-12-28,6.69,2022-12-27,6.6,1.363636363636375,7.727272727272738,29.032258064516135,False,1.0574,6.6793,1,1,1,100.0,16.59751037344398,16.59751037344398,8.636363636363626,1.363636363636375,历史1/1次成功; 当前距低点1.36%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
4,84.54408740674718,78.67893075077997,300542,新晨科技,bottom_area,2022-12-28,11.55,2022-12-28,11.41,1.2269938650306798,4.206836108676603,28.148614609571794,False,-2.1186,1.8143,2,2,2,100.0,18.47568152177371,21.587301587301592,8.77300613496932,1.2269938650306798,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-2.12%; 状态bottom_area; 底部未确认
5,83.50026152060872,80.23975646826786,688185,康希诺,bottom_area,2022-12-28,147.51,2022-12-27,143.34,2.9091670154876432,6.732245011859918,30.417475728155335,False,-0.3445,4.2944,5,5,5,100.0,14.154071309568138,19.236097367900253,7.090832984512358,2.9091670154876432,历史5/5次成功; 当前距低点2.91%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
6,82.94911699950563,77.12118601999367,001332,锡装股份,bottom_area,2022-12-28,56.73,2022-12-23,56.07,1.1771000535045417,5.796326021045122,32.874416377349455,False,-2.7763,4.2808,1,1,1,100.0,26.155774956903304,26.155774956903304,8.82289994649546,1.1771000535045417,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
7,82.84230842319091,77.12487637813749,603289,泰瑞机器,bottom_area,2022-12-28,8.93,2022-12-23,8.82,1.2471655328798121,5.555555555555558,29.888712241653415,False,-1.9759,1.2394,1,1,1,100.0,27.034482758620705,27.034482758620705,8.752834467120188,1.2471655328798121,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
8,82.50053941693957,77.0525507000423,001209,洪兴股份,bottom_area,2022-12-28,13.62,2022-12-28,13.43,1.4147431124348437,4.3186895011169035,29.091869060190078,False,-2.7143,12.5901,2,2,2,100.0,12.033145141901933,13.480885311871237,8.585256887565157,1.4147431124348437,历史2/2次成功; 当前距低点1.41%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
9,81.90871451482437,74.70460335898352,000411,英特集团,bottom_area,2022-12-28,11.78,2022-12-28,11.76,0.1700680272108807,3.826530612244907,30.373001776198937,False,-3.3634,3.0859,2,2,2,100.0,34.206228285076975,47.98426745329401,9.82993197278912,0.1700680272108807,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
10,81.61933031793599,74.19939119812362,002116,中国海诚,bottom_area,2022-12-28,10.23,2022-12-28,10.23,0.0,2.2482893450635424,28.810020876826712,False,-2.5714,1.5885,3,3,3,100.0,14.781673108191493,18.51179673321235,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
11,81.50684765595365,74.42990579361035,000980,众泰汽车,bottom_area,2022-12-28,4.27,2022-12-28,4.26,0.2347417840375537,4.929577464788732,29.586776859504134,False,-5.7395,3.8065,2,2,2,100.0,33.52213473772031,43.49775784753364,9.765258215962447,0.2347417840375537,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-5.74%; 状态bottom_area; 底部未确认
12,81.01367077847831,73.96737128082911,002838,道恩股份,bottom_area,2022-12-28,17.73,2022-12-28,17.69,0.2261164499717306,3.39174674957602,29.465709728867612,False,-2.6894,2.076,2,2,2,100.0,20.71460638045511,24.95606326889279,9.77388355002827,0.2261164499717306,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
