rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.90618351927824,78.79825242718447,000430,张家界,bottom_area,2022-04-26,5.23,2022-04-26,5.15,1.5533980582524285,9.126213592233004,28.670360110803315,False,-3.1481,6.8575,1,1,1,100.0,53.99999999999999,53.99999999999999,18.446601941747574,1.5533980582524285,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
2,91.85044154726388,78.09260990973632,300417,南华仪器,bottom_area,2022-04-26,8.31,2022-04-26,8.22,1.0948905109489033,10.34063260340632,28.02101576182136,False,-5.5682,1.1913,2,2,2,100.0,23.919141261827036,25.514403292181065,18.905109489051096,1.0948905109489033,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-5.57%; 状态bottom_area; 底部未确认
3,91.5545079951336,78.45287745941182,300711,广哈通信,bottom_area,2022-04-26,10.0,2022-04-26,9.85,1.5228426395939123,10.0507614213198,31.597222222222225,False,-4.943,1.6681,1,1,1,100.0,47.76859504132231,47.76859504132231,18.47715736040609,1.5228426395939123,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-4.94%; 状态bottom_area; 底部未确认
4,91.08619807425433,77.54662669165711,688350,富淼科技,bottom_area,2022-04-26,15.59,2022-04-26,15.41,1.1680726800778696,9.669046073977926,28.158508158508155,False,-6.6467,0.574,1,1,1,100.0,38.54748603351957,38.54748603351957,18.83192731992213,1.1680726800778696,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-6.65%; 状态bottom_area; 底部未确认
5,90.3183272304401,76.41688129410498,300584,海辰药业,bottom_area,2022-04-26,31.63,2022-04-26,31.37,0.8288173414089831,5.196047178833277,32.970085470085465,False,-1.4949,10.0832,2,2,2,100.0,41.271961465147655,54.23197492163009,19.171182658591018,0.8288173414089831,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
6,89.26483842054148,76.24283251338764,001213,中铁特货,bottom_area,2022-04-26,4.52,2022-04-26,4.46,1.345291479820619,5.829596412556049,30.42121684867395,False,-1.5251,5.2371,1,1,1,100.0,23.49514563106796,23.49514563106796,18.654708520179383,1.345291479820619,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
7,89.08577899078216,76.70672145183875,300437,清水源,bottom_area,2022-04-26,17.66,2022-04-26,17.35,1.7867435158501366,8.126801152737752,29.643146796431463,False,-1.1198,7.5548,4,5,4,80.0,24.733853053640157,30.330330330330323,18.213256484149866,1.7867435158501366,历史4/5次成功; 当前距低点1.79%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
8,88.52356545183433,75.78189861860534,000422,湖北宜化,bottom_area,2022-04-26,15.88,2022-04-26,15.65,1.4696485623003221,8.753993610223636,32.601205857019806,False,-6.7528,7.9317,1,1,1,100.0,32.75643731532291,32.75643731532291,18.53035143769968,1.4696485623003221,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-6.75%; 状态bottom_area; 底部未确认
9,88.37046720546302,75.9523201415893,002796,世嘉科技,bottom_area,2022-04-26,6.63,2022-04-26,6.52,1.687116564417183,12.730061349693253,27.796234772978956,False,-8.2988,3.5663,1,1,1,100.0,36.33841886269071,36.33841886269071,18.31288343558282,1.687116564417183,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-8.30%; 状态bottom_area; 底部未确认
10,88.26153180042832,76.20150468194873,688037,芯源微,bottom_area,2022-04-26,93.83,2022-04-26,92.05,1.9337316675719731,8.419337316675719,29.73282442748092,False,-4.4404,3.0534,2,2,2,100.0,24.034477871036746,27.322614278658854,18.066268332428027,1.9337316675719731,历史2/2次成功; 当前距低点1.93%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
11,87.70133250825081,74.50732673267326,600281,华阳新材,bottom_area,2022-04-26,3.84,2022-04-26,3.8,1.0526315789473695,7.894736842105258,28.166351606805296,False,-6.3415,1.0726,1,1,1,100.0,20.79207920792079,20.79207920792079,18.947368421052634,1.0526315789473695,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-6.34%; 状态bottom_area; 底部未确认
12,87.60197210726233,75.19798994269522,300559,佳发教育,bottom_area,2022-04-26,8.16,2022-04-26,8.03,1.6189290161893002,3.9850560398505643,27.592425608656452,False,-0.7299,1.8444,1,1,1,100.0,21.231979030144167,21.231979030144167,18.3810709838107,1.6189290161893002,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
13,86.96249716660802,73.10393188109279,300409,道氏技术,bottom_area,2022-04-26,14.77,2022-04-26,14.7,0.47619047619047816,4.897959183673474,27.083333333333336,False,-1.6644,2.0089,1,1,1,100.0,35.80454928390903,35.80454928390903,19.523809523809526,0.47619047619047816,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
14,86.66564080524921,73.95518453699792,000811,冰轮环境,bottom_area,2022-04-26,7.82,2022-04-26,7.72,1.2953367875647739,8.031088082901556,27.64761012183693,False,-6.4593,2.2112,1,1,1,100.0,20.798668885191347,20.798668885191347,18.70466321243523,1.2953367875647739,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-6.46%; 状态bottom_area; 底部未确认
15,85.80299673591558,72.75387463054707,300480,光力科技,bottom_area,2022-04-26,18.12,2022-04-26,17.95,0.9470752089136586,7.353760445682453,29.330708661417322,False,-2.4233,2.133,1,1,1,100.0,39.69465648854962,39.69465648854962,19.052924791086344,0.9470752089136586,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
16,85.39532476819707,72.13085186331757,002045,国光电器,bottom_area,2022-04-26,6.83,2022-04-26,6.78,0.7374631268436552,5.014749262536871,28.78151260504201,False,-0.8708,1.8349,1,1,1,100.0,33.77563329312426,33.77563329312426,19.262536873156346,0.7374631268436552,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
17,85.34482174219612,77.76988917251437,603185,弘元绿能,bottom_area,2022-04-26,107.0,2022-04-25,102.01,4.89167728654053,9.793157533575133,28.151852373573732,True,4.8917,2.7482,1,1,1,100.0,43.51028702057404,43.51028702057404,15.10832271345947,4.89167728654053,历史1/1次成功; 当前距低点4.89%; 最新日涨幅4.89%; 状态bottom_area; 底部已确认
18,85.13054465342725,72.15801852830232,000012,南玻A,bottom_area,2022-04-26,5.44,2022-04-26,5.39,0.9276437847866551,8.534322820037106,29.265091863517068,False,-4.0564,2.2837,1,1,1,100.0,46.467991169977914,46.467991169977914,19.072356215213347,0.9276437847866551,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-4.06%; 状态bottom_area; 底部未确认
19,84.73553105731774,70.82936560934891,001218,丽臣实业,bottom_area,2022-04-26,30.0,2022-04-26,29.95,0.16694490818030286,6.343906510851427,30.186480186480185,False,-4.2146,1.8903,1,1,1,100.0,29.999999999999993,29.999999999999993,19.8330550918197,0.16694490818030286,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
20,84.49867988199283,70.64602513192497,300441,鲍斯股份,bottom_area,2022-04-26,5.62,2022-04-26,5.61,0.17825311942958622,6.595365418894832,28.443877551020403,False,-4.7458,0.9899,1,1,1,100.0,29.15291529152916,29.15291529152916,19.821746880570416,0.17825311942958622,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-4.75%; 状态bottom_area; 底部未确认
21,84.15896761135916,70.60663232299032,300735,光弘科技,bottom_area,2022-04-26,8.19,2022-04-26,8.16,0.36764705882352156,7.843137254901968,30.017152658662095,False,-5.6452,1.4464,1,1,1,100.0,31.262729124236255,31.262729124236255,19.632352941176478,0.36764705882352156,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-5.65%; 状态bottom_area; 底部未确认
22,83.97657186265543,70.60105661607562,002234,民和股份,bottom_area,2022-04-26,14.6,2022-04-26,14.53,0.4817618719889903,8.05230557467309,32.00748713149275,False,-6.5899,8.707,1,1,1,100.0,32.63157894736842,32.63157894736842,19.518238128011014,0.4817618719889903,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-6.59%; 状态bottom_area; 底部未确认
23,83.64053057640085,70.72750827374821,300354,东华测试,bottom_area,2022-04-26,20.2,2022-04-26,20.04,0.7984031936127752,11.177644710578853,27.601156069364162,False,-7.2118,0.9277,1,1,1,100.0,37.19283631820073,37.19283631820073,19.201596806387226,0.7984031936127752,历史1/1次成功; 当前距低点0.80%; 最新日涨幅-7.21%; 状态bottom_area; 底部未确认
24,83.55185185185185,69.62654320987654,002278,神开股份,bottom_area,2022-04-26,4.67,2022-04-26,4.67,0.0,8.779443254817991,27.484472049689444,False,-10.0193,5.2175,1,1,1,100.0,33.74485596707818,33.74485596707818,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
25,83.49689552238804,69.58074626865671,002676,顺威股份,bottom_area,2022-04-26,3.1,2022-04-26,3.1,0.0,5.483870967741932,29.38496583143507,False,-1.8987,1.1021,1,1,1,100.0,23.283582089552233,23.283582089552233,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
26,83.48101698552975,70.09636187796728,002418,康盛股份,bottom_area,2022-04-26,2.43,2022-04-26,2.42,0.41322314049587733,6.198347107438013,32.02247191011236,False,-3.9526,0.941,1,1,1,100.0,29.078014184397176,29.078014184397176,19.586776859504123,0.41322314049587733,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-3.95%; 状态bottom_area; 底部未确认
27,83.33727835051548,69.4477319587629,002255,海陆重工,bottom_area,2022-04-26,4.2,2022-04-26,4.2,0.0,6.904761904761905,27.33564013840831,False,-10.0642,2.9775,1,1,1,100.0,32.783505154639194,32.783505154639194,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态bottom_area; 底部未确认
28,83.22218394609469,72.37466257668713,002274,华昌化工,bottom_area,2022-04-26,8.34,2022-04-26,8.15,2.331288343558276,9.202453987730062,29.006968641114984,False,-7.8453,2.9133,1,1,1,100.0,24.999999999999993,24.999999999999993,17.668711656441726,2.331288343558276,历史1/1次成功; 当前距低点2.33%; 最新日涨幅-7.85%; 状态bottom_area; 底部未确认
29,82.99804044408171,69.33272499075814,600343,航天动力,bottom_area,2022-04-26,7.58,2022-04-26,7.57,0.13210039630118608,8.454425363276098,27.904761904761905,False,-8.3434,1.6259,1,1,1,100.0,21.52641878669275,21.52641878669275,19.867899603698817,0.13210039630118608,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-8.34%; 状态bottom_area; 底部未确认
30,82.87095562886759,69.93128861907883,603230,内蒙新华,bottom_area,2022-04-26,10.29,2022-04-26,10.22,0.6849315068493005,5.772994129158511,29.85586822237474,False,-4.1007,4.5463,1,1,1,100.0,31.521142229544196,31.521142229544196,19.3150684931507,0.6849315068493005,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
31,82.40413721008774,69.15012149557953,688136,科兴制药,bottom_area,2022-04-26,23.77,2022-04-26,23.68,0.380067567567567,10.64189189189189,29.649435531788466,False,-6.7843,5.1698,1,1,1,100.0,23.58427714856763,23.58427714856763,19.619932432432435,0.380067567567567,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-6.78%; 状态bottom_area; 底部未确认
32,82.09144716948413,72.53059589271689,605567,春雪食品,bottom_area,2022-04-26,14.52,2022-04-26,14.07,3.198294243070357,9.310589907604836,28.903486609398684,False,-5.7143,20.66,1,1,1,100.0,36.46616541353383,36.46616541353383,16.801705756929643,3.198294243070357,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-5.71%; 状态bottom_area; 底部未确认
33,82.02441041347626,68.35367534456356,600363,联创光电,bottom_area,2022-04-26,16.47,2022-04-26,16.47,0.0,8.075288403157268,29.705505761843792,False,-10.0,2.9315,1,1,1,100.0,26.901480347115875,26.901480347115875,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
34,81.88914378029078,68.24095315024232,300736,百邦科技,confirmed_rebound,2022-04-26,8.81,2022-04-26,8.81,0.0,30.0794551645857,31.599378881987576,False,-19.9818,6.958,1,1,1,100.0,36.51050080775442,36.51050080775442,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-19.98%; 状态confirmed_rebound; 底部未确认
35,81.81629964328181,68.18024970273484,600955,维远股份,bottom_area,2022-04-26,26.62,2022-04-26,26.62,0.0,5.897821187077387,28.479312197743145,False,-5.7699,2.4819,1,1,1,100.0,25.969084423305596,25.969084423305596,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.77%; 状态bottom_area; 底部未确认
36,80.96939235339984,68.34133870812968,688206,概伦电子,bottom_area,2022-04-26,18.79,2022-04-26,18.66,0.6966773847802733,10.718113612004288,28.20315505963832,False,-7.2099,2.9213,1,1,1,100.0,23.11700615821885,23.11700615821885,19.303322615219727,0.6966773847802733,历史1/1次成功; 当前距低点0.70%; 最新日涨幅-7.21%; 状态bottom_area; 底部未确认
37,80.91176470588236,67.4264705882353,603063,禾望电气,bottom_area,2022-04-26,22.06,2022-04-26,22.06,0.0,7.932910244786945,28.769777203745562,False,-5.4436,1.6801,1,1,1,100.0,21.916508538899436,21.916508538899436,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
38,80.72927472527472,67.27439560439561,002474,榕基软件,bottom_area,2022-04-26,4.94,2022-04-26,4.94,0.0,5.263157894736838,31.388888888888882,False,-3.1373,2.4982,1,1,1,100.0,21.0989010989011,21.0989010989011,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
39,80.69975493533015,67.2497957794418,300730,科创信息,bottom_area,2022-04-26,13.88,2022-04-26,13.88,0.0,11.671469740633999,31.625615763546794,False,-8.6842,11.5142,1,1,1,100.0,20.966643975493536,20.966643975493536,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-8.68%; 状态bottom_area; 底部未确认
40,80.41285607211496,68.20798114761601,000532,华金资本,bottom_area,2022-04-26,9.4,2022-04-26,9.31,0.9667024704618674,8.270676691729319,28.713629402756506,False,-5.1463,1.8542,1,1,1,100.0,25.710014947683103,25.710014947683103,19.033297529538135,0.9667024704618674,历史1/1次成功; 当前距低点0.97%; 最新日涨幅-5.15%; 状态bottom_area; 底部未确认
41,80.34766985725402,67.92034914409496,688004,博汇科技,bottom_area,2022-04-26,21.96,2022-04-26,21.79,0.7801743919229083,7.939421753097752,30.31659737767829,False,-7.0673,1.2276,1,1,1,100.0,21.87713310580205,21.87713310580205,19.219825608077095,0.7801743919229083,历史1/1次成功; 当前距低点0.78%; 最新日涨幅-7.07%; 状态bottom_area; 底部未确认
42,80.10515714958217,68.11410739107988,300511,雪榕生物,bottom_area,2022-04-26,5.51,2022-04-26,5.45,1.1009174311926533,8.256880733944957,32.465923172242874,False,-4.1739,3.8709,2,3,2,66.66666666666666,25.900712191034756,29.220779220779214,18.899082568807348,1.1009174311926533,历史2/3次成功; 当前距低点1.10%; 最新日涨幅-4.17%; 状态bottom_area; 底部未确认
43,78.7736928865524,66.2128732497772,300387,富邦科技,bottom_area,2022-04-26,6.41,2022-04-26,6.38,0.47021943573668107,6.896551724137938,30.425299890948747,False,-3.4639,5.2489,2,3,2,66.66666666666666,47.78659621822667,50.883392226148395,19.52978056426332,0.47021943573668107,历史2/3次成功; 当前距低点0.47%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
44,73.43295652173917,62.55400000000002,000537,绿发电力,bottom_area,2022-04-26,10.12,2022-04-26,10.0,1.1999999999999922,8.499999999999996,30.069930069930074,False,-7.0707,1.3892,1,2,1,50.0,310.7981220657277,310.7981220657277,18.800000000000008,1.1999999999999922,历史1/2次成功; 当前距低点1.20%; 最新日涨幅-7.07%; 状态bottom_area; 底部未确认
45,72.63568616772338,62.398020925434714,300534,陇神戎发,bottom_area,2022-04-26,7.96,2022-04-26,7.83,1.6602809706257968,6.257982120051088,28.558394160583944,False,0.7595,7.6014,1,2,1,50.0,22.115384615384613,22.115384615384613,18.339719029374205,1.6602809706257968,历史1/2次成功; 当前距低点1.66%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
46,71.30862310001181,60.76058546354107,000676,智度股份,bottom_area,2022-04-26,5.0,2022-04-26,4.94,1.214574898785417,5.060728744939271,31.95592286501377,False,-0.7937,1.506,1,2,1,50.0,30.321592649310862,30.321592649310862,18.785425101214585,1.214574898785417,历史1/2次成功; 当前距低点1.21%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
47,70.89440921288013,59.93039835164835,002408,齐翔腾达,bottom_area,2022-04-26,6.45,2022-04-26,6.4,0.7812499999999972,5.781249999999988,31.256713211600427,False,0.1553,1.2463,1,2,1,50.0,37.91208791208789,37.91208791208789,19.218750000000004,0.7812499999999972,历史1/2次成功; 当前距低点0.78%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
48,70.70103494060099,60.98811320754718,605299,舒华体育,bottom_area,2022-04-26,9.18,2022-04-26,9.01,1.8867924528301878,7.325194228634851,32.255639097744364,False,-3.0623,3.0301,1,2,1,50.0,56.12903225806454,56.12903225806454,18.113207547169814,1.8867924528301878,历史1/2次成功; 当前距低点1.89%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
49,69.91903338844891,59.44186936388011,002658,雪迪龙,bottom_area,2022-04-26,5.56,2022-04-26,5.5,1.090909090909084,5.4545454545454515,27.631578947368418,False,-1.5929,1.7911,1,2,1,50.0,21.715817694369974,21.715817694369974,18.909090909090917,1.090909090909084,历史1/2次成功; 当前距低点1.09%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
