rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.03290831841471,76.24963200493451,688155,先惠技术,bottom_area,2022-08-30,85.0,2022-08-30,82.23,3.3686002675422544,5.02249787182293,30.689480782198242,False,-0.5848,5.8505,2,2,2,100.0,31.66688502650995,38.11460912628228,16.631399732457748,3.3686002675422544,历史2/2次成功; 当前距低点3.37%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
2,82.96784822897344,70.24853038823431,002632,道明光学,bottom_area,2022-08-30,6.97,2022-08-30,6.91,0.8683068017366079,4.486251808972498,30.552763819095468,False,-2.244,5.1001,1,1,1,100.0,25.259515570934255,25.259515570934255,19.131693198263395,0.8683068017366079,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
3,82.2401713769982,69.78783261608834,688058,宝兰德,bottom_area,2022-08-30,41.82,2022-08-30,41.41,0.9900990099009991,3.6223134508572814,29.813559322033907,False,-0.4286,2.228,1,1,1,100.0,24.27558257345491,24.27558257345491,19.009900990099002,0.9900990099009991,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
4,82.05123026519,69.5934682080925,002110,三钢闽光,bottom_area,2022-08-30,5.24,2022-08-29,5.19,0.9633911368015379,2.11946050096338,30.14804845222072,False,-0.5693,0.2694,1,1,1,100.0,22.90322580645161,22.90322580645161,19.036608863198463,0.9633911368015379,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
5,81.6762523561,68.98501929769061,603289,泰瑞机器,bottom_area,2022-08-30,10.98,2022-08-30,10.9,0.733944954128441,6.055045871559634,29.903536977491964,False,-3.0891,2.5206,1,1,1,100.0,27.034482758620705,27.034482758620705,19.26605504587156,0.733944954128441,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
6,80.01437374811009,67.68649788894575,002855,捷荣技术,bottom_area,2022-08-30,9.85,2022-08-30,9.77,0.8188331627430918,12.07778915046059,27.035100821508596,False,-9.2166,12.7612,1,1,1,100.0,21.093749999999993,21.093749999999993,19.18116683725691,0.8188331627430918,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-9.22%; 状态bottom_area; 底部未确认
7,73.11787467733535,61.889706577384906,300745,欣锐科技,bottom_area,2022-08-30,45.0,2022-08-30,44.62,0.8516360376512832,12.595248767368904,31.279839827506557,False,-14.2694,11.4914,2,3,2,66.66666666666666,29.21919396001701,36.150000000000006,19.148363962348718,0.8516360376512832,历史2/3次成功; 当前距低点0.85%; 最新日涨幅-14.27%; 状态bottom_area; 底部未确认
8,68.06740366361876,57.685511811023616,002536,飞龙股份,bottom_area,2022-08-30,7.69,2022-08-29,7.62,0.9186351706036784,4.724409448818902,27.081339712918655,False,-2.0382,4.1905,1,2,1,50.0,55.505617977528075,55.505617977528075,19.08136482939632,0.9186351706036784,历史1/2次成功; 当前距低点0.92%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
9,66.16857848749855,58.62483423218499,688288,鸿泉技术,bottom_area,2022-08-30,20.05,2022-08-30,19.4,3.350515463917537,4.020618556701037,28.98975109809664,False,1.365,1.3836,1,3,1,33.33333333333333,41.992882562277565,41.992882562277565,16.649484536082465,3.350515463917537,历史1/3次成功; 当前距低点3.35%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
10,64.51388957424678,58.23198175775885,603180,金牌家居,bottom_area,2022-08-30,24.12,2022-08-29,23.11,4.37040242319343,7.312851579402861,27.463904582548647,True,0.1245,1.5003,1,2,1,50.0,23.744619799139173,23.744619799139173,15.62959757680657,4.37040242319343,历史1/2次成功; 当前距低点4.37%; 最新日涨幅0.12%; 状态bottom_area; 底部已确认
11,63.88790540193067,53.61373931623934,688083,中望软件,bottom_area,2022-08-30,176.17,2022-08-30,175.5,0.3817663817663746,4.438746438746434,32.231532609954826,False,-2.8403,1.0974,1,2,1,50.0,21.52777777777778,21.52777777777778,19.618233618233628,0.3817663817663746,历史1/2次成功; 当前距低点0.38%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
12,62.8252282064104,54.4375127668173,300400,劲拓股份,bottom_area,2022-08-30,15.81,2022-08-30,15.48,2.1317829457364343,5.749354005167962,30.395683453237403,False,-2.1658,2.5696,1,3,1,33.33333333333333,27.014218009478668,27.014218009478668,17.868217054263567,2.1317829457364343,历史1/3次成功; 当前距低点2.13%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
