rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.54897424613715,81.78910046969183,300480,光力科技,bottom_area,2022-08-31,15.93,2022-08-31,15.7,1.4649681528662448,7.006369426751602,29.753914988814323,False,-5.1221,2.6024,3,3,3,100.0,31.66251536681112,39.69465648854962,18.535031847133755,1.4649681528662448,历史3/3次成功; 当前距低点1.46%; 最新日涨幅-5.12%; 状态bottom_area; 底部未确认
2,93.6815962740386,78.74136220994801,001212,中旗新材,bottom_area,2022-08-31,27.87,2022-08-31,27.74,0.46863734679164587,6.0562364816150085,28.72559095580679,False,-5.2363,5.1507,3,3,3,100.0,42.90244817544601,82.06521739130437,19.531362653208355,0.46863734679164587,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-5.24%; 状态bottom_area; 底部未确认
3,92.71716966565808,79.2210202007721,605258,协和电子,bottom_area,2022-08-31,23.01,2022-08-31,22.7,1.3656387665198337,4.845814977973575,27.936507936507937,False,-3.3193,2.9253,1,1,1,100.0,49.971379507727534,49.971379507727534,18.634361233480167,1.3656387665198337,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
4,90.65182543593025,77.029726443769,688058,宝兰德,bottom_area,2022-08-31,40.85,2022-08-31,40.42,1.0638297872340419,5.0964868876793545,31.49152542372881,False,-2.3195,2.5927,1,1,1,100.0,24.27558257345491,24.27558257345491,18.93617021276596,1.0638297872340419,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
5,90.0331391364416,75.02761594703468,603185,弘元绿能,bottom_area,2022-08-31,134.87,2022-08-31,134.87,0.0,11.588937495365904,28.933501949625878,False,-9.9967,3.6374,3,3,3,100.0,29.449548102336955,43.51028702057404,20.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
6,83.66599048504685,70.4669825918762,002110,三钢闽光,bottom_area,2022-08-31,5.2,2022-08-31,5.17,0.5802707930367553,1.547388781431336,30.41722745625841,False,-0.7634,0.356,1,1,1,100.0,22.90322580645161,22.90322580645161,19.419729206963247,0.5802707930367553,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
7,83.00154244201158,72.99955801104974,300611,美力科技,bottom_area,2022-08-31,9.78,2022-08-31,9.5,2.9473684210526248,11.789473684210519,31.70381020848311,False,-7.2986,5.5746,1,1,1,100.0,35.911602209944746,35.911602209944746,17.052631578947373,2.9473684210526248,历史1/1次成功; 当前距低点2.95%; 最新日涨幅-7.30%; 状态bottom_area; 底部未确认
8,82.88818560010884,69.30492521239681,603178,圣龙股份,bottom_area,2022-08-31,10.98,2022-08-31,10.96,0.1824817518248136,10.948905109489043,27.513227513227505,False,-9.6296,4.004,1,1,1,100.0,21.994535519125673,21.994535519125673,19.817518248175187,0.1824817518248136,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-9.63%; 状态bottom_area; 底部未确认
9,82.80611291350519,69.19796003048343,688045,必易微,bottom_area,2022-08-31,59.2,2022-08-31,59.11,0.1522585010996505,5.565894095753678,28.61111111111111,False,-4.3,6.9396,1,1,1,100.0,21.048975338659265,21.048975338659265,19.84774149890035,0.1522585010996505,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-4.30%; 状态bottom_area; 底部未确认
10,82.4284179398811,73.21805188879111,000715,中兴商业,bottom_area,2022-08-31,5.04,2022-08-03,4.87,3.4907597535934274,7.802874743326487,27.421758569299552,True,-1.9455,1.2246,1,1,1,100.0,24.33862433862435,24.33862433862435,16.509240246406574,3.4907597535934274,历史1/1次成功; 当前距低点3.49%; 最新日涨幅-1.95%; 状态bottom_area; 底部已确认
11,82.19019230769231,68.49182692307693,002329,皇氏集团,bottom_area,2022-08-31,8.02,2022-08-31,8.02,0.0,10.847880299251884,27.223230490018153,False,-9.9888,25.4305,1,1,1,100.0,27.644230769230756,27.644230769230756,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
