rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.56296405126598,78.25771428571427,300446,航天智造,bottom_area,2022-10-12,9.14,2022-10-10,8.75,4.4571428571428635,5.028571428571423,32.69230769230769,False,1.4428,1.7673,1,1,1,100.0,51.92697768762679,51.92697768762679,15.542857142857136,4.4571428571428635,历史1/1次成功; 当前距低点4.46%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
2,86.4642657797133,77.55470715959338,601155,新城控股,bottom_area,2022-10-12,16.8,2022-10-12,16.15,4.024767801857599,4.024767801857599,29.321663019693666,False,2.3143,0.9092,2,2,2,100.0,24.2536438055306,24.642857142857142,15.975232198142402,4.024767801857599,历史2/2次成功; 当前距低点4.02%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
3,85.86191173593615,76.93125226860253,600178,东安动力,bottom_area,2022-10-12,6.03,2022-10-11,5.8,3.9655172413793176,4.310344827586207,28.746928746928752,False,1.8581,0.7476,1,1,1,100.0,36.84210526315788,36.84210526315788,16.034482758620683,3.9655172413793176,历史1/1次成功; 当前距低点3.97%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
4,83.1746773451736,74.6483312525642,000902,新洋丰,bottom_area,2022-10-12,13.08,2022-10-12,12.57,4.057279236276848,4.136833731105804,27.758620689655167,False,1.1601,0.9231,1,1,1,100.0,25.693160813308673,25.693160813308673,15.942720763723154,4.057279236276848,历史1/1次成功; 当前距低点4.06%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
5,82.97559632518058,74.1647125424555,605080,浙江自然,bottom_area,2022-10-12,46.06,2022-10-12,44.36,3.832281334535624,4.147880973850324,29.810126582278485,False,0.7877,1.822,1,1,1,100.0,20.335021425788852,20.335021425788852,16.167718665464374,3.832281334535624,历史1/1次成功; 当前距低点3.83%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
6,79.85599626419229,72.54230487141817,000683,博源化工,bottom_area,2022-10-12,7.32,2022-10-12,6.99,4.721030042918456,4.721030042918456,28.891149542217697,False,1.385,1.1738,1,1,1,100.0,22.50673854447439,22.50673854447439,15.278969957081545,4.721030042918456,历史1/1次成功; 当前距低点4.72%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
7,79.36085400272268,72.4534453167422,002053,云南能投,bottom_area,2022-10-12,10.72,2022-10-10,10.21,4.995102840352593,5.288932419196857,30.068493150684922,False,1.5152,0.7858,1,1,1,100.0,25.38860103626942,25.38860103626942,15.004897159647406,4.995102840352593,历史1/1次成功; 当前距低点5.00%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
8,78.630498157821,71.7235195863989,300579,数字认证,bottom_area,2022-10-12,19.73,2022-10-11,18.8,4.946808510638296,5.106382978723409,27.30085073472544,False,3.2984,0.8942,1,1,1,100.0,20.872274143302178,20.872274143302178,15.053191489361705,4.946808510638296,历史1/1次成功; 当前距低点4.95%; 最新日涨幅3.30%; 状态bottom_area; 底部未确认
9,66.94107751834348,60.165191835858444,601919,中远海控,bottom_area,2022-10-12,11.33,2022-10-10,10.88,4.1360294117646985,5.055147058823519,28.13738441215323,False,0.1768,0.9313,1,2,1,50.0,40.45881126173098,40.45881126173098,15.863970588235302,4.1360294117646985,历史1/2次成功; 当前距低点4.14%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
10,64.61499033233329,57.92523572338699,300342,天银机电,bottom_area,2022-10-12,8.07,2022-10-12,7.76,3.994845360824749,4.12371134020619,31.929824561403514,False,2.4112,0.8421,1,2,1,50.0,26.68539325842696,26.68539325842696,16.005154639175252,3.994845360824749,历史1/2次成功; 当前距低点3.99%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
11,63.77874529116439,58.157742615162356,603236,移远通信,bottom_area,2022-10-12,110.48,2022-10-12,105.29,4.929243043024027,5.404121948903027,32.315505271277964,False,0.245,1.4566,1,2,1,50.0,39.389337383102855,39.389337383102855,15.070756956975975,4.929243043024027,历史1/2次成功; 当前距低点4.93%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
