rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,99.19250544843109,89.58120993939272,688075,安旭生物,bottom_area,2023-01-03,85.58,2022-12-30,83.88,2.026704816404391,2.3843586075345735,29.441453566621806,False,1.5184,3.4178,4,4,4,100.0,31.086542584917854,40.134529147982065,12.97329518359561,2.026704816404391,历史4/4次成功; 当前距低点2.03%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
2,85.9533184179063,80.1087197401946,000411,英特集团,bottom_area,2023-01-03,12.0,2022-12-30,11.57,3.7165082108902308,4.1486603284356125,31.497927767910006,False,3.7165,2.6836,2,2,2,100.0,34.206228285076975,47.98426745329401,11.28349178910977,3.7165082108902308,历史2/2次成功; 当前距低点3.72%; 最新日涨幅3.72%; 状态bottom_area; 底部未确认
3,85.55469463792224,78.83947317872898,002395,双象股份,bottom_area,2023-01-03,9.95,2023-01-03,9.65,3.1088082901554293,3.626943005181343,29.355783308931183,False,2.261,1.0973,1,1,1,100.0,36.59976387249114,36.59976387249114,11.89119170984457,3.1088082901554293,历史1/1次成功; 当前距低点3.11%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
4,84.18657661636023,78.12548821533609,002838,道恩股份,bottom_area,2023-01-03,18.11,2022-12-30,17.5,3.485714285714282,3.828571428571438,30.223285486443373,False,2.4321,2.6306,2,2,2,100.0,20.71460638045511,24.95606326889279,11.514285714285718,3.485714285714282,历史2/2次成功; 当前距低点3.49%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
5,82.73049734193384,73.77509807893057,000721,西安饮食,bottom_area,2023-01-03,15.78,2023-01-03,15.57,1.348747591522152,4.624277456647392,30.33557046979866,False,-8.7861,27.4344,1,1,1,100.0,20.485175202156327,20.485175202156327,13.651252408477848,1.348747591522152,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-8.79%; 状态bottom_area; 底部未确认
6,82.67542798111887,78.18971421761405,000980,众泰汽车,bottom_area,2023-01-03,4.41,2022-12-29,4.22,4.502369668246455,4.739336492891,30.247933884297524,False,3.5211,3.5802,2,2,2,100.0,33.52213473772031,43.49775784753364,10.497630331753543,4.502369668246455,历史2/2次成功; 当前距低点4.50%; 最新日涨幅3.52%; 状态bottom_area; 底部未确认
7,80.64753585786622,76.16146160075098,688167,炬光科技,bottom_area,2023-01-03,94.64,2023-01-03,90.63,4.424583471256764,5.483835374600021,29.028974158183246,False,1.4036,3.8358,2,2,2,100.0,21.66404255492686,23.41569581359622,10.575416528743235,4.424583471256764,历史2/2次成功; 当前距低点4.42%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
8,76.20486778792609,72.31906716417913,000919,金陵药业,bottom_area,2023-01-03,8.04,2022-12-29,7.68,4.687499999999993,4.817708333333346,31.12107623318386,False,3.4749,2.7363,1,1,1,100.0,20.8955223880597,20.8955223880597,10.312500000000007,4.687499999999993,历史1/1次成功; 当前距低点4.69%; 最新日涨幅3.47%; 状态bottom_area; 底部未确认
9,59.58681952795666,52.894201654819554,002607,中公教育,bottom_area,2023-01-03,4.58,2023-01-03,4.53,1.1037527593818945,2.6490066225165583,27.635782747603827,False,-1.0799,3.2565,1,5,1,20.0,18.337408312958438,18.337408312958438,13.896247240618104,1.1037527593818945,历史1/5次成功; 当前距低点1.10%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
10,56.93451592475276,54.19945103458175,000650,仁和药业,bottom_area,2023-01-03,6.48,2022-12-27,6.18,4.854368932038847,7.281553398058256,27.20848056537103,False,4.685,5.7621,1,2,1,50.0,17.19038817005545,17.19038817005545,10.145631067961153,4.854368932038847,历史1/2次成功; 当前距低点4.85%; 最新日涨幅4.68%; 状态bottom_area; 底部未确认
11,52.91797512308949,50.50791613709944,002116,中国海诚,bottom_area,2023-01-03,10.51,2022-12-30,10.01,4.9950049950049955,5.494505494505502,30.340988169798187,False,2.9383,2.0467,1,3,1,33.33333333333333,18.51179673321235,18.51179673321235,10.004995004995004,4.9950049950049955,历史1/3次成功; 当前距低点5.00%; 最新日涨幅2.94%; 状态bottom_area; 底部未确认
