rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.40786023053917,81.438753608338,000411,英特集团,bottom_area,2023-01-17,11.69,2023-01-05,11.54,1.2998266897747,3.812824956672455,31.675547661338076,False,-1.7647,1.4451,2,2,2,100.0,34.206228285076975,47.98426745329401,13.7001733102253,1.2998266897747,历史2/2次成功; 当前距低点1.30%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
2,88.86732349363947,79.02146912376158,002395,双象股份,bottom_area,2023-01-17,9.31,2023-01-17,9.2,1.1956521739130568,3.913043478260883,32.65007320644217,False,-1.7932,0.956,1,1,1,100.0,36.59976387249114,36.59976387249114,13.804347826086943,1.1956521739130568,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
3,88.82465200844487,78.79697879369019,002095,生意宝,bottom_area,2023-01-17,20.8,2023-01-17,20.58,1.0689990281827135,4.61613216715259,31.400000000000006,False,-2.9851,7.08,1,1,1,100.0,33.84030418250951,33.84030418250951,13.931000971817287,1.0689990281827135,历史1/1次成功; 当前距低点1.07%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
4,83.55900952727035,79.31251179919244,688075,安旭生物,bottom_area,2023-01-17,87.82,2022-12-30,83.88,4.697186456843107,5.996661897949453,29.441453566621806,False,-0.3404,2.4373,4,4,4,100.0,31.086542584917854,40.134529147982065,10.302813543156892,4.697186456843107,历史4/4次成功; 当前距低点4.70%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
5,82.70803517705207,72.87445117829908,002838,道恩股份,bottom_area,2023-01-17,17.13,2023-01-13,17.01,0.7054673721340237,2.057613168724267,32.17703349282296,False,-0.9254,0.8911,2,2,2,100.0,20.71460638045511,24.95606326889279,14.294532627865975,0.7054673721340237,历史2/2次成功; 当前距低点0.71%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
6,81.93775388364301,74.0765671641791,000919,金陵药业,bottom_area,2023-01-17,7.84,2022-12-29,7.68,2.0833333333333353,4.947916666666677,31.12107623318386,False,-1.8773,1.6584,1,1,1,100.0,20.8955223880597,20.8955223880597,12.916666666666664,2.0833333333333353,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
7,81.92613325708938,76.80028293799323,000980,众泰汽车,bottom_area,2023-01-17,4.39,2022-12-29,4.22,4.028436018957344,10.4265402843602,30.247933884297524,True,-0.6787,1.0554,2,2,2,100.0,33.52213473772031,43.49775784753364,10.971563981042655,4.028436018957344,历史2/2次成功; 当前距低点4.03%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
8,68.09505424311456,60.41367525522605,300434,金石亚药,bottom_area,2023-01-17,12.23,2023-01-17,12.1,1.0743801652892626,3.719008264462819,30.379746835443033,False,-2.5498,3.342,1,2,1,50.0,26.7379679144385,26.7379679144385,13.925619834710737,1.0743801652892626,历史1/2次成功; 当前距低点1.07%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
9,62.63229324886393,57.86481479703291,000650,仁和药业,bottom_area,2023-01-17,6.36,2023-01-12,6.16,3.2467532467532494,3.733766233766226,27.444051825677267,False,0.9524,3.0276,1,2,1,50.0,17.19038817005545,17.19038817005545,11.753246753246751,3.2467532467532494,历史1/2次成功; 当前距低点3.25%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
10,61.522083969857505,53.98663166620613,000419,通程控股,bottom_area,2023-01-17,6.19,2023-01-17,6.16,0.48701298701299106,2.4350649350649265,27.868852459016384,False,-1.2759,4.0105,1,2,1,50.0,24.82269503546099,24.82269503546099,14.512987012987008,0.48701298701299106,历史1/2次成功; 当前距低点0.49%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
11,61.076401487454824,53.36291208246606,002349,精华制药,bottom_area,2023-01-17,11.83,2023-01-13,11.8,0.25423728813558777,2.6271186440677856,27.651747394236654,False,-1.4167,1.6779,1,2,1,50.0,18.615984405458093,18.615984405458093,14.745762711864414,0.25423728813558777,历史1/2次成功; 当前距低点0.25%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
12,56.928007020932284,50.007065176772805,000679,大连友谊,bottom_area,2023-01-17,5.56,2023-01-17,5.53,0.5424954792043284,4.520795660036167,27.33245729303548,False,-1.7668,3.2594,1,4,1,25.0,24.94061757719715,24.94061757719715,14.457504520795672,0.5424954792043284,历史1/4次成功; 当前距低点0.54%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
13,56.74926410948963,49.9380881609544,000715,中兴商业,bottom_area,2023-01-17,6.32,2023-01-17,6.28,0.6369426751592362,3.503184713375792,29.596412556053806,False,-2.1672,4.6534,1,3,1,33.33333333333333,24.33862433862435,24.33862433862435,14.363057324840764,0.6369426751592362,历史1/3次成功; 当前距低点0.64%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
