rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.11406986029799,82.59856111010721,000679,大连友谊,confirmed_rebound,2023-02-17,5.64,2023-01-18,5.44,3.676470588235281,9.007352941176459,28.515111695137975,True,0.3559,1.4262,4,4,4,100.0,14.78986049077237,24.94061757719715,4.323529411764719,3.676470588235281,历史4/4次成功; 当前距低点3.68%; 最新日涨幅0.36%; 状态confirmed_rebound; 底部已确认
2,81.10189226125057,82.65015128417096,688075,安旭生物,confirmed_rebound,2023-02-17,88.06,2022-12-30,83.88,4.983309489747267,10.705770147830238,29.441453566621806,True,0.5022,2.7849,4,4,4,100.0,31.086542584917854,40.134529147982065,3.0166905102527335,4.983309489747267,历史4/4次成功; 当前距低点4.98%; 最新日涨幅0.50%; 状态confirmed_rebound; 底部已确认
3,80.19686011477008,76.76985383938015,002403,爱仕达,bottom_area,2023-02-17,10.0,2023-02-16,9.83,1.7293997965411996,5.0864699898270604,29.78571428571429,False,0.7049,2.9048,1,1,1,100.0,8.563899868247699,8.563899868247699,6.270600203458801,1.7293997965411996,历史1/1次成功; 当前距低点1.73%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
4,79.73296600063487,75.77639688104448,002855,捷荣技术,bottom_area,2023-02-17,10.48,2023-02-17,10.34,1.3539651837524234,3.094777562862672,30.087897227856658,False,-1.1321,4.4378,1,1,1,100.0,21.093749999999993,21.093749999999993,6.646034816247577,1.3539651837524234,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
5,78.12988657976933,77.40841013578532,000419,通程控股,bottom_area,2023-02-17,6.18,2023-02-16,5.97,3.5175879396984917,4.690117252931328,30.093676814988285,False,3.3445,4.6953,2,2,2,100.0,17.250057195149854,24.82269503546099,4.482412060301509,3.5175879396984917,历史2/2次成功; 当前距低点3.52%; 最新日涨幅3.34%; 状态bottom_area; 底部未确认
6,75.88830882872615,77.1806357529618,000715,中兴商业,confirmed_rebound,2023-02-17,6.45,2023-01-19,6.15,4.878048780487801,8.130081300813007,31.05381165919282,True,1.4151,4.2006,3,3,3,100.0,17.056919206849418,24.33862433862435,3.1219512195121992,4.878048780487801,历史3/3次成功; 当前距低点4.88%; 最新日涨幅1.42%; 状态confirmed_rebound; 底部已确认
7,72.97258622265419,68.13943990388991,002767,先锋电子,bottom_area,2023-02-17,13.76,2023-02-17,13.7,0.43795620437956573,2.1897810218978155,27.85676671932596,False,-1.0784,3.8416,1,1,1,100.0,8.645054031587705,8.645054031587705,7.562043795620435,0.43795620437956573,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
8,72.28819592076337,72.14837920500614,688355,明志科技,confirmed_rebound,2023-02-17,29.31,2023-02-17,28.21,3.8993264799716334,8.117688762850051,27.443415637860085,False,-3.2673,8.0442,3,3,3,100.0,19.886255802911084,35.08474576271185,4.100673520028367,3.8993264799716334,历史3/3次成功; 当前距低点3.90%; 最新日涨幅-3.27%; 状态confirmed_rebound; 底部未确认
9,72.27137782407131,67.01117037360308,688318,财富趋势,bottom_area,2023-02-17,124.59,2023-02-17,124.5,0.07228915662650875,4.240963855421687,27.295024526979685,False,-3.2686,6.2752,1,1,1,100.0,8.3117723156533,8.3117723156533,7.92771084337349,0.07228915662650875,历史1/1次成功; 当前距低点0.07%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
10,69.57973643887559,70.37992159394891,002144,宏达高科,confirmed_rebound,2023-02-17,11.61,2023-01-20,11.1,4.594594594594593,9.72972972972973,28.34086507424145,True,0.1726,3.6846,1,1,1,100.0,10.352673492605236,10.352673492605236,3.4054054054054075,4.594594594594593,历史1/1次成功; 当前距低点4.59%; 最新日涨幅0.17%; 状态confirmed_rebound; 底部已确认
11,65.17812999541275,66.0479212086419,603318,水发燃气,confirmed_rebound,2023-02-17,8.93,2022-12-30,8.53,4.689331770222747,9.613130128956628,30.819140308191407,True,-0.5568,2.1306,1,1,1,100.0,10.696761530912658,10.696761530912658,3.3106682297772534,4.689331770222747,历史1/1次成功; 当前距低点4.69%; 最新日涨幅-0.56%; 状态confirmed_rebound; 底部已确认
