rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.45462295988335,81.18653104223445,002374,中锐股份,bottom_area,2023-03-21,4.55,2023-03-20,4.49,1.336302895322931,2.2271714922048917,27.346278317152095,False,1.1111,1.0179,2,2,2,100.0,10.82420238478892,12.068965517241388,6.663697104677069,1.336302895322931,历史2/2次成功; 当前距低点1.34%; 最新日涨幅1.11%; 状态bottom_area; 底部未确认
2,82.64117990102426,82.8758726376974,688221,前沿生物,bottom_area,2023-03-21,13.56,2023-03-20,13.02,4.147465437788026,4.3010752688172085,30.00000000000001,False,2.9613,1.6711,5,5,5,100.0,21.032762558355284,34.87394957983194,3.8525345622119747,4.147465437788026,历史5/5次成功; 当前距低点4.15%; 最新日涨幅2.96%; 状态bottom_area; 底部未确认
3,81.71924837533692,80.54269581656837,002824,和胜股份,bottom_area,2023-03-21,31.49,2023-03-21,30.5,3.245901639344257,3.278688524590164,28.904428904428904,False,1.9094,2.8867,3,3,3,100.0,14.104040614372417,19.06976744186047,4.754098360655743,3.245901639344257,历史3/3次成功; 当前距低点3.25%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
4,81.55607162854491,81.6779790599777,300382,斯莱克,bottom_area,2023-03-21,16.08,2023-03-14,15.45,4.077669902912615,4.919093851132696,29.836512261580385,False,0.5629,1.0296,3,3,3,100.0,30.403583003325068,49.70059880239522,3.922330097087385,4.077669902912615,历史3/3次成功; 当前距低点4.08%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
5,79.57153801106067,76.46952866406707,300751,迈为股份,bottom_area,2023-03-21,317.0,2023-03-20,310.99,1.9325380237306635,3.4309784880542837,31.782486619285777,False,0.6797,0.9872,1,1,1,100.0,9.439329882650446,9.439329882650446,6.067461976269336,1.9325380237306635,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
6,78.4052330627404,77.79166500076255,002660,茂硕电源,bottom_area,2023-03-21,9.23,2023-03-20,8.91,3.591470258136928,3.591470258136928,28.31858407079646,False,1.7641,2.457,2,2,2,100.0,20.21622144792876,24.71428571428572,4.408529741863072,3.591470258136928,历史2/2次成功; 当前距低点3.59%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
7,78.15701404194006,77.83432279962302,002347,泰尔股份,bottom_area,2023-03-21,5.21,2023-03-20,5.02,3.784860557768933,3.784860557768933,29.09604519774012,False,2.7613,3.3129,2,2,2,100.0,22.816155222237516,29.585798816568047,4.2151394422310675,3.784860557768933,历史2/2次成功; 当前距低点3.78%; 最新日涨幅2.76%; 状态bottom_area; 底部未确认
8,76.2771418207373,76.40640946212336,002708,光洋股份,bottom_area,2023-03-21,6.62,2023-03-20,6.36,4.088050314465405,4.245283018867918,31.759656652360512,False,2.4768,1.4439,1,1,1,100.0,35.522388059701484,35.522388059701484,3.911949685534595,4.088050314465405,历史1/1次成功; 当前距低点4.09%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
9,76.16318621502829,74.95913368185215,002645,华宏科技,bottom_area,2023-03-21,15.29,2023-03-20,14.82,3.171390013495269,3.576248313090414,29.22636103151863,False,1.5947,0.9632,1,1,1,100.0,16.50485436893203,16.50485436893203,4.828609986504731,3.171390013495269,历史1/1次成功; 当前距低点3.17%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
10,73.75457562672719,74.75842396747245,000887,中鼎股份,bottom_area,2023-03-21,12.69,2023-03-20,12.12,4.702970297029705,5.033003300330043,28.45336481700119,False,2.3387,1.56,2,2,2,100.0,17.53331314354936,23.84615384615385,3.297029702970295,4.702970297029705,历史2/2次成功; 当前距低点4.70%; 最新日涨幅2.34%; 状态bottom_area; 底部未确认
11,71.8734460573081,71.77329727041914,002767,先锋电子,bottom_area,2023-03-21,13.76,2023-03-20,13.24,3.927492447129906,3.927492447129906,30.279094260136908,False,2.2288,1.9278,1,1,1,100.0,8.645054031587705,8.645054031587705,4.0725075528700945,3.927492447129906,历史1/1次成功; 当前距低点3.93%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
12,71.54712528689944,72.14304520770997,605128,上海沿浦,bottom_area,2023-03-21,42.42,2023-03-20,40.62,4.431314623338268,4.702117183653383,31.731092436974794,False,2.5381,3.0249,1,1,1,100.0,16.80883090817863,16.80883090817863,3.5686853766617324,4.431314623338268,历史1/1次成功; 当前距低点4.43%; 最新日涨幅2.54%; 状态bottom_area; 底部未确认
13,69.31493696735672,70.15874233795864,688116,天奈科技,bottom_area,2023-03-21,66.45,2023-03-20,63.51,4.629192253188482,5.1802865690442434,30.567399147261398,False,1.3266,1.6773,1,1,1,100.0,8.566132662518203,8.566132662518203,3.3708077468115176,4.629192253188482,历史1/1次成功; 当前距低点4.63%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
14,68.70804105512673,69.82685775321806,688234,天岳先进,confirmed_rebound,2023-03-21,70.4,2023-03-08,67.15,4.839910647803425,10.647803425167522,28.472518108223255,True,0.4423,0.8331,1,1,1,100.0,10.386311990375614,10.386311990375614,3.160089352196575,4.839910647803425,历史1/1次成功; 当前距低点4.84%; 最新日涨幅0.44%; 状态confirmed_rebound; 底部已确认
15,68.44579386717018,69.58062647589944,002324,普利特,bottom_area,2023-03-21,14.47,2023-03-20,13.8,4.855072463768115,6.086956521739129,29.01234567901235,False,1.6152,1.4694,1,1,1,100.0,8.226837060702884,8.226837060702884,3.1449275362318847,4.855072463768115,历史1/1次成功; 当前距低点4.86%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
16,51.83788147067973,51.53628036464675,601633,长城汽车,bottom_area,2023-03-21,26.93,2023-03-20,25.97,3.6965729688101687,3.9661147477859116,27.80094523213789,False,3.1406,0.3984,1,3,1,33.33333333333333,8.124373119358085,8.124373119358085,4.303427031189831,3.6965729688101687,历史1/3次成功; 当前距低点3.70%; 最新日涨幅3.14%; 状态bottom_area; 底部未确认
