rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.73169607266391,82.41351116301401,002125,湘潭电化,bottom_area,2023-04-06,12.81,2023-04-06,12.64,1.344936708860759,2.531645569620255,27.398047099368178,False,-1.3857,1.4144,3,3,3,100.0,23.333155157078114,32.067510548523195,6.655063291139242,1.344936708860759,历史3/3次成功; 当前距低点1.34%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
2,84.7008514462162,82.35939428634008,603356,华菱精工,bottom_area,2023-04-06,12.1,2023-04-06,11.8,2.542372881355923,2.796610169491526,30.3834808259587,False,1.5953,1.5249,2,2,2,100.0,31.91400245070737,38.38297872340427,5.457627118644077,2.542372881355923,历史2/2次成功; 当前距低点2.54%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
3,84.63998548181668,79.93812585899052,002347,泰尔股份,bottom_area,2023-04-06,4.91,2023-04-06,4.86,1.0288065843621363,1.646090534979425,31.355932203389823,False,-1.4056,2.3609,2,2,2,100.0,22.816155222237516,29.585798816568047,6.971193415637863,1.0288065843621363,历史2/2次成功; 当前距低点1.03%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
4,83.8276844852249,80.62200019188106,603051,鹿山新材,bottom_area,2023-04-06,47.04,2023-04-04,46.13,1.9726858877086422,4.87752005202688,31.14925373134328,False,1.2702,4.9131,2,2,2,100.0,15.58991406374611,18.738110336081178,6.027314112291358,1.9726858877086422,历史2/2次成功; 当前距低点1.97%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
5,83.78938072118568,78.66345533895573,002006,精工科技,bottom_area,2023-04-06,22.43,2023-04-06,22.27,0.7184553210597222,2.6493039964077227,27.765163801492047,False,-1.881,1.3995,3,3,3,100.0,35.330825112752166,61.48648648648647,7.2815446789402785,0.7184553210597222,历史3/3次成功; 当前距低点0.72%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
6,83.37003857457498,80.013379718108,002329,皇氏集团,bottom_area,2023-04-06,6.56,2023-04-06,6.44,1.8633540372670687,2.4844720496894293,27.395715896279583,False,0.6135,2.8552,1,1,1,100.0,27.644230769230756,27.644230769230756,6.136645962732931,1.8633540372670687,历史1/1次成功; 当前距低点1.86%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
7,82.74865943009758,78.81112993920358,300763,锦浪科技,bottom_area,2023-04-06,130.18,2023-04-04,128.3,1.4653156664068552,4.466095089633662,27.345829322158664,False,-0.0921,1.1891,2,2,2,100.0,22.10779386350115,35.693617021276594,6.5346843335931455,1.4653156664068552,历史2/2次成功; 当前距低点1.47%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
8,81.80541136307174,81.80099863219475,300393,中来股份,bottom_area,2023-04-06,14.83,2023-03-20,14.26,3.997194950911643,7.8541374474053365,27.61421319796954,True,0.2027,2.1892,3,3,3,100.0,20.884963012222048,23.89610389610389,4.002805049088357,3.997194950911643,历史3/3次成功; 当前距低点4.00%; 最新日涨幅0.20%; 状态bottom_area; 底部已确认
9,81.21940527369307,80.4063364000161,002520,日发精机,bottom_area,2023-04-06,6.25,2023-04-06,6.04,3.47682119205298,3.6423841059602604,27.316486161251508,False,1.1327,2.8793,3,3,3,100.0,16.201552246757505,30.752212389380546,4.52317880794702,3.47682119205298,历史3/3次成功; 当前距低点3.48%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
10,78.68485736555539,73.54392294602728,603030,全筑股份,bottom_area,2023-04-06,2.06,2023-04-06,2.05,0.48780487804879175,2.4390243902439157,28.0701754385965,False,-1.9048,2.1651,2,2,2,100.0,21.645796064400706,27.906976744186036,7.512195121951208,0.48780487804879175,历史2/2次成功; 当前距低点0.49%; 最新日涨幅-1.90%; 状态bottom_area; 底部未确认
11,78.60327106572169,76.17107758221076,002729,好利科技,bottom_area,2023-04-06,20.77,2023-04-06,20.29,2.365697387875803,3.006407097092161,31.54520917678813,False,0.9723,2.4895,1,1,1,100.0,13.144449605202036,13.144449605202036,5.6343026121241975,2.365697387875803,历史1/1次成功; 当前距低点2.37%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
