rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.87259399513637,84.21304222714613,002006,精工科技,bottom_area,2023-04-07,23.02,2023-04-06,22.27,3.3677593174674447,3.996407723394704,27.765163801492047,False,2.6304,1.3762,3,3,3,100.0,35.330825112752166,61.48648648648647,6.632240682532556,3.3677593174674447,历史3/3次成功; 当前距低点3.37%; 最新日涨幅2.63%; 状态bottom_area; 底部未确认
2,86.61132432684755,81.75350723054011,603030,全筑股份,bottom_area,2023-04-07,2.07,2023-04-07,2.03,1.9704433497536966,2.955665024630545,28.771929824561415,False,0.4854,1.9205,2,2,2,100.0,21.645796064400706,27.906976744186036,8.029556650246304,1.9704433497536966,历史2/2次成功; 当前距低点1.97%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,85.65475586062458,81.30331104417571,002347,泰尔股份,bottom_area,2023-04-07,4.97,2023-04-06,4.86,2.263374485596696,2.263374485596696,31.355932203389823,False,1.222,1.5631,2,2,2,100.0,22.816155222237516,29.585798816568047,7.736625514403304,2.263374485596696,历史2/2次成功; 当前距低点2.26%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
4,84.09329466906428,80.02124579053006,000887,中鼎股份,bottom_area,2023-04-07,12.4,2023-04-06,12.11,2.394715111478125,2.9727497935590526,28.512396694214885,False,1.5561,0.8189,2,2,2,100.0,17.53331314354936,23.84615384615385,7.605284888521875,2.394715111478125,历史2/2次成功; 当前距低点2.39%; 最新日涨幅1.56%; 状态bottom_area; 底部未确认
5,83.10448923590265,81.6411108341583,300393,中来股份,bottom_area,2023-04-07,14.84,2023-03-20,14.26,4.0673211781206176,7.8541374474053365,27.61421319796954,True,0.0674,1.7265,3,3,3,100.0,20.884963012222048,23.89610389610389,5.9326788218793824,4.0673211781206176,历史3/3次成功; 当前距低点4.07%; 最新日涨幅0.07%; 状态bottom_area; 底部已确认
6,83.07254806305724,78.95126791686576,002329,皇氏集团,bottom_area,2023-04-07,6.59,2023-04-06,6.44,2.3291925465838426,2.950310559006203,27.395715896279583,False,0.4573,1.9312,1,1,1,100.0,27.644230769230756,27.644230769230756,7.670807453416158,2.3291925465838426,历史1/1次成功; 当前距低点2.33%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
7,82.95621600849599,76.44654913769755,002125,湘潭电化,bottom_area,2023-04-07,12.73,2023-04-06,12.64,0.712025316455695,2.531645569620255,27.398047099368178,False,-0.6245,0.9422,3,3,3,100.0,23.333155157078114,32.067510548523195,9.287974683544306,0.712025316455695,历史3/3次成功; 当前距低点0.71%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
8,80.91263534151814,76.79952282217171,001299,美能能源,bottom_area,2023-04-07,16.73,2023-03-31,16.36,2.2616136919315464,4.217603911980448,27.610619469026553,False,1.95,3.9631,1,1,1,100.0,15.247322794492616,15.247322794492616,7.738386308068454,2.2616136919315464,历史1/1次成功; 当前距低点2.26%; 最新日涨幅1.95%; 状态bottom_area; 底部未确认
9,79.83188010255617,73.03156398104268,001227,兰州银行,bottom_area,2023-04-07,3.05,2023-04-06,3.04,0.3289473684210456,2.3026315789473633,27.61904761904762,False,0.0,1.1247,1,1,1,100.0,11.137440758293856,11.137440758293856,9.671052631578956,0.3289473684210456,历史1/1次成功; 当前距低点0.33%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,77.09281910140636,75.77829761221489,603051,鹿山新材,bottom_area,2023-04-07,48.02,2023-04-04,46.13,4.0971168437025804,5.874701929330155,31.14925373134328,False,2.0833,7.249,2,2,2,100.0,15.58991406374611,18.738110336081178,5.9028831562974196,4.0971168437025804,历史2/2次成功; 当前距低点4.10%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
11,77.02830990590596,72.77767196367945,002729,好利科技,bottom_area,2023-04-07,20.7,2023-04-06,20.29,2.0206998521439137,3.35140463282405,31.54520917678813,False,-0.337,1.982,1,1,1,100.0,13.144449605202036,13.144449605202036,7.979300147856088,2.0206998521439137,历史1/1次成功; 当前距低点2.02%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
