rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.06509132604914,79.11651293040785,603356,华菱精工,bottom_area,2023-04-12,12.14,2023-04-06,11.8,2.8813559322033884,7.711864406779662,30.3834808259587,True,-0.5733,0.9248,2,2,2,100.0,31.91400245070737,38.38297872340427,17.118644067796613,2.8813559322033884,历史2/2次成功; 当前距低点2.88%; 最新日涨幅-0.57%; 状态bottom_area; 底部已确认
2,88.16785908648215,77.2574551192586,300530,领湃科技,bottom_area,2023-04-12,23.58,2023-04-06,22.95,2.745098039215682,6.753812636165581,28.393135725429016,False,0.0,0.1611,3,4,3,75.0,27.802573379948058,34.07510431154381,17.25490196078432,2.745098039215682,历史3/4次成功; 当前距低点2.75%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,85.14720606893106,71.58091783216783,002329,皇氏集团,bottom_area,2023-04-12,6.3,2023-04-12,6.27,0.4784688995215351,2.0733652312599804,29.312288613303267,False,-0.9434,2.4966,1,1,1,100.0,27.644230769230756,27.644230769230756,19.521531100478466,0.4784688995215351,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
4,82.49589361227578,73.0060843510461,002006,精工科技,bottom_area,2023-04-12,22.31,2023-04-11,21.6,3.2870370370370243,4.62962962962963,29.938371715861166,False,0.5861,0.9604,2,3,2,66.66666666666666,46.311086714106686,61.48648648648647,16.712962962962976,3.2870370370370243,历史2/3次成功; 当前距低点3.29%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
5,78.975925529627,69.55677844811186,000983,山西焦煤,bottom_area,2023-04-12,10.56,2023-04-11,10.25,3.024390243902444,3.8048780487804934,27.715091678420308,False,1.2464,1.009,2,3,2,66.66666666666666,24.546889986789015,27.212389380530986,16.97560975609756,3.024390243902444,历史2/3次成功; 当前距低点3.02%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
6,73.79408923253708,65.35402504036433,002125,湘潭电化,bottom_area,2023-04-12,12.73,2023-04-10,12.32,3.327922077922079,7.629870129870126,29.236071223434806,False,-1.1646,1.1448,2,3,2,66.66666666666666,28.145272641720464,32.067510548523195,16.67207792207792,3.327922077922079,历史2/3次成功; 当前距低点3.33%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
7,73.04535084663364,62.73990154354314,000887,中鼎股份,bottom_area,2023-04-12,12.31,2023-04-06,12.11,1.6515276630883657,6.853839801816681,28.512396694214885,False,0.0,1.2342,1,2,1,50.0,23.84615384615385,23.84615384615385,18.348472336911637,1.6515276630883657,历史1/2次成功; 当前距低点1.65%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,69.44275533073545,62.97628917666989,300393,中来股份,bottom_area,2023-04-12,14.92,2023-03-20,14.26,4.628330995792427,7.8541374474053365,27.61421319796954,True,-1.7128,2.676,2,3,2,66.66666666666666,22.108694518333078,23.89610389610389,15.371669004207575,4.628330995792427,历史2/3次成功; 当前距低点4.63%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
9,69.3325186203955,60.936783943707,002347,泰尔股份,bottom_area,2023-04-12,4.95,2023-04-11,4.81,2.9106029106029228,2.9106029106029228,32.06214689265538,False,2.0619,2.0866,1,2,1,50.0,29.585798816568047,29.585798816568047,17.089397089397078,2.9106029106029228,历史1/2次成功; 当前距低点2.91%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
10,66.7327210819003,56.07791687554647,300763,锦浪科技,bottom_area,2023-04-12,125.4,2023-04-12,124.83,0.456621004566216,3.580869983177131,29.310833003001303,False,-2.7907,1.7561,1,2,1,50.0,35.693617021276594,35.693617021276594,19.543378995433784,0.456621004566216,历史1/2次成功; 当前距低点0.46%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
11,64.22356460444857,56.318603932057364,002192,融捷股份,bottom_area,2023-04-12,76.36,2023-04-06,74.29,2.7863777089783186,4.118993135011425,29.43579027355623,False,-1.0368,3.1153,1,2,1,50.0,25.707231766279197,25.707231766279197,17.213622291021682,2.7863777089783186,历史1/2次成功; 当前距低点2.79%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
12,62.384480441940546,54.13046185273327,688357,建龙微纳,bottom_area,2023-04-12,92.6,2023-04-12,90.6,2.207505518763797,4.492273730684335,28.396427724650287,False,-1.174,1.0165,1,3,1,33.33333333333333,26.291618828932272,26.291618828932272,17.792494481236204,2.207505518763797,历史1/3次成功; 当前距低点2.21%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
13,59.79087320601277,54.558741526499844,002520,日发精机,bottom_area,2023-04-12,6.34,2023-04-06,6.04,4.9668874172185395,7.284768211920537,27.316486161251508,True,2.0934,2.8019,1,3,1,33.33333333333333,30.752212389380546,30.752212389380546,15.03311258278146,4.9668874172185395,历史1/3次成功; 当前距低点4.97%; 最新日涨幅2.09%; 状态bottom_area; 底部已确认
14,59.215670081082685,53.83426651375505,600141,兴发集团,bottom_area,2023-04-12,26.61,2023-04-12,25.4,4.763779527559059,5.5511811023622055,29.79546710889995,False,-0.8939,4.6398,1,2,1,50.0,36.58969804618119,36.58969804618119,15.236220472440943,4.763779527559059,历史1/2次成功; 当前距低点4.76%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
