rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.96951355659134,84.72938414382556,000983,山西焦煤,bottom_area,2023-04-17,10.46,2023-04-11,10.25,2.0487804878048865,3.8048780487804934,27.715091678420308,False,0.5769,1.6649,3,3,3,100.0,21.938729333444627,27.212389380530986,5.951219512195113,2.0487804878048865,历史3/3次成功; 当前距低点2.05%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
2,86.87189447786987,84.99270306258325,300586,美联新材,bottom_area,2023-04-17,15.45,2023-04-13,15.02,2.862849533954725,3.9946737683089193,27.087378640776706,False,1.2451,1.2588,2,2,2,100.0,69.69134206257787,124.33414043583537,5.1371504660452745,2.862849533954725,历史2/2次成功; 当前距低点2.86%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
3,86.47223663379923,82.67170507923638,002347,泰尔股份,bottom_area,2023-04-17,4.89,2023-04-11,4.81,1.6632016632016646,4.365904365904365,32.06214689265538,False,0.0,1.2459,2,2,2,100.0,22.816155222237516,29.585798816568047,6.336798336798336,1.6632016632016646,历史2/2次成功; 当前距低点1.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,85.39172160112189,82.00679631446852,300763,锦浪科技,bottom_area,2023-04-17,125.69,2023-04-14,123.35,1.8970409404134605,3.2184839886501817,30.14893255563736,False,0.8101,1.7671,2,2,2,100.0,22.10779386350115,35.693617021276594,6.1029590595865395,1.8970409404134605,历史2/2次成功; 当前距低点1.90%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
5,84.99272906039775,80.61371257485031,002385,大北农,bottom_area,2023-04-17,7.29,2023-04-17,7.2,1.249999999999998,1.388888888888884,27.19919110212336,False,0.4132,1.1578,1,1,1,100.0,23.353293413173663,23.353293413173663,6.750000000000002,1.249999999999998,历史1/1次成功; 当前距低点1.25%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
6,83.02272954340296,82.91931124874971,002006,精工科技,bottom_area,2023-04-17,22.45,2023-04-11,21.6,3.935185185185175,5.601851851851839,29.938371715861166,False,1.2173,0.8482,3,3,3,100.0,35.330825112752166,61.48648648648647,4.0648148148148255,3.935185185185175,历史3/3次成功; 当前距低点3.94%; 最新日涨幅1.22%; 状态bottom_area; 底部未确认
7,81.88039023320746,77.86465065033423,000799,酒鬼酒,bottom_area,2023-04-17,120.0,2023-04-14,118.36,1.3856032443393043,3.4217641094964493,29.823313174433768,False,0.8488,1.9221,1,1,1,100.0,10.235623910902333,10.235623910902333,6.614396755660695,1.3856032443393043,历史1/1次成功; 当前距低点1.39%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
8,81.55821512306221,79.45642332975385,000887,中鼎股份,bottom_area,2023-04-17,12.43,2023-04-06,12.11,2.642444260941373,6.853839801816681,28.512396694214885,False,0.485,0.8402,2,2,2,100.0,17.53331314354936,23.84615384615385,5.357555739058626,2.642444260941373,历史2/2次成功; 当前距低点2.64%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
9,81.27826790255399,79.44627017485053,002520,日发精机,bottom_area,2023-04-17,6.21,2023-04-06,6.04,2.8145695364238397,7.284768211920537,27.316486161251508,True,-1.4286,1.896,3,3,3,100.0,16.201552246757505,30.752212389380546,5.18543046357616,2.8145695364238397,历史3/3次成功; 当前距低点2.81%; 最新日涨幅-1.43%; 状态bottom_area; 底部已确认
10,79.2298623784972,76.69336947583305,001299,美能能源,bottom_area,2023-04-17,16.4,2023-04-14,16.03,2.308172177167794,2.9943855271366213,29.07079646017699,False,1.1721,3.4924,1,1,1,100.0,15.247322794492616,15.247322794492616,5.691827822832206,2.308172177167794,历史1/1次成功; 当前距低点2.31%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
11,79.11032986571362,74.63464702032164,002329,皇氏集团,bottom_area,2023-04-17,6.23,2023-04-17,6.17,0.9724473257698621,1.782820097244738,30.439684329199544,False,0.3221,2.0538,1,1,1,100.0,27.644230769230756,27.644230769230756,7.0275526742301375,0.9724473257698621,历史1/1次成功; 当前距低点0.97%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
