rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.95272080217178,81.83941509619122,300658,延江股份,bottom_area,2023-04-25,7.47,2023-04-25,7.38,1.2195121951219494,4.336043360433608,28.83317261330761,False,-2.3529,1.4504,3,3,3,100.0,18.70915538209279,26.72018348623853,8.780487804878051,1.2195121951219494,历史3/3次成功; 当前距低点1.22%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
2,86.8327457619361,80.67747246435668,002843,泰嘉股份,bottom_area,2023-04-25,15.06,2023-04-25,14.89,1.1417058428475482,5.1712558764271295,30.9369202226345,False,-2.776,1.1177,2,2,2,100.0,28.175063365855337,31.56626506024095,8.858294157152452,1.1417058428475482,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
3,86.31482390990494,81.0387369569665,002363,隆基机械,bottom_area,2023-04-25,6.62,2023-04-25,6.51,1.6897081413210495,4.454685099846391,28.774617067833702,False,-2.6471,1.4247,2,2,2,100.0,36.83479311386288,54.96828752642705,8.31029185867895,1.6897081413210495,历史2/2次成功; 当前距低点1.69%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
4,86.0723862058189,81.1245425867508,000957,中通客车,bottom_area,2023-04-25,9.69,2023-04-25,9.51,1.892744479495265,5.152471083070455,29.39866369710468,False,-3.1,2.3843,2,2,2,100.0,185.5153400254489,354.54545454545456,8.107255520504737,1.892744479495265,历史2/2次成功; 当前距低点1.89%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
5,85.36667244276066,79.77603524954702,000935,四川双马,bottom_area,2023-04-25,18.95,2023-04-25,18.68,1.4453961456102762,4.014989293361884,30.609212481426457,False,-1.8643,0.5297,1,1,1,100.0,43.71794871794874,43.71794871794874,8.554603854389725,1.4453961456102762,历史1/1次成功; 当前距低点1.45%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
6,84.42663171272777,78.94570044780342,300454,深信服,bottom_area,2023-04-25,122.95,2023-04-24,121.16,1.4773852756685426,4.291845493562234,27.665671641791047,False,-0.3566,1.3883,2,2,2,100.0,22.979241270579003,29.49391262831224,8.522614724331458,1.4773852756685426,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
7,84.41316102287149,78.39604742014453,000518,四环生物,bottom_area,2023-04-25,2.71,2023-04-25,2.68,1.1194029850746194,4.104477611940293,27.956989247311824,False,-2.1661,0.7312,2,2,2,100.0,15.635947452229296,17.834394904458602,8.880597014925382,1.1194029850746194,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
8,84.27988205810196,78.75108719507047,001210,金房能源,bottom_area,2023-04-25,21.85,2023-04-24,21.54,1.4391829155060458,4.2711234911792095,27.180527383367135,False,-2.1057,0.8571,1,1,1,100.0,38.131313131313135,38.131313131313135,8.560817084493955,1.4391829155060458,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
9,83.99357410943566,78.00326790050207,002706,良信股份,bottom_area,2023-04-25,10.86,2023-04-25,10.74,1.1173184357541828,4.283054003724386,29.849771391247554,False,-2.1622,0.9669,2,2,2,100.0,13.49867706463227,14.727153188691638,8.882681564245818,1.1173184357541828,历史2/2次成功; 当前距低点1.12%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
10,83.96680506271801,79.37424822558548,000980,众泰汽车,bottom_area,2023-04-25,2.99,2023-04-25,2.93,2.047781569965872,4.778156996587019,31.542056074766357,False,-3.2362,2.0425,3,3,3,100.0,25.823603253266942,43.49775784753364,7.9522184300341285,2.047781569965872,历史3/3次成功; 当前距低点2.05%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
11,83.50352074501265,78.1050813020751,000059,华锦股份,bottom_area,2023-04-25,6.8,2023-04-25,6.7,1.4925373134328304,3.2835820895522354,29.916317991631804,False,-1.0189,0.9038,2,2,2,100.0,18.645518154311638,25.41603630862328,8.50746268656717,1.4925373134328304,历史2/2次成功; 当前距低点1.49%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
