rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.14529188815524,81.2334065934066,605133,嵘泰股份,bottom_area,2023-04-28,27.66,2023-04-25,27.3,1.3186813186813167,5.567765567765566,28.79499217527387,False,-1.2848,5.9932,1,1,1,100.0,60.01483679525222,60.01483679525222,13.681318681318682,1.3186813186813167,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
2,87.88724567796513,80.66053203755561,000935,四川双马,bottom_area,2023-04-28,19.22,2023-04-25,18.68,2.8907922912205524,4.014989293361884,30.609212481426457,False,1.2112,0.3905,1,1,1,100.0,43.71794871794874,43.71794871794874,12.109207708779447,2.8907922912205524,历史1/1次成功; 当前距低点2.89%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
3,86.93974078271027,76.93993824936844,300454,深信服,bottom_area,2023-04-28,119.14,2023-04-27,118.03,0.9404388714733538,3.3466067948826597,29.534328358208956,False,0.1261,1.558,2,2,2,100.0,22.979241270579003,29.49391262831224,14.059561128526646,0.9404388714733538,历史2/2次成功; 当前距低点0.94%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
4,85.96618165839654,80.43280942712407,002245,蔚蓝锂芯,bottom_area,2023-04-28,11.12,2023-04-26,10.7,3.925233644859813,8.317757009345799,29.512516469038214,False,1.4599,1.5917,3,3,3,100.0,21.840549125830286,25.653923541247494,11.074766355140186,3.925233644859813,历史3/3次成功; 当前距低点3.93%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
5,85.94775544627028,78.7844074119867,300530,领湃科技,bottom_area,2023-04-28,22.2,2023-04-25,21.59,2.8253821213524755,7.596109309865681,32.6365054602184,True,0.498,0.4449,3,4,3,75.0,27.802573379948058,34.07510431154381,12.174617878647524,2.8253821213524755,历史3/4次成功; 当前距低点2.83%; 最新日涨幅0.50%; 状态bottom_area; 底部已确认
6,84.32995812933869,77.46846547314578,000629,钒钛股份,bottom_area,2023-04-28,4.2,2023-04-25,4.08,2.9411764705882377,9.803921568627459,31.08108108108108,False,0.9615,0.6182,1,1,1,100.0,27.173913043478265,27.173913043478265,12.058823529411763,2.9411764705882377,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
7,83.97107459820603,76.8496716884131,300353,东土科技,bottom_area,2023-04-28,11.25,2023-04-27,10.95,2.7397260273972672,3.744292237442924,29.354838709677423,False,2.3658,3.2525,1,1,1,100.0,21.377672209026137,21.377672209026137,12.260273972602732,2.7397260273972672,历史1/1次成功; 当前距低点2.74%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
8,82.46822590439967,76.141084837624,002385,大北农,bottom_area,2023-04-28,7.07,2023-04-25,6.85,3.211678832116798,4.817518248175183,30.73811931243681,False,0.7123,1.257,1,1,1,100.0,23.353293413173663,23.353293413173663,11.7883211678832,3.211678832116798,历史1/1次成功; 当前距低点3.21%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
9,82.31853952388792,74.19868358445679,002146,荣盛发展,bottom_area,2023-04-28,1.59,2023-04-26,1.56,1.9230769230769247,3.2051282051282075,30.973451327433622,False,-0.625,1.2956,1,1,1,100.0,19.587628865979376,19.587628865979376,13.076923076923075,1.9230769230769247,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
10,81.90161149613385,76.42270116371203,300661,圣邦股份,bottom_area,2023-04-28,124.1,2023-04-25,119.58,3.7798963037297177,6.790433182806494,30.20079383609619,False,0.0,1.0078,1,1,1,100.0,31.832606108687024,31.832606108687024,11.22010369627028,3.7798963037297177,历史1/1次成功; 当前距低点3.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,81.04577384285086,76.18948708113152,300582,英飞特,bottom_area,2023-04-28,13.21,2023-04-27,12.68,4.17981072555206,4.337539432176662,32.40938166311301,False,3.2031,3.3056,1,1,1,100.0,35.48094373865699,35.48094373865699,10.820189274447939,4.17981072555206,历史1/1次成功; 当前距低点4.18%; 最新日涨幅3.20%; 状态bottom_area; 底部未确认
12,79.85517256432959,71.62150127966885,688259,创耀科技,bottom_area,2023-04-28,61.36,2023-04-27,60.36,1.656726308813784,4.042412193505629,31.796610169491522,False,1.2541,2.6265,2,3,2,66.66666666666666,18.882637618804317,19.50136612021858,13.343273691186216,1.656726308813784,历史2/3次成功; 当前距低点1.66%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
