rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.67779454274223,87.42844232699976,002157,正邦科技,bottom_area,2023-05-04,2.65,2023-04-28,2.61,1.5325670498084305,1.9157088122605466,27.500000000000007,False,0.0,0.0,4,4,4,100.0,13.455350540661076,16.780045351473927,6.4674329501915695,1.5325670498084305,历史4/4次成功; 当前距低点1.53%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,87.0893591966382,83.8265934065934,605133,嵘泰股份,bottom_area,2023-05-04,27.85,2023-04-25,27.3,2.0146520146520173,5.567765567765566,28.79499217527387,False,0.6869,5.5866,1,1,1,100.0,60.01483679525222,60.01483679525222,5.985347985347983,2.0146520146520173,历史1/1次成功; 当前距低点2.01%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
3,86.3327782721318,81.58595884823453,603232,格尔软件,bottom_area,2023-05-04,14.3,2023-04-27,14.15,1.0600706713780943,7.279151943462893,32.29665071770334,True,-5.4233,3.9215,3,3,3,100.0,16.413548274067672,22.78481012658228,6.939929328621906,1.0600706713780943,历史3/3次成功; 当前距低点1.06%; 最新日涨幅-5.42%; 状态bottom_area; 底部已确认
4,86.23959302683281,84.13835991158064,601369,陕鼓动力,bottom_area,2023-05-04,9.45,2023-04-27,9.2,2.717391304347826,5.00000000000001,31.189229618548993,False,0.0,0.8019,3,3,3,100.0,26.957054223084292,55.572755417956664,5.282608695652175,2.717391304347826,历史3/3次成功; 当前距低点2.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,85.75516336739,81.59450093510678,688107,安路科技,bottom_area,2023-05-04,50.91,2023-05-04,50.2,1.4143426294820591,4.900398406374489,32.4451621585251,False,-4.2145,1.8851,3,3,3,100.0,29.995710378096113,67.95615731785945,6.585657370517942,1.4143426294820591,历史3/3次成功; 当前距低点1.41%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
6,83.56061000454812,80.29611232321102,002455,百川股份,bottom_area,2023-05-04,7.93,2023-05-04,7.78,1.9280205655526923,3.9845758354755736,27.289719626168218,False,-2.3399,1.8224,3,3,3,100.0,19.096769960597644,35.42600896860987,6.071979434447308,1.9280205655526923,历史3/3次成功; 当前距低点1.93%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
7,82.96689627110013,79.76720988257841,002156,通富微电,bottom_area,2023-05-04,17.73,2023-05-04,17.39,1.955146635997699,3.162737205290401,29.879032258064512,False,-0.8944,2.7966,3,3,3,100.0,16.585721573404154,21.92170818505337,6.044853364002301,1.955146635997699,历史3/3次成功; 当前距低点1.96%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
8,80.7741249643703,77.7371725355818,300454,深信服,bottom_area,2023-05-04,117.89,2023-05-04,115.57,2.007441377520124,3.1063424764212195,31.00298507462687,False,-1.0492,1.0089,2,2,2,100.0,22.979241270579003,29.49391262831224,5.992558622479876,2.007441377520124,历史2/2次成功; 当前距低点2.01%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
9,80.72741393126356,76.74245597207556,688127,蓝特光学,bottom_area,2023-05-04,16.3,2023-05-04,16.08,1.3681592039801147,6.218905472636817,28.437917222963954,False,-2.1609,1.6727,2,2,2,100.0,9.794940629839962,10.789881259679916,6.631840796019886,1.3681592039801147,历史2/2次成功; 当前距低点1.37%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
10,80.40470628852661,78.67880296548367,300530,领湃科技,bottom_area,2023-05-04,22.21,2023-04-25,21.59,2.8716998610467854,7.596109309865681,32.6365054602184,True,0.045,0.2437,3,4,3,75.0,27.802573379948058,34.07510431154381,5.1283001389532155,2.8716998610467854,历史3/4次成功; 当前距低点2.87%; 最新日涨幅0.04%; 状态bottom_area; 底部已确认
11,80.01205528403429,75.77831552126831,300671,富满微,bottom_area,2023-05-04,43.1,2023-05-04,42.6,1.1737089201877933,4.4600938967136114,31.861804222648754,False,-2.6429,1.7856,1,1,1,100.0,18.894472361809044,18.894472361809044,6.826291079812206,1.1737089201877933,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
