rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.49912622236876,84.2316709118696,000935,四川双马,bottom_area,2023-05-09,18.36,2023-05-05,18.12,1.3245033112582694,3.532008830022078,32.68945022288261,False,0.0,0.5364,1,1,1,100.0,43.71794871794874,43.71794871794874,13.675496688741731,1.3245033112582694,历史1/1次成功; 当前距低点1.32%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,93.47441203897756,82.85841690375956,002245,蔚蓝锂芯,bottom_area,2023-05-09,10.81,2023-04-26,10.7,1.0280373831775813,8.317757009345799,29.512516469038214,False,-1.9056,1.614,3,3,3,100.0,21.840549125830286,25.653923541247494,13.971962616822417,1.0280373831775813,历史3/3次成功; 当前距低点1.03%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
3,89.93415650908356,81.97734075075023,300409,道氏技术,bottom_area,2023-05-09,12.59,2023-04-26,12.28,2.5244299674267143,8.55048859934854,28.811594202898554,True,-2.4031,0.9176,2,2,2,100.0,42.9195756800168,50.03460207612457,12.475570032573286,2.5244299674267143,历史2/2次成功; 当前距低点2.52%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
4,89.77116006933421,79.61780883775936,600203,福日电子,bottom_area,2023-05-09,5.74,2023-05-09,5.68,1.056338028169023,3.3450704225352186,28.19216182048041,False,-1.0345,2.1193,2,2,2,100.0,21.43150291389641,24.045801526717554,13.943661971830975,1.056338028169023,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
5,88.42444793044675,79.0943132718395,001201,东瑞股份,bottom_area,2023-05-09,24.83,2023-05-05,24.46,1.5126737530662202,2.207686017988549,28.01648028251912,False,0.7302,1.3289,1,1,1,100.0,18.4043517679057,18.4043517679057,13.487326246933778,1.5126737530662202,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
6,87.38361733928488,76.31024316109423,605133,嵘泰股份,bottom_area,2023-05-09,26.38,2023-05-09,26.32,0.22796352583586138,3.875379939209725,31.3510693792384,False,-2.8719,3.6102,1,1,1,100.0,60.01483679525222,60.01483679525222,14.772036474164137,0.22796352583586138,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
7,87.3441236821285,79.14493606138109,000629,钒钛股份,bottom_area,2023-05-09,4.17,2023-04-25,4.08,2.2058823529411726,9.803921568627459,31.08108108108108,False,0.2404,0.9953,1,1,1,100.0,27.173913043478265,27.173913043478265,12.794117647058828,2.2058823529411726,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
8,86.79413970455661,75.65520142521929,688010,福光股份,bottom_area,2023-05-09,23.31,2023-05-09,23.28,0.1288659793814329,2.4914089347078963,30.006013229104024,False,-1.4376,1.3174,2,2,2,100.0,28.59685945273632,42.08955223880597,14.871134020618568,0.1288659793814329,历史2/2次成功; 当前距低点0.13%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
9,86.43533332093594,79.5966632242476,002363,隆基机械,bottom_area,2023-05-09,6.71,2023-04-25,6.51,3.0721966205837203,7.219662058371745,28.774617067833702,True,-1.757,0.832,2,2,2,100.0,36.83479311386288,54.96828752642705,11.927803379416279,3.0721966205837203,历史2/2次成功; 当前距低点3.07%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
10,85.95710687958943,76.33997584443817,300353,东土科技,bottom_area,2023-05-09,10.74,2023-05-04,10.62,1.129943502824868,6.30885122410546,31.48387096774194,False,-2.7174,3.3517,1,1,1,100.0,21.377672209026137,21.377672209026137,13.870056497175131,1.129943502824868,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
11,84.86816810451492,77.89661663575697,002553,南方精工,bottom_area,2023-05-09,9.95,2023-04-26,9.67,2.8955532574974083,7.445708376421931,28.844738778513612,True,-1.9704,1.598,2,2,2,100.0,25.52945195081221,32.14285714285715,12.10444674250259,2.8955532574974083,历史2/2次成功; 当前距低点2.90%; 最新日涨幅-1.97%; 状态bottom_area; 底部已确认
12,84.46541046660533,73.99663692945565,300454,深信服,bottom_area,2023-05-09,116.03,2023-05-04,115.57,0.39802716968071994,3.7466470537336787,31.00298507462687,False,-1.9851,0.9301,2,2,2,100.0,22.979241270579003,29.49391262831224,14.60197283031928,0.39802716968071994,历史2/2次成功; 当前距低点0.40%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
13,83.95404366235029,76.40454677830361,601138,工业富联,bottom_area,2023-05-09,14.7,2023-05-08,14.35,2.4390243902439,6.132404181184675,27.780573729240064,False,0.1362,0.9846,1,1,1,100.0,15.298507462686556,15.298507462686556,12.5609756097561,2.4390243902439,历史1/1次成功; 当前距低点2.44%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
14,83.79608315200493,75.2895519909087,002385,大北农,bottom_area,2023-05-09,6.97,2023-04-25,6.85,1.7518248175182498,4.963503649635047,30.73811931243681,False,-0.1433,1.2553,1,1,1,100.0,23.353293413173663,23.353293413173663,13.24817518248175,1.7518248175182498,历史1/1次成功; 当前距低点1.75%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
