rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.73687614128968,83.2499477658155,688181,八亿时空,bottom_area,2023-05-11,33.88,2023-05-10,33.33,1.6501650165016633,2.9402940294029527,28.751603249251822,False,0.3852,0.62,2,2,2,100.0,25.76518281418983,28.477257745550418,8.349834983498337,1.6501650165016633,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
2,88.60703784069523,84.53429282783814,002724,海洋王,bottom_area,2023-05-11,8.51,2023-04-25,8.3,2.5301204819276992,8.192771084337345,28.999144568006834,True,0.2356,0.8132,3,3,3,100.0,17.596599605555337,25.204081632653047,7.469879518072302,2.5301204819276992,历史3/3次成功; 当前距低点2.53%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
3,87.46148883113152,85.19149599123952,688075,安旭生物,bottom_area,2023-05-11,66.99,2023-05-10,64.65,3.619489559164716,4.485692188708416,30.37906525953047,False,2.2904,2.091,5,5,5,100.0,27.010388097500325,40.134529147982065,6.380510440835286,3.619489559164716,历史5/5次成功; 当前距低点3.62%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
4,87.36536566047093,81.09337783701038,605305,中际联合,bottom_area,2023-05-11,32.44,2023-05-10,32.09,1.0906824555936252,4.549703957619176,31.43162393162392,False,-1.5478,2.1363,3,3,3,100.0,13.118999117009956,15.395207931699245,8.909317544406376,1.0906824555936252,历史3/3次成功; 当前距低点1.09%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
5,86.92818921435935,80.15966425028618,002690,美亚光电,bottom_area,2023-05-11,24.29,2023-05-11,24.11,0.7465781833264195,2.364164247200333,27.379518072289166,False,0.5381,0.5702,3,3,3,100.0,21.246572625109707,27.355278093076052,9.253421816673582,0.7465781833264195,历史3/3次成功; 当前距低点0.75%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
6,86.05891720928213,79.019535732486,688008,澜起科技,bottom_area,2023-05-11,55.79,2023-05-11,55.5,0.522522522522521,4.10810810810811,29.3173713703515,False,-1.2392,0.84,3,3,3,100.0,34.8434789453621,62.20095693779905,9.477477477477478,0.522522522522521,历史3/3次成功; 当前距低点0.52%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
7,85.90330554056565,80.18344502819068,688328,深科达,bottom_area,2023-05-11,19.78,2023-05-10,19.51,1.383905689390054,2.5627883136852896,29.285973178687925,False,0.2026,1.5837,1,1,1,100.0,22.681451612903224,22.681451612903224,8.616094310609947,1.383905689390054,历史1/1次成功; 当前距低点1.38%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
8,85.35884871629081,79.56038032008148,001201,东瑞股份,bottom_area,2023-05-11,24.78,2023-05-05,24.46,1.3082583810302546,2.207686017988549,28.01648028251912,False,0.4459,0.5481,1,1,1,100.0,18.4043517679057,18.4043517679057,8.691741618969747,1.3082583810302546,历史1/1次成功; 当前距低点1.31%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
9,85.28128677444971,80.98794968282981,600203,福日电子,bottom_area,2023-05-11,5.81,2023-05-09,5.68,2.2887323943661957,3.3450704225352186,28.19216182048041,False,1.3962,1.3117,2,2,2,100.0,21.43150291389641,24.045801526717554,7.711267605633805,2.2887323943661957,历史2/2次成功; 当前距低点2.29%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
10,85.13402448186937,79.80239870623716,002385,大北农,bottom_area,2023-05-11,6.96,2023-04-25,6.85,1.605839416058399,4.963503649635047,30.73811931243681,False,0.1439,0.8362,1,1,1,100.0,23.353293413173663,23.353293413173663,8.394160583941602,1.605839416058399,历史1/1次成功; 当前距低点1.61%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
11,84.74286429778851,77.66230132971042,002317,众生药业,bottom_area,2023-05-11,16.65,2023-05-10,16.58,0.4221954161640548,2.2919179734620183,27.280701754385973,False,-1.4793,3.1244,3,3,3,100.0,26.316703648196015,58.31999999999999,9.577804583835945,0.4221954161640548,历史3/3次成功; 当前距低点0.42%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
12,84.31866859276133,80.96240873955786,688350,富淼科技,bottom_area,2023-05-11,16.5,2023-05-05,16.04,2.867830423940155,4.301745635910232,32.774518021793796,False,1.601,1.7899,2,2,2,100.0,28.392807022265636,38.54748603351957,7.132169576059845,2.867830423940155,历史2/2次成功; 当前距低点2.87%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
