rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.77162603187715,78.20984909104634,300762,上海瀚讯,bottom_area,2023-05-12,11.58,2023-05-10,11.44,1.2237762237762289,3.2342657342657435,27.50316856780735,False,-0.2584,1.0229,1,1,1,100.0,32.580961727183514,32.580961727183514,18.776223776223773,1.2237762237762289,历史1/1次成功; 当前距低点1.22%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
2,91.2855438794699,76.07128656622491,000620,盈新发展,bottom_area,2023-05-12,1.25,2023-05-12,1.25,0.0,5.600000000000005,30.16759776536313,False,-5.303,7.5379,3,3,3,100.0,35.0606804635748,58.4192439862543,20.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.30%; 状态bottom_area; 底部未确认
3,91.0032610932228,77.75298716471555,300661,圣邦股份,bottom_area,2023-05-12,121.21,2023-04-25,119.58,1.363104198026422,6.790433182806494,30.20079383609619,False,-1.7668,0.5288,1,1,1,100.0,31.832606108687024,31.832606108687024,18.63689580197358,1.363104198026422,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
4,89.52604892694323,76.6414066496164,000629,钒钛股份,bottom_area,2023-05-12,4.14,2023-04-25,4.08,1.470588235294108,9.803921568627459,31.08108108108108,False,-2.5882,0.8102,1,1,1,100.0,27.173913043478265,27.173913043478265,18.529411764705895,1.470588235294108,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
5,89.30825914659725,74.47462928147952,688206,概伦电子,bottom_area,2023-05-12,26.73,2023-05-12,26.72,0.037425149700604655,4.528443113772458,27.588075880758804,False,-3.1522,1.5779,2,2,2,100.0,31.34386356342422,39.570720968629594,19.962574850299397,0.037425149700604655,历史2/2次成功; 当前距低点0.04%; 最新日涨幅-3.15%; 状态bottom_area; 底部未确认
6,88.02279170572113,74.12259403044197,688181,八亿时空,bottom_area,2023-05-12,33.52,2023-05-10,33.33,0.5700570057005846,2.9402940294029527,28.751603249251822,False,-1.0626,0.5947,2,2,2,100.0,25.76518281418983,28.477257745550418,19.429942994299417,0.5700570057005846,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
7,86.1447092854271,75.91436208885428,001309,德明利,bottom_area,2023-05-12,64.41,2023-05-10,62.5,3.0559999999999943,5.327999999999998,27.325581395348834,False,0.1711,6.6185,1,1,1,100.0,20.226032735775533,20.226032735775533,16.944000000000006,3.0559999999999943,历史1/1次成功; 当前距低点3.06%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
8,86.04745107511637,77.70698244456129,300409,道氏技术,bottom_area,2023-05-12,12.82,2023-04-26,12.28,4.397394136807825,8.55048859934854,28.811594202898554,True,-1.4604,0.8171,2,2,2,100.0,42.9195756800168,50.03460207612457,15.602605863192176,4.397394136807825,历史2/2次成功; 当前距低点4.40%; 最新日涨幅-1.46%; 状态bottom_area; 底部已确认
9,85.53505325062638,74.09317010780197,300353,东土科技,bottom_area,2023-05-12,10.62,2023-05-10,10.4,2.1153846153846043,4.038461538461537,32.90322580645161,False,-1.0252,2.4044,1,1,1,100.0,21.377672209026137,21.377672209026137,17.884615384615397,2.1153846153846043,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
10,85.21669990299421,71.28129741158381,688328,深科达,bottom_area,2023-05-12,19.55,2023-05-10,19.51,0.20502306509481877,2.614044079958985,29.285973178687925,False,-1.1628,1.7926,1,1,1,100.0,22.681451612903224,22.681451612903224,19.794976934905183,0.20502306509481877,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
11,84.11608890162172,74.45026397415901,688075,安旭生物,bottom_area,2023-05-12,66.78,2023-05-10,64.65,3.2946635730858396,4.94972931167825,30.37906525953047,False,-0.3135,1.4877,4,5,4,80.0,31.086542584917854,40.134529147982065,16.70533642691416,3.2946635730858396,历史4/5次成功; 当前距低点3.29%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
