rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.81799695881085,80.75539991032092,002405,四维图新,bottom_area,2023-05-18,11.37,2023-05-16,11.14,2.0646319569120166,2.9622980251346505,27.75616083009079,False,0.5305,1.0221,2,2,2,100.0,17.434197699356595,23.478260869565215,5.935368043087983,2.0646319569120166,历史2/2次成功; 当前距低点2.06%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
2,82.50668733989082,81.5404983114251,688075,安旭生物,bottom_area,2023-05-18,66.84,2023-05-10,64.65,3.3874709976798103,4.94972931167825,30.37906525953047,False,-0.8161,1.3258,5,5,5,100.0,27.010388097500325,40.134529147982065,4.61252900232019,3.3874709976798103,历史5/5次成功; 当前距低点3.39%; 最新日涨幅-0.82%; 状态bottom_area; 底部未确认
3,82.24495002642797,77.84757731151,300653,正海生物,bottom_area,2023-05-18,34.5,2023-05-18,34.11,1.1433597185576094,1.7883318674875386,29.129441097028884,False,-0.1158,2.1877,1,1,1,100.0,29.647513278609367,29.647513278609367,6.85664028144239,1.1433597185576094,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
4,81.33249942967427,76.21424005107724,300661,圣邦股份,bottom_area,2023-05-18,119.84,2023-05-17,119.1,0.6213266162888407,2.5020990764063846,30.480971281811815,False,0.117,0.5772,1,1,1,100.0,31.832606108687024,31.832606108687024,7.37867338371116,0.6213266162888407,历史1/1次成功; 当前距低点0.62%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
5,80.45614334144749,77.14768357305076,000603,盛达资源,bottom_area,2023-05-18,13.45,2023-05-17,13.21,1.8168054504163393,2.649507948523843,31.87209902011346,False,0.5232,0.9813,1,1,1,100.0,11.666666666666679,11.666666666666679,6.183194549583661,1.8168054504163393,历史1/1次成功; 当前距低点1.82%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
6,80.42329252820308,76.87539006716982,002758,浙农股份,bottom_area,2023-05-18,12.29,2023-04-25,12.09,1.6542597187758419,5.789909015715462,28.249258160237396,False,-1.0467,1.2095,2,2,2,100.0,14.016678634294234,19.064430714916153,6.345740281224158,1.6542597187758419,历史2/2次成功; 当前距低点1.65%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
7,80.33960607911715,78.75986922096747,688048,长光华芯,bottom_area,2023-05-18,86.75,2023-05-12,84.25,2.967359050445104,4.87833827893175,29.20168067226891,False,1.5332,2.6597,2,2,2,100.0,17.771225032162963,19.48504983388705,5.032640949554896,2.967359050445104,历史2/2次成功; 当前距低点2.97%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
8,80.06357741432139,78.84793473742741,601369,陕鼓动力,bottom_area,2023-05-18,9.34,2023-05-10,9.05,3.204419889502753,4.972375690607726,32.31114435302916,False,-0.4264,0.5705,3,3,3,100.0,26.957054223084292,55.572755417956664,4.795580110497247,3.204419889502753,历史3/3次成功; 当前距低点3.20%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
9,79.88498366742158,77.69862866665032,600199,金种子酒,bottom_area,2023-05-18,22.46,2023-05-17,21.9,2.5570776255707868,3.1963470319634832,30.43202033036849,False,0.8079,1.1021,1,1,1,100.0,23.70304114490161,23.70304114490161,5.442922374429213,2.5570776255707868,历史1/1次成功; 当前距低点2.56%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
10,79.60369920635203,79.82408238142051,002690,美亚光电,bottom_area,2023-05-18,24.63,2023-05-15,23.65,4.143763213530657,4.312896405919675,28.765060240963862,False,0.0813,0.717,3,3,3,100.0,21.246572625109707,27.355278093076052,3.856236786469343,4.143763213530657,历史3/3次成功; 当前距低点4.14%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
11,77.51454299818197,74.1825831202046,000629,钒钛股份,confirmed_rebound,2023-05-18,4.15,2023-04-25,4.08,1.715686274509811,9.803921568627459,31.08108108108108,False,-0.7177,0.4168,1,1,1,100.0,27.173913043478265,27.173913043478265,6.28431372549019,1.715686274509811,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-0.72%; 状态confirmed_rebound; 底部未确认
12,76.6656249773068,73.53930100660544,688289,圣湘生物,confirmed_rebound,2023-05-18,18.31,2023-04-26,17.98,1.8353726362625045,12.45828698553948,27.058823529411757,False,-0.4891,0.4989,1,1,1,100.0,25.182530200451346,25.182530200451346,6.164627363737496,1.8353726362625045,历史1/1次成功; 当前距低点1.84%; 最新日涨幅-0.49%; 状态confirmed_rebound; 底部未确认
13,76.44434185718114,71.19107784431137,002385,大北农,bottom_area,2023-05-18,6.7,2023-05-18,6.68,0.29940119760479733,2.0958083832335417,32.457027300303345,False,-1.4706,1.2036,1,1,1,100.0,23.353293413173663,23.353293413173663,7.700598802395203,0.29940119760479733,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
14,75.98282124840539,77.13921042682271,688206,概伦电子,bottom_area,2023-05-18,27.59,2023-05-15,26.33,4.785415875427276,5.772882643372592,28.6449864498645,False,0.1452,1.1694,2,2,2,100.0,31.34386356342422,39.570720968629594,3.214584124572724,4.785415875427276,历史2/2次成功; 当前距低点4.79%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
15,75.48481625619704,71.12519969910105,600248,陕建股份,bottom_area,2023-05-18,5.56,2023-05-17,5.51,0.907441016333935,3.8112522686025407,28.719275549805957,False,-2.1127,6.325,2,2,2,100.0,13.785834496464656,16.28498727735369,7.092558983666065,0.907441016333935,历史2/2次成功; 当前距低点0.91%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
16,75.42837532368041,75.58007727089078,000518,四环生物,confirmed_rebound,2023-05-18,2.79,2023-04-25,2.68,4.104477611940293,9.328358208955223,27.956989247311824,True,0.3597,0.3373,2,2,2,100.0,15.635947452229296,17.834394904458602,3.895522388059707,4.104477611940293,历史2/2次成功; 当前距低点4.10%; 最新日涨幅0.36%; 状态confirmed_rebound; 底部已确认
17,75.15624096209697,74.77897765142312,002245,蔚蓝锂芯,confirmed_rebound,2023-05-18,11.1,2023-04-26,10.7,3.7383177570093498,8.317757009345799,29.512516469038214,False,-0.4484,1.2155,3,3,3,100.0,21.840549125830286,25.653923541247494,4.26168224299065,3.7383177570093498,历史3/3次成功; 当前距低点3.74%; 最新日涨幅-0.45%; 状态confirmed_rebound; 底部未确认
18,74.97243927672523,74.85944388972189,002370,亚太药业,confirmed_rebound,2023-05-18,4.24,2023-04-25,4.08,3.921568627450984,9.558823529411757,32.56198347107438,True,-2.0785,1.4373,3,3,3,100.0,15.325915915645853,15.633423180592995,4.078431372549017,3.921568627450984,历史3/3次成功; 当前距低点3.92%; 最新日涨幅-2.08%; 状态confirmed_rebound; 底部已确认
