rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.493402926304,82.33857402146239,002245,蔚蓝锂芯,bottom_area,2023-05-26,10.48,2023-05-26,10.35,1.2560386473430027,3.3816425120772915,31.818181818181817,False,-2.0561,1.5615,3,3,3,100.0,21.840549125830286,25.653923541247494,13.743961352656997,1.2560386473430027,历史3/3次成功; 当前距低点1.26%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
2,87.03246279563852,79.55182977850572,601598,中国外运,bottom_area,2023-05-26,4.61,2023-05-25,4.49,2.672605790645882,3.1180400890868527,27.110389610389607,False,0.655,0.8114,2,2,2,100.0,18.41597301708783,18.82640586797067,12.327394209354118,2.672605790645882,历史2/2次成功; 当前距低点2.67%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
3,86.04238179081221,76.38781120762613,002041,登海种业,bottom_area,2023-05-26,15.48,2023-05-26,15.31,1.1103853690398429,1.8288700195950316,27.783018867924525,False,-0.129,0.2862,1,1,1,100.0,21.395106715252467,21.395106715252467,13.889614630960157,1.1103853690398429,历史1/1次成功; 当前距低点1.11%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
4,84.97633581830156,76.07333882640519,688289,圣湘生物,bottom_area,2023-05-26,18.26,2023-04-26,17.98,1.5572858731924424,12.45828698553948,27.058823529411757,False,-0.1094,0.4765,1,1,1,100.0,25.182530200451346,25.182530200451346,13.442714126807557,1.5572858731924424,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
5,84.75942319121086,77.0774560041729,001201,东瑞股份,bottom_area,2023-05-26,23.92,2023-05-19,23.36,2.3972602739726128,5.265410958904111,31.25367863449087,False,0.3777,0.4695,1,1,1,100.0,18.4043517679057,18.4043517679057,12.602739726027387,2.3972602739726128,历史1/1次成功; 当前距低点2.40%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
6,84.44398514281139,74.71399071925752,688077,大地熊,bottom_area,2023-05-26,26.1,2023-05-22,25.86,0.9280742459396829,3.3642691415313264,32.83116883116883,False,-1.435,0.8641,1,1,1,100.0,53.68518518518518,53.68518518518518,14.071925754060317,0.9280742459396829,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
7,83.35037848268568,74.52607503526933,600160,巨化股份,bottom_area,2023-05-26,13.61,2023-05-19,13.41,1.4914243102162512,6.040268456375843,29.606299212598426,False,-2.0863,0.4082,1,1,1,100.0,16.05657237936772,16.05657237936772,13.508575689783747,1.4914243102162512,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
8,83.0525667207693,78.19689897360107,600203,福日电子,bottom_area,2023-05-26,5.87,2023-05-15,5.63,4.262877442273538,8.348134991119,28.824273072060684,True,0.1706,0.8644,2,2,2,100.0,21.43150291389641,24.045801526717554,10.737122557726462,4.262877442273538,历史2/2次成功; 当前距低点4.26%; 最新日涨幅0.17%; 状态bottom_area; 底部已确认
9,82.99924270987508,74.5402675495303,002251,步步高,bottom_area,2023-05-26,4.71,2023-05-26,4.63,1.7278617710583168,4.319654427645792,28.217054263565895,False,-2.4845,1.9952,1,1,1,100.0,19.0311418685121,19.0311418685121,13.272138228941682,1.7278617710583168,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
10,82.40216479406955,75.91643114286799,688028,沃尔德,bottom_area,2023-05-26,22.31,2023-05-26,21.64,3.096118299445463,3.096118299445463,32.35386058143169,False,0.0,0.6717,1,1,1,100.0,20.728929384965834,20.728929384965834,11.903881700554535,3.096118299445463,历史1/1次成功; 当前距低点3.10%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,81.00728209168788,75.38439390455345,688075,安旭生物,bottom_area,2023-05-26,67.0,2023-05-10,64.65,3.634957463263719,7.6566125290023015,30.37906525953047,True,-0.0746,1.3053,4,5,4,80.0,31.086542584917854,40.134529147982065,11.365042536736281,3.634957463263719,历史4/5次成功; 当前距低点3.63%; 最新日涨幅-0.07%; 状态bottom_area; 底部已确认
