rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.28466410539292,83.11825441345191,600409,三友化工,bottom_area,2023-05-29,5.46,2023-05-26,5.35,2.0560747663551466,2.4299065420560897,27.70270270270271,False,0.9242,0.543,3,3,3,100.0,13.366155272804479,18.95551257253386,5.943925233644853,2.0560747663551466,历史3/3次成功; 当前距低点2.06%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
2,83.69142734385609,82.93309691931373,688075,安旭生物,bottom_area,2023-05-29,66.93,2023-05-10,64.65,3.5266821345707666,7.6566125290023015,30.37906525953047,True,-0.1045,0.9607,5,5,5,100.0,27.010388097500325,40.134529147982065,4.473317865429234,3.5266821345707666,历史5/5次成功; 当前距低点3.53%; 最新日涨幅-0.10%; 状态bottom_area; 底部已确认
3,83.50927844284458,80.50534756360557,601068,中铝国际,bottom_area,2023-05-29,5.36,2023-05-26,5.25,2.0952380952381016,3.9999999999999996,29.90654205607477,False,0.0,0.7977,2,2,2,100.0,16.46500226208832,18.6700767263427,5.904761904761899,2.0952380952381016,历史2/2次成功; 当前距低点2.10%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,83.3461232205802,80.63434400807921,300409,道氏技术,confirmed_rebound,2023-05-29,12.56,2023-04-26,12.28,2.2801302931596186,8.876221498371335,28.811594202898554,True,-2.7111,0.9686,2,2,2,100.0,42.9195756800168,50.03460207612457,5.719869706840382,2.2801302931596186,历史2/2次成功; 当前距低点2.28%; 最新日涨幅-2.71%; 状态confirmed_rebound; 底部已确认
5,81.79487814550906,75.73599828287875,000889,中嘉博创,bottom_area,2023-05-29,1.35,2023-05-29,1.35,0.0,0.0,30.051813471502587,False,-4.9296,0.4117,4,4,4,100.0,16.591388617627675,34.408602150537625,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-4.93%; 状态bottom_area; 底部未确认
6,81.64329972405598,76.29873744557189,002570,贝因美,bottom_area,2023-05-29,4.18,2023-05-26,4.16,0.48076923076922046,2.4038461538461453,27.90294627383015,False,-1.4151,0.6617,3,3,3,100.0,19.703716622181236,35.05154639175259,7.51923076923078,0.48076923076922046,历史3/3次成功; 当前距低点0.48%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
7,81.50266570430485,77.60834038054968,601388,怡球资源,bottom_area,2023-05-29,2.79,2023-05-26,2.75,1.4545454545454557,3.2727272727272676,27.248677248677243,False,-1.0638,0.4512,2,2,2,100.0,15.509161381254394,18.333333333333325,6.545454545454545,1.4545454545454557,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
8,80.2492738264011,75.11305174087948,688289,圣湘生物,bottom_area,2023-05-29,17.9,2023-05-29,17.8,0.5617977528089768,1.68539325842697,27.789046653144013,False,0.3363,0.7422,1,1,1,100.0,25.182530200451346,25.182530200451346,7.438202247191024,0.5617977528089768,历史1/1次成功; 当前距低点0.56%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
9,79.28744042591785,75.24087249349459,603077,和邦生物,bottom_area,2023-05-29,2.38,2023-05-25,2.35,1.2765957446808427,7.234042553191486,29.21686746987951,False,-2.0576,0.7464,1,1,1,100.0,17.26618705035971,17.26618705035971,6.723404255319157,1.2765957446808427,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
10,79.0553624251698,75.01879553082946,600160,巨化股份,bottom_area,2023-05-29,13.5,2023-05-29,13.33,1.2753188297074263,2.700675168792194,30.026246719160106,False,-0.8082,0.7006,1,1,1,100.0,16.05657237936772,16.05657237936772,6.724681170292573,1.2753188297074263,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
11,79.03191083204645,78.33384718121637,002455,百川股份,bottom_area,2023-05-29,7.9,2023-05-05,7.63,3.538663171690701,7.86369593709044,28.691588785046722,True,-2.1066,0.8378,3,3,3,100.0,19.096769960597644,35.42600896860987,4.4613368283093,3.538663171690701,历史3/3次成功; 当前距低点3.54%; 最新日涨幅-2.11%; 状态bottom_area; 底部已确认
12,78.72459300161522,76.84475438202195,002041,登海种业,bottom_area,2023-05-29,15.73,2023-05-26,15.31,2.743305029392553,3.1352057478771957,27.783018867924525,False,1.615,0.4037,1,1,1,100.0,21.395106715252467,21.395106715252467,5.256694970607447,2.743305029392553,历史1/1次成功; 当前距低点2.74%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
13,78.4290865760675,75.9717783804727,300729,乐歌股份,bottom_area,2023-05-29,14.84,2023-05-25,14.5,2.3448275862068955,6.827586206896553,30.78758949880668,False,0.9524,2.0768,1,1,1,100.0,11.817125145292525,11.817125145292525,5.655172413793105,2.3448275862068955,历史1/1次成功; 当前距低点2.34%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
14,78.15589738541436,73.39698285961391,603290,斯达半导,bottom_area,2023-05-29,222.24,2023-05-29,220.62,0.7342942616263278,4.655063004260711,27.320046120902653,False,-3.1845,1.3062,3,3,3,100.0,17.42566546302117,23.2822670787034,7.265705738373672,0.7342942616263278,历史3/3次成功; 当前距低点0.73%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
15,77.76636708965674,72.67273544689897,000792,盐湖股份,bottom_area,2023-05-29,18.89,2023-05-29,18.8,0.47872340425531834,1.2765957446808427,28.353658536585357,False,-0.2113,0.3445,2,2,2,100.0,16.850671013984325,24.904214559386965,7.521276595744681,0.47872340425531834,历史2/2次成功; 当前距低点0.48%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
