rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.1257696419679,83.04848643046252,001332,锡装股份,bottom_area,2023-06-02,42.93,2023-06-02,42.1,1.9714964370546275,2.5653206650831315,32.769083359948894,False,0.822,1.7878,2,2,2,100.0,28.620958639500337,31.086142322097377,18.028503562945374,1.9714964370546275,历史2/2次成功; 当前距低点1.97%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
2,94.47280276129938,81.95466740576492,000890,法尔胜,bottom_area,2023-06-02,4.19,2023-05-19,4.1,2.1951219512195306,7.56097560975611,27.689594356261026,True,0.2392,1.4502,1,1,1,100.0,32.954545454545446,32.954545454545446,17.80487804878047,2.1951219512195306,历史1/1次成功; 当前距低点2.20%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
3,92.00125646368956,77.621723732091,002795,永和智控,bottom_area,2023-06-02,8.95,2023-06-02,8.89,0.6749156355455423,4.161979752530924,32.65151515151514,False,-2.7174,2.4411,3,3,3,100.0,29.196405274918448,31.302270011947446,19.325084364454458,0.6749156355455423,历史3/3次成功; 当前距低点0.67%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
4,90.15238409815831,78.85189207984442,601111,中国国航,bottom_area,2023-06-02,8.15,2023-06-02,7.94,2.644836272040302,3.1486146095717773,29.920564872021178,False,0.246,0.8172,1,1,1,100.0,30.97913322632423,30.97913322632423,17.3551637279597,2.644836272040302,历史1/1次成功; 当前距低点2.64%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
5,89.27721284478422,75.08662760006304,002179,中航光电,bottom_area,2023-06-02,41.96,2023-06-02,41.75,0.50299401197605,1.1017964071856308,27.315459610027855,False,-0.3089,0.3087,1,1,1,100.0,46.79276315789475,46.79276315789475,19.49700598802395,0.50299401197605,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
6,88.20751721955726,77.62588361146771,600935,华塑股份,bottom_area,2023-06-02,3.8,2023-05-31,3.69,2.9810298102980997,3.2520325203252063,27.788649706457928,False,1.0638,0.2506,1,1,1,100.0,28.50877192982458,28.50877192982458,17.0189701897019,2.9810298102980997,历史1/1次成功; 当前距低点2.98%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
7,84.68979919143804,72.79123236288889,603327,福蓉科技,bottom_area,2023-06-02,11.44,2023-06-01,11.25,1.6888888888888847,2.3999999999999964,27.419354838709676,False,0.2629,0.2488,2,4,2,50.0,45.01020983632018,52.609776304888165,18.311111111111117,1.6888888888888847,历史2/4次成功; 当前距低点1.69%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
8,84.15883054258566,73.60372589818284,688289,圣湘生物,bottom_area,2023-06-02,18.27,2023-05-29,17.8,2.6404494382022405,3.8202247191011214,27.789046653144013,False,-0.3817,0.696,1,1,1,100.0,25.182530200451346,25.182530200451346,17.35955056179776,2.6404494382022405,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
9,83.06324676585643,69.80253270469171,300753,爱朋医疗,bottom_area,2023-06-02,19.75,2023-06-02,19.66,0.45778229908443474,11.953204476093598,28.14327485380117,False,-15.8142,48.2458,1,1,1,100.0,28.044496487119456,28.044496487119456,19.542217700915565,0.45778229908443474,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-15.81%; 状态bottom_area; 底部未确认
10,82.7966780120493,74.29194346522586,600256,广汇能源,bottom_area,2023-06-02,7.46,2023-06-01,7.17,4.0446304044630415,4.18410041841004,29.49852507374631,False,2.7548,1.0058,1,1,1,100.0,23.62204724409449,23.62204724409449,15.955369595536961,4.0446304044630415,历史1/1次成功; 当前距低点4.04%; 最新日涨幅2.75%; 状态bottom_area; 底部未确认
11,82.6878461426444,71.58911980610347,600009,上海机场,bottom_area,2023-06-02,45.99,2023-06-01,45.05,2.0865704772475135,3.1076581576026765,29.477144646211656,False,1.9282,0.5329,2,3,2,66.66666666666666,23.97760122344691,27.704918032786885,17.913429522752487,2.0865704772475135,历史2/3次成功; 当前距低点2.09%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
12,81.23329972697043,71.71948984903696,002041,登海种业,bottom_area,2023-06-02,15.68,2023-05-30,15.2,3.157894736842108,3.486842105263165,28.30188679245283,False,-0.0637,0.3673,1,1,1,100.0,21.395106715252467,21.395106715252467,16.84210526315789,3.157894736842108,历史1/1次成功; 当前距低点3.16%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
13,80.79151885122833,72.23082811202535,300762,上海瀚讯,bottom_area,2023-06-02,11.88,2023-05-10,11.44,3.8461538461538574,6.6433566433566416,27.50316856780735,False,-2.061,1.5584,1,1,1,100.0,32.580961727183514,32.580961727183514,16.153846153846143,3.8461538461538574,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
14,66.20286850792107,58.234004706041674,002570,贝因美,bottom_area,2023-06-02,4.18,2023-05-30,4.06,2.955665024630545,3.44827586206898,29.636048526863085,False,1.7032,0.9676,1,3,1,33.33333333333333,35.05154639175259,35.05154639175259,17.04433497536946,2.955665024630545,历史1/3次成功; 当前距低点2.96%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
15,63.01177357360254,56.89476423921317,600955,维远股份,bottom_area,2023-06-02,19.03,2023-06-01,18.23,4.388370817334068,4.552934722984083,28.453689167974883,False,3.3677,0.5587,1,2,1,50.0,25.969084423305596,25.969084423305596,15.611629182665931,4.388370817334068,历史1/2次成功; 当前距低点4.39%; 最新日涨幅3.37%; 状态bottom_area; 底部未确认
16,59.93480839836412,53.54206988225057,600984,建设机械,bottom_area,2023-06-02,4.64,2023-06-01,4.47,3.8031319910514525,3.8031319910514525,28.480000000000004,False,2.4283,0.7735,1,3,1,33.33333333333333,20.21439509954057,20.21439509954057,16.19686800894855,3.8031319910514525,历史1/3次成功; 当前距低点3.80%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
