rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.52847698916943,88.06272080658503,603327,福蓉科技,bottom_area,2023-06-09,11.2,2023-06-09,10.92,2.564102564102558,2.8388278388278434,29.548387096774192,False,0.2686,0.2252,4,4,4,100.0,29.510078778165898,52.609776304888165,5.435897435897442,2.564102564102558,历史4/4次成功; 当前距低点2.56%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
2,86.25320798520426,86.16089274297963,688075,安旭生物,bottom_area,2023-06-09,67.2,2023-05-10,64.65,3.9443155452436143,7.764887857695276,30.37906525953047,True,1.2506,2.018,5,5,5,100.0,27.010388097500325,40.134529147982065,4.055684454756386,3.9443155452436143,历史5/5次成功; 当前距低点3.94%; 最新日涨幅1.25%; 状态bottom_area; 底部已确认
3,84.88866203430013,82.80755139024787,002570,贝因美,bottom_area,2023-06-09,4.17,2023-05-30,4.06,2.709359605911338,3.694581280788187,29.636048526863085,False,0.4819,0.8373,3,3,3,100.0,19.703716622181236,35.05154639175259,5.290640394088662,2.709359605911338,历史3/3次成功; 当前距低点2.71%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
4,84.66275542844976,82.06714344957933,000301,东方盛虹,bottom_area,2023-06-09,11.18,2023-06-09,10.92,2.380952380952379,3.021978021978023,27.586206896551722,False,-0.0894,0.5576,4,4,4,100.0,17.503843430918035,28.337639965546952,5.61904761904762,2.380952380952379,历史4/4次成功; 当前距低点2.38%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
5,84.57347616822014,81.40447724159938,300363,博腾股份,bottom_area,2023-06-09,29.88,2023-06-08,29.29,2.0143393649709793,4.335950836462955,29.77703188683769,False,1.4946,1.9758,1,1,1,100.0,36.97403760071621,36.97403760071621,5.985660635029021,2.0143393649709793,历史1/1次成功; 当前距低点2.01%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
6,84.48633399948652,80.71531450577665,600935,华塑股份,bottom_area,2023-06-09,3.75,2023-05-31,3.69,1.6260162601626031,3.2520325203252063,27.788649706457928,False,0.5362,0.2426,1,1,1,100.0,28.50877192982458,28.50877192982458,6.373983739837397,1.6260162601626031,历史1/1次成功; 当前距低点1.63%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
7,83.0678584734026,82.92450165980294,603233,大参林,bottom_area,2023-06-09,26.84,2023-06-09,25.83,3.910181958962453,6.658923732094474,30.713519313304726,False,3.7896,0.818,4,4,4,100.0,18.38557272170607,27.64192139737992,4.089818041037547,3.910181958962453,历史4/4次成功; 当前距低点3.91%; 最新日涨幅3.79%; 状态bottom_area; 底部未确认
8,82.50021411916407,79.35132963734381,688176,亚虹医药,bottom_area,2023-06-09,11.35,2023-06-09,11.13,1.9766397124887587,4.043126684636112,31.211372064276876,False,1.0686,1.7944,1,1,1,100.0,25.473484848484844,25.473484848484844,6.023360287511241,1.9766397124887587,历史1/1次成功; 当前距低点1.98%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
9,82.02472435037774,78.0587900355872,002378,章源钨业,bottom_area,2023-06-09,5.7,2023-06-07,5.62,1.4234875444839872,2.313167259786475,27.76349614395887,False,0.1757,0.3894,1,1,1,100.0,11.743772241992884,11.743772241992884,6.5765124555160135,1.4234875444839872,历史1/1次成功; 当前距低点1.42%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
10,81.7595345489485,78.8306937908755,600409,三友化工,bottom_area,2023-06-09,5.34,2023-05-31,5.23,2.103250478011461,5.927342256214141,29.324324324324323,False,-0.7435,0.5319,3,3,3,100.0,13.366155272804479,18.95551257253386,5.896749521988539,2.103250478011461,历史3/3次成功; 当前距低点2.10%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
11,80.85583369364501,78.92519162461899,300762,上海瀚讯,bottom_area,2023-06-09,11.61,2023-06-09,11.3,2.743362831858396,2.920353982300885,28.390367553865648,False,2.2907,1.3571,1,1,1,100.0,32.580961727183514,32.580961727183514,5.256637168141604,2.743362831858396,历史1/1次成功; 当前距低点2.74%; 最新日涨幅2.29%; 状态bottom_area; 底部未确认
12,80.71040795338868,76.36276161684698,002041,登海种业,bottom_area,2023-06-09,15.33,2023-06-07,15.16,1.1213720316622686,2.9023746701846935,28.49056603773585,False,-0.905,0.3786,1,1,1,100.0,21.395106715252467,21.395106715252467,6.878627968337732,1.1213720316622686,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
13,79.17186607439704,77.49434150534027,600995,南网储能,bottom_area,2023-06-09,11.05,2023-06-07,10.74,2.886405959031662,3.351955307262564,32.7909887359199,False,0.546,1.4602,1,1,1,100.0,26.64165103189493,26.64165103189493,5.113594040968338,2.886405959031662,历史1/1次成功; 当前距低点2.89%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
