rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.15959619082629,88.94697162929054,688075,安旭生物,bottom_area,2023-06-15,66.41,2023-05-10,64.65,2.722351121423033,7.764887857695276,30.37906525953047,True,0.1206,1.3792,5,5,5,100.0,27.010388097500325,40.134529147982065,5.277648878576967,2.722351121423033,历史5/5次成功; 当前距低点2.72%; 最新日涨幅0.12%; 状态bottom_area; 底部已确认
2,88.7768342748434,85.0279270019805,601666,平煤股份,bottom_area,2023-06-15,7.53,2023-06-15,7.4,1.756756756756755,1.8918918918918874,27.236971484759092,False,0.534,1.0162,3,3,3,100.0,19.964152727881192,27.30923694779115,6.243243243243245,1.756756756756755,历史3/3次成功; 当前距低点1.76%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
3,86.83310220524822,82.18917179126628,688327,云从科技,bottom_area,2023-06-15,20.36,2023-06-15,20.13,1.142573273720817,5.017386984600107,32.5853985264568,False,-3.0938,5.2227,5,5,5,100.0,13.1948325556438,25.853071055800886,6.857426726279184,1.142573273720817,历史5/5次成功; 当前距低点1.14%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
4,86.0132303365834,82.96440603904279,600409,三友化工,bottom_area,2023-06-15,5.29,2023-06-14,5.18,2.1235521235521295,2.895752895752903,30.000000000000004,False,0.1894,0.5811,3,3,3,100.0,13.366155272804479,18.95551257253386,5.876447876447871,2.1235521235521295,历史3/3次成功; 当前距低点2.12%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
5,85.71937555398075,81.18297792911058,688176,亚虹医药,bottom_area,2023-06-15,11.21,2023-06-15,11.08,1.1732851985559638,1.8953068592057678,31.520395550061803,False,0.0893,1.8141,1,1,1,100.0,25.473484848484844,25.473484848484844,6.826714801444036,1.1732851985559638,历史1/1次成功; 当前距低点1.17%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
6,83.40357749615349,80.09742832691487,600935,华塑股份,bottom_area,2023-06-15,3.76,2023-05-31,3.69,1.8970189701896976,3.2520325203252063,27.788649706457928,False,1.0753,0.2085,1,1,1,100.0,28.50877192982458,28.50877192982458,6.102981029810302,1.8970189701896976,历史1/1次成功; 当前距低点1.90%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
7,80.93577891074992,79.45065624734826,600955,维远股份,bottom_area,2023-06-15,18.66,2023-06-12,18.11,3.036996134732196,4.0861402540033245,28.924646781789644,False,0.2148,0.2504,2,2,2,100.0,22.33874964805201,25.969084423305596,4.963003865267804,3.036996134732196,历史2/2次成功; 当前距低点3.04%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
8,80.81896190300577,77.71054029135168,601669,中国电建,bottom_area,2023-06-15,5.72,2023-06-07,5.61,1.9607843137254801,3.208556149732615,29.78723404255319,False,1.2389,0.9104,1,1,1,100.0,16.457680250783696,16.457680250783696,6.039215686274519,1.9607843137254801,历史1/1次成功; 当前距低点1.96%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
9,80.42643316736246,76.97830541758104,605080,浙江自然,bottom_area,2023-06-15,29.54,2023-06-15,29.04,1.721763085399449,2.1694214876033144,31.47711184521001,False,-0.5722,0.586,2,2,2,100.0,15.397447592966563,20.335021425788852,6.278236914600551,1.721763085399449,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
10,79.87968735108034,76.81775845275307,002378,章源钨业,bottom_area,2023-06-15,5.7,2023-06-15,5.59,1.9677996422182524,2.3255813953488356,28.149100257069414,False,1.0638,0.7415,1,1,1,100.0,11.743772241992884,11.743772241992884,6.032200357781747,1.9677996422182524,历史1/1次成功; 当前距低点1.97%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
11,79.76413298584147,77.7365348869469,688289,圣湘生物,bottom_area,2023-06-15,17.36,2023-06-12,16.91,2.6611472501478373,2.6611472501478373,31.399594320486813,False,1.3427,0.6306,1,1,1,100.0,25.182530200451346,25.182530200451346,5.338852749852164,2.6611472501478373,历史1/1次成功; 当前距低点2.66%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
