rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.12955240362479,84.1036026776562,601666,平煤股份,bottom_area,2023-06-16,7.56,2023-06-15,7.4,2.162162162162152,2.567567567567561,27.236971484759092,False,0.3984,1.1315,3,3,3,100.0,19.964152727881192,27.30923694779115,5.8378378378378475,2.162162162162152,历史3/3次成功; 当前距低点2.16%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
2,86.86425676240025,86.51356095643672,688075,安旭生物,bottom_area,2023-06-16,67.1,2023-05-10,64.65,3.789636504253656,7.764887857695276,30.37906525953047,True,1.039,1.7042,5,5,5,100.0,27.010388097500325,40.134529147982065,4.2103634957463445,3.789636504253656,历史5/5次成功; 当前距低点3.79%; 最新日涨幅1.04%; 状态bottom_area; 底部已确认
3,82.74782067209468,78.31301616138268,605080,浙江自然,bottom_area,2023-06-16,29.37,2023-06-15,29.04,1.136363636363643,2.685950413223144,31.47711184521001,False,-0.5755,0.5255,2,2,2,100.0,15.397447592966563,20.335021425788852,6.863636363636358,1.136363636363643,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
4,82.32984296991425,79.47954214805306,600935,华塑股份,bottom_area,2023-06-16,3.77,2023-05-31,3.69,2.168021680216804,3.2520325203252063,27.788649706457928,False,0.266,0.2037,1,1,1,100.0,28.50877192982458,28.50877192982458,5.831978319783196,2.168021680216804,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
5,79.9520802134893,79.44317051780726,600409,三友化工,bottom_area,2023-06-16,5.37,2023-06-14,5.18,3.6679536679536757,4.633204633204638,30.000000000000004,False,1.5123,0.8067,3,3,3,100.0,13.366155272804479,18.95551257253386,4.332046332046325,3.6679536679536757,历史3/3次成功; 当前距低点3.67%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
6,78.48935476289003,76.00201605561534,002378,章源钨业,bottom_area,2023-06-16,5.72,2023-06-15,5.59,2.3255813953488356,2.683363148479434,28.149100257069414,False,0.3509,0.5698,1,1,1,100.0,11.743772241992884,11.743772241992884,5.674418604651164,2.3255813953488356,历史1/1次成功; 当前距低点2.33%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
7,77.52750077504075,73.60539717412557,300357,我武生物,bottom_area,2023-06-16,33.48,2023-06-16,33.05,1.3010590015128585,5.658093797276868,30.741827326068737,False,-2.3337,1.8165,1,1,1,100.0,8.773181169757484,8.773181169757484,6.698940998487142,1.3010590015128585,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
8,77.32516612705982,72.66667319732755,688302,海创药业,bottom_area,2023-06-16,54.97,2023-06-16,54.55,0.7699358386801132,4.216315307057753,27.111170497060407,False,-1.7164,2.1855,1,1,1,100.0,37.054445750097926,37.054445750097926,7.230064161319887,0.7699358386801132,历史1/1次成功; 当前距低点0.77%; 最新日涨幅-1.72%; 状态bottom_area; 底部未确认
9,77.13862031833001,77.18450494972264,600955,维远股份,bottom_area,2023-06-16,18.84,2023-06-12,18.11,4.030922142462731,4.638321369409166,28.924646781789644,False,0.9646,0.3494,2,2,2,100.0,22.33874964805201,25.969084423305596,3.969077857537269,4.030922142462731,历史2/2次成功; 当前距低点4.03%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
10,77.10700070372658,75.88049248755938,002041,登海种业,bottom_area,2023-06-16,15.64,2023-06-07,15.16,3.166226912928763,4.221635883905018,28.49056603773585,False,0.7732,0.5611,1,1,1,100.0,21.395106715252467,21.395106715252467,4.833773087071237,3.166226912928763,历史1/1次成功; 当前距低点3.17%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
11,76.74208440342028,74.91974014083202,600283,钱江水利,bottom_area,2023-06-16,14.57,2023-06-15,14.18,2.75035260930889,3.8787023977433055,27.095115681233935,False,0.7607,3.6293,1,1,1,100.0,11.131957473420883,11.131957473420883,5.24964739069111,2.75035260930889,历史1/1次成功; 当前距低点2.75%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
12,76.1495587443951,73.96102926896937,688289,圣湘生物,bottom_area,2023-06-16,17.33,2023-06-12,16.91,2.483737433471308,2.956830277942046,31.399594320486813,False,-0.1728,0.4088,1,1,1,100.0,25.182530200451346,25.182530200451346,5.516262566528693,2.483737433471308,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
13,75.79133138349063,72.53446473507775,688019,安集科技,bottom_area,2023-06-16,177.19,2023-06-15,174.2,1.7164179104477664,4.78185993111367,30.80711789005402,False,-2.213,1.4667,1,1,1,100.0,8.106976187627147,8.106976187627147,6.283582089552234,1.7164179104477664,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
14,75.78874221313069,75.24591836062335,600256,广汇能源,bottom_area,2023-06-16,7.43,2023-06-01,7.17,3.6262203626220333,5.718270571827059,29.49852507374631,False,0.4054,1.6042,1,1,1,100.0,23.62204724409449,23.62204724409449,4.373779637377967,3.6262203626220333,历史1/1次成功; 当前距低点3.63%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
15,74.52089270536786,70.21030644896621,688176,亚虹医药,bottom_area,2023-06-16,11.18,2023-06-15,11.08,0.9025270758122712,3.158844765342957,31.520395550061803,False,-0.2676,1.6533,1,1,1,100.0,25.473484848484844,25.473484848484844,7.097472924187728,0.9025270758122712,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
16,74.51367796634209,75.08272599493529,601388,怡球资源,bottom_area,2023-06-16,2.85,2023-05-30,2.73,4.3956043956043995,4.3956043956043995,27.777777777777775,False,0.3521,0.3381,2,2,2,100.0,15.509161381254394,18.333333333333325,3.604395604395601,4.3956043956043995,历史2/2次成功; 当前距低点4.40%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
17,74.144359008169,74.55121213485847,300601,康泰生物,bottom_area,2023-06-16,25.8,2023-06-14,24.74,4.284559417946655,4.527081649151176,28.03955788248983,False,1.1765,0.99,2,2,2,100.0,11.290363482671175,11.580726965342352,3.7154405820533456,4.284559417946655,历史2/2次成功; 当前距低点4.28%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
18,73.513348155075,74.33812147361436,000723,美锦能源,bottom_area,2023-06-16,6.85,2023-06-14,6.55,4.580152671755722,4.7328244274809235,30.907172995780595,False,0.7353,0.8729,1,1,1,100.0,30.434782608695667,30.434782608695667,3.419847328244278,4.580152671755722,历史1/1次成功; 当前距低点4.58%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
19,73.32133204047895,74.54565808047617,300546,雄帝科技,bottom_area,2023-06-16,19.63,2023-06-07,18.72,4.861111111111112,7.852564102564116,27.441860465116285,True,0.6667,3.471,4,5,4,80.0,19.13436243983607,33.791666666666664,3.1388888888888884,4.861111111111112,历史4/5次成功; 当前距低点4.86%; 最新日涨幅0.67%; 状态bottom_area; 底部已确认
20,71.8635098309475,73.03624094668108,600995,南网储能,bottom_area,2023-06-16,11.26,2023-06-07,10.74,4.841713221601486,4.841713221601486,32.7909887359199,False,1.9005,1.3835,1,1,1,100.0,26.64165103189493,26.64165103189493,3.158286778398514,4.841713221601486,历史1/1次成功; 当前距低点4.84%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
21,71.79159545349104,72.08283924843423,002084,海鸥住工,bottom_area,2023-06-16,3.96,2023-06-01,3.8,4.210526315789478,5.526315789473683,27.06333973128599,False,0.0,0.6342,1,1,1,100.0,13.778705636743219,13.778705636743219,3.7894736842105226,4.210526315789478,历史1/1次成功; 当前距低点4.21%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
22,71.39144135451392,72.02070071915914,601669,中国电建,bottom_area,2023-06-16,5.86,2023-06-07,5.61,4.45632798573975,4.812834224598923,29.78723404255319,False,2.4476,1.7063,1,1,1,100.0,16.457680250783696,16.457680250783696,3.54367201426025,4.45632798573975,历史1/1次成功; 当前距低点4.46%; 最新日涨幅2.45%; 状态bottom_area; 底部未确认
23,70.71516968016404,71.40080856120346,002768,国恩股份,bottom_area,2023-06-16,23.91,2023-06-12,22.88,4.501748251748257,5.026223776223786,27.48019017432647,False,0.2516,0.7597,1,1,1,100.0,13.681691264459511,13.681691264459511,3.4982517482517435,4.501748251748257,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
24,67.51699974373999,66.97931115591398,000545,金浦钛业,bottom_area,2023-06-16,2.89,2023-06-12,2.79,3.5842293906810068,4.3010752688172085,28.277634961439592,False,0.0,0.3721,2,3,2,66.66666666666666,17.55208333333334,24.6875,4.415770609318994,3.5842293906810068,历史2/3次成功; 当前距低点3.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
25,65.8924069644043,66.63167813790515,000703,恒逸石化,bottom_area,2023-06-16,6.85,2023-06-12,6.55,4.580152671755722,5.954198473282451,27.222222222222225,False,-0.1458,0.3024,1,1,1,100.0,11.475409836065575,11.475409836065575,3.419847328244278,4.580152671755722,历史1/1次成功; 当前距低点4.58%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
