rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.23582726741179,85.71917580562463,688075,安旭生物,bottom_area,2023-06-20,66.14,2023-05-10,64.65,2.3047177107501855,7.764887857695276,30.37906525953047,True,-0.3916,0.9956,5,5,5,100.0,27.010388097500325,40.134529147982065,7.695282289249815,2.3047177107501855,历史5/5次成功; 当前距低点2.30%; 最新日涨幅-0.39%; 状态bottom_area; 底部已确认
2,84.07495734128005,76.8271161911697,601666,平煤股份,bottom_area,2023-06-20,7.42,2023-06-15,7.4,0.2702702702702645,3.2432432432432337,27.236971484759092,False,-1.4608,0.5338,3,3,3,100.0,19.964152727881192,27.30923694779115,9.729729729729735,0.2702702702702645,历史3/3次成功; 当前距低点0.27%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
3,83.53317230372166,78.04137204845969,002378,章源钨业,bottom_area,2023-06-20,5.67,2023-06-15,5.59,1.4311270125223625,2.683363148479434,28.149100257069414,False,0.0,0.4852,1,1,1,100.0,11.743772241992884,11.743772241992884,8.568872987477638,1.4311270125223625,历史1/1次成功; 当前距低点1.43%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,83.02333130387059,79.25855017075949,601388,怡球资源,bottom_area,2023-06-20,2.8,2023-05-30,2.73,2.564102564102558,4.3956043956043995,27.777777777777775,False,0.0,0.4029,2,2,2,100.0,15.509161381254394,18.333333333333325,7.435897435897443,2.564102564102558,历史2/2次成功; 当前距低点2.56%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,81.40201677088075,75.15897304236199,600935,华塑股份,bottom_area,2023-06-20,3.72,2023-05-31,3.69,0.8130081300813075,3.2520325203252063,27.788649706457928,False,0.0,0.1575,1,1,1,100.0,28.50877192982458,28.50877192982458,9.186991869918693,0.8130081300813075,历史1/1次成功; 当前距低点0.81%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,79.92805203809164,76.83587651961915,600256,广汇能源,bottom_area,2023-06-20,7.38,2023-06-01,7.17,2.928870292887029,5.718270571827059,29.49852507374631,False,0.1357,1.3384,1,1,1,100.0,23.62204724409449,23.62204724409449,7.071129707112972,2.928870292887029,历史1/1次成功; 当前距低点2.93%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
7,79.33413591108712,74.70840805484171,002041,登海种业,bottom_area,2023-06-20,15.44,2023-06-07,15.16,1.8469656992084391,4.221635883905018,28.49056603773585,False,-0.6435,0.3479,1,1,1,100.0,21.395106715252467,21.395106715252467,8.153034300791562,1.8469656992084391,历史1/1次成功; 当前距低点1.85%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
8,79.25693701863706,77.56219683266026,600955,维远股份,bottom_area,2023-06-20,18.81,2023-06-12,18.11,3.8652678078409677,6.46051905024849,28.924646781789644,False,1.0204,0.6462,2,2,2,100.0,22.33874964805201,25.969084423305596,6.134732192159033,3.8652678078409677,历史2/2次成功; 当前距低点3.87%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
9,79.07007399708597,74.44256330514456,002481,双塔食品,bottom_area,2023-06-20,4.44,2023-06-12,4.36,1.8348623853211024,6.880733944954123,29.677419354838708,False,-1.5521,0.6425,1,1,1,100.0,19.817470664928287,19.817470664928287,8.165137614678898,1.8348623853211024,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
10,79.02273370319254,75.58612324651816,002768,国恩股份,bottom_area,2023-06-20,23.49,2023-06-12,22.88,2.6660839160839136,5.244755244755242,27.48019017432647,False,0.2561,0.7508,1,1,1,100.0,13.681691264459511,13.681691264459511,7.333916083916087,2.6660839160839136,历史1/1次成功; 当前距低点2.67%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
11,78.98288640081766,76.77476269498837,000723,美锦能源,bottom_area,2023-06-20,6.78,2023-06-14,6.55,3.5114503816793956,4.8854961832061115,30.907172995780595,False,0.1477,0.6934,1,1,1,100.0,30.434782608695667,30.434782608695667,6.488549618320604,3.5114503816793956,历史1/1次成功; 当前距低点3.51%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
