rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.60569211287401,81.07168316547173,601086,国芳集团,bottom_area,2023-06-26,4.32,2023-06-26,4.27,1.1709601873536468,2.1077283372365514,28.83333333333334,False,0.0,1.5085,1,1,1,100.0,24.846625766871185,24.846625766871185,6.829039812646354,1.1709601873536468,历史1/1次成功; 当前距低点1.17%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,83.17772947415031,79.36368430260677,002395,双象股份,bottom_area,2023-06-26,11.07,2023-06-26,10.9,1.559633027522935,3.6697247706422047,29.677419354838708,False,-0.8953,3.6907,2,2,2,100.0,26.23466454494123,36.59976387249114,6.440366972477066,1.559633027522935,历史2/2次成功; 当前距低点1.56%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
3,82.94590422908578,80.9020626464389,000792,盐湖股份,bottom_area,2023-06-26,19.0,2023-05-30,18.5,2.7027027027027026,7.5675675675675595,29.49695121951219,True,0.6356,0.2604,2,2,2,100.0,16.850671013984325,24.904214559386965,5.297297297297297,2.7027027027027026,历史2/2次成功; 当前距低点2.70%; 最新日涨幅0.64%; 状态bottom_area; 底部已确认
4,82.89082823341244,80.06696121424342,002247,聚力文化,bottom_area,2023-06-26,1.86,2023-06-26,1.82,2.1978021978021998,3.8461538461538374,28.62745098039215,False,0.5405,4.8824,2,2,2,100.0,15.365323791572166,15.929203539823025,5.8021978021978,2.1978021978021998,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
5,82.51379297927511,76.81087748366883,601666,平煤股份,bottom_area,2023-06-26,7.23,2023-06-26,7.21,0.27739251040222557,1.5256588072122097,29.10521140609636,False,-1.3643,0.8104,3,3,3,100.0,19.964152727881192,27.30923694779115,7.722607489597774,0.27739251040222557,历史3/3次成功; 当前距低点0.28%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
6,82.25253611291996,82.29890169133759,000301,东方盛虹,confirmed_rebound,2023-06-26,11.36,2023-06-09,10.92,4.029304029304025,9.432234432234427,27.586206896551722,True,0.531,0.3674,4,4,4,100.0,17.503843430918035,28.337639965546952,3.9706959706959752,4.029304029304025,历史4/4次成功; 当前距低点4.03%; 最新日涨幅0.53%; 状态confirmed_rebound; 底部已确认
7,82.07865686456397,79.10806818181817,688176,亚虹医药,bottom_area,2023-06-26,11.27,2023-06-21,11.04,2.0833333333333375,4.981884057971022,31.767614338689743,False,0.3562,1.9555,1,1,1,100.0,25.473484848484844,25.473484848484844,5.916666666666663,2.0833333333333375,历史1/1次成功; 当前距低点2.08%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
8,81.42332426686397,78.4301525508019,600009,上海机场,confirmed_rebound,2023-06-26,45.74,2023-06-06,44.82,2.052655064703261,8.366800535475234,29.83719474013776,True,-3.2776,0.5694,3,3,3,100.0,21.829065044759854,27.704918032786885,5.947344935296739,2.052655064703261,历史3/3次成功; 当前距低点2.05%; 最新日涨幅-3.28%; 状态confirmed_rebound; 底部已确认
9,81.12569742021739,77.081471022411,300601,康泰生物,bottom_area,2023-06-26,24.93,2023-06-26,24.6,1.3414634146341393,3.2113821138211347,28.44677137870855,False,-0.0802,0.9554,2,2,2,100.0,11.290363482671175,11.580726965342352,6.658536585365861,1.3414634146341393,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
10,80.90641093945605,80.42103617364992,603185,弘元绿能,confirmed_rebound,2023-06-26,71.71,2023-06-15,69.16,3.687102371312893,8.0104106419896,28.264702831656468,True,-0.5823,0.7915,4,4,4,100.0,25.686180538942583,43.51028702057404,4.312897628687107,3.687102371312893,历史4/4次成功; 当前距低点3.69%; 最新日涨幅-0.58%; 状态confirmed_rebound; 底部已确认
11,80.42851880780113,78.51522071025553,000723,美锦能源,bottom_area,2023-06-26,6.73,2023-06-14,6.55,2.7480916030534446,5.1908396946564865,30.907172995780595,False,0.4478,0.8832,1,1,1,100.0,30.434782608695667,30.434782608695667,5.251908396946556,2.7480916030534446,历史1/1次成功; 当前距低点2.75%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
12,80.06727193540331,76.15378446940996,600256,广汇能源,bottom_area,2023-06-26,7.27,2023-06-01,7.17,1.3947001394700091,5.718270571827059,29.49852507374631,False,-0.1374,1.0986,1,1,1,100.0,23.62204724409449,23.62204724409449,6.605299860529991,1.3947001394700091,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
13,79.99027022994483,74.8956415602783,600409,三友化工,bottom_area,2023-06-26,5.21,2023-06-14,5.18,0.579150579150584,6.370656370656372,30.000000000000004,False,-1.1385,0.4246,3,3,3,100.0,13.366155272804479,18.95551257253386,7.420849420849416,0.579150579150584,历史3/3次成功; 当前距低点0.58%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
14,79.4339497341575,75.86261472441234,688316,青云科技,confirmed_rebound,2023-06-26,53.7,2023-06-26,52.85,1.6083254493850545,10.690633869441815,27.453671928620444,False,-8.3305,7.5083,3,3,3,100.0,11.77202553231324,13.030303030303022,6.391674550614946,1.6083254493850545,历史3/3次成功; 当前距低点1.61%; 最新日涨幅-8.33%; 状态confirmed_rebound; 底部未确认
15,78.70982455661381,73.46869600284649,688302,海创药业,bottom_area,2023-06-26,52.83,2023-06-26,52.61,0.4181714502946186,3.915605398213272,29.70336718332443,False,-1.5835,1.1651,1,1,1,100.0,37.054445750097926,37.054445750097926,7.5818285497053814,0.4181714502946186,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
16,78.5951031065492,75.84858589112326,300357,我武生物,bottom_area,2023-06-26,33.25,2023-06-26,32.55,2.150537634408611,2.8571428571428563,31.78960603520537,False,0.7576,0.6352,1,1,1,100.0,8.773181169757484,8.773181169757484,5.849462365591389,2.150537634408611,历史1/1次成功; 当前距低点2.15%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
17,78.06160887693493,75.72074341673611,002802,洪汇新材,confirmed_rebound,2023-06-26,10.17,2023-05-12,9.93,2.4169184290030232,9.063444108761333,31.1373092926491,True,-0.8772,1.1943,2,2,2,100.0,18.17912599388721,20.65637065637066,5.583081570996977,2.4169184290030232,历史2/2次成功; 当前距低点2.42%; 最新日涨幅-0.88%; 状态confirmed_rebound; 底部已确认
18,77.28868815318442,72.6920212733116,002299,圣农发展,bottom_area,2023-06-26,18.61,2023-06-26,18.46,0.812567713976157,2.275189599133251,27.00672202451561,False,-0.7996,0.4738,2,2,2,100.0,21.046643339662563,26.73830594184577,7.187432286023842,0.812567713976157,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
19,77.18626349794744,78.28228485434856,688075,安旭生物,confirmed_rebound,2023-06-26,67.71,2023-05-10,64.65,4.733178654292324,9.574632637277643,30.37906525953047,True,-0.7912,2.9461,5,5,5,100.0,27.010388097500325,40.134529147982065,3.266821345707676,4.733178654292324,历史5/5次成功; 当前距低点4.73%; 最新日涨幅-0.79%; 状态confirmed_rebound; 底部已确认
