rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.28585530158549,79.84071847486058,688236,春立医疗,bottom_area,2023-07-04,24.38,2023-06-28,23.72,2.7824620573355827,7.082630691399662,32.228571428571435,True,0.5361,1.6855,1,1,1,100.0,28.788881535407025,28.788881535407025,7.217537942664418,2.7824620573355827,历史1/1次成功; 当前距低点2.78%; 最新日涨幅0.54%; 状态bottom_area; 底部已确认
2,80.07735894955866,76.28461673713491,002545,东方铁塔,bottom_area,2023-07-04,7.1,2023-06-26,6.93,2.4531024531024523,3.03030303030303,27.58620689655173,False,-0.1406,0.4141,2,2,2,100.0,20.63274371079842,28.468653648509758,7.546897546897548,2.4531024531024523,历史2/2次成功; 当前距低点2.45%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
3,79.51650469755863,78.24278494267783,688156,路德科技,bottom_area,2023-07-04,27.09,2023-07-03,26.01,4.15224913494809,9.765474817377928,27.72992497916088,False,0.4449,3.6616,2,2,2,100.0,29.515661130964897,44.22535211267606,5.8477508650519106,4.15224913494809,历史2/2次成功; 当前距低点4.15%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
4,75.21938604682711,73.43246547699525,002299,圣农发展,bottom_area,2023-07-04,19.15,2023-06-26,18.46,3.7378114842903454,4.821235102925247,27.00672202451561,False,-0.0522,0.3871,2,2,2,100.0,21.046643339662563,26.73830594184577,6.262188515709655,3.7378114842903454,历史2/2次成功; 当前距低点3.74%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
5,73.34550695834473,72.72177245773261,002041,登海种业,bottom_area,2023-07-04,15.39,2023-06-29,14.72,4.551630434782608,4.6874999999999964,30.56603773584905,False,0.654,0.3609,1,1,1,100.0,21.395106715252467,21.395106715252467,5.4483695652173925,4.551630434782608,历史1/1次成功; 当前距低点4.55%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
6,73.32797444503856,72.70507980067883,002063,远光软件,bottom_area,2023-07-04,7.12,2023-07-03,6.81,4.552129221732754,6.02055800293686,29.136316337148806,False,0.9929,1.3926,1,1,1,100.0,21.311475409836078,21.311475409836078,5.447870778267247,4.552129221732754,历史1/1次成功; 当前距低点4.55%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
7,73.22085836145011,71.00263153716489,600283,钱江水利,bottom_area,2023-07-04,14.66,2023-06-15,14.18,3.385049365303247,8.321579689703807,27.095115681233935,True,-0.6102,2.5852,1,1,1,100.0,11.131957473420883,11.131957473420883,6.614950634696753,3.385049365303247,历史1/1次成功; 当前距低点3.39%; 最新日涨幅-0.61%; 状态bottom_area; 底部已确认
8,73.19577065683352,70.80809617897502,605266,健之佳,bottom_area,2023-07-04,61.15,2023-07-04,59.22,3.2590341100979394,5.200945626477538,32.11051243838129,False,-1.3391,1.3952,3,4,3,75.0,21.901580376335108,33.154615273148806,6.740965889902062,3.2590341100979394,历史3/4次成功; 当前距低点3.26%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
9,72.77040425906847,72.02070071915914,601669,中国电建,bottom_area,2023-07-04,5.86,2023-06-07,5.61,4.45632798573975,5.169340463458111,29.78723404255319,False,0.0,0.7027,1,1,1,100.0,16.457680250783696,16.457680250783696,5.54367201426025,4.45632798573975,历史1/1次成功; 当前距低点4.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,72.0850659222859,70.87276856524876,600935,华塑股份,bottom_area,2023-07-04,3.8,2023-06-27,3.65,4.109589041095888,6.575342465753431,28.571428571428577,False,-1.0417,0.2578,1,1,1,100.0,28.50877192982458,28.50877192982458,5.890410958904113,4.109589041095888,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
11,71.38023905726061,70.81167813790516,000703,恒逸石化,bottom_area,2023-07-04,6.85,2023-06-12,6.55,4.580152671755722,5.954198473282451,27.222222222222225,False,0.1462,0.2074,1,1,1,100.0,11.475409836065575,11.475409836065575,5.419847328244278,4.580152671755722,历史1/1次成功; 当前距低点4.58%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
12,68.87847919042841,67.85207937539644,688085,三友医疗,bottom_area,2023-07-04,25.98,2023-06-26,24.93,4.211793020457284,6.498194945848379,29.25652667423383,False,-0.9153,0.3009,1,1,1,100.0,13.52133044107013,13.52133044107013,5.788206979542716,4.211793020457284,历史1/1次成功; 当前距低点4.21%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
13,60.74703365059491,57.86029444819061,688228,开普云,bottom_area,2023-07-04,50.71,2023-07-03,49.5,2.4444444444444464,5.05050505050505,30.962343096234314,False,-0.5881,3.2863,1,2,1,50.0,29.80445043830074,29.80445043830074,7.5555555555555545,2.4444444444444464,历史1/2次成功; 当前距低点2.44%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
14,58.20147389659538,57.81326498912706,000792,盐湖股份,bottom_area,2023-07-04,19.36,2023-05-30,18.5,4.648648648648646,7.5675675675675595,29.49695121951219,True,0.5714,0.3178,1,2,1,50.0,24.904214559386965,24.904214559386965,5.351351351351355,4.648648648648646,历史1/2次成功; 当前距低点4.65%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
