rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.40778462855117,80.52482699789861,002825,纳尔股份,bottom_area,2023-07-10,8.77,2023-07-07,8.66,1.2702078521939888,2.3094688221708926,32.55451713395638,False,0.3432,1.0434,1,1,1,100.0,23.123123123123136,23.123123123123136,18.729792147806013,1.2702078521939888,历史1/1次成功; 当前距低点1.27%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
2,87.18,72.65,002535,林州重机,bottom_area,2023-07-10,4.28,2023-07-10,4.28,0.0,4.672897196261686,30.179445350734092,False,-8.3512,20.895,1,1,1,100.0,54.03225806451613,54.03225806451613,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-8.35%; 状态bottom_area; 底部未确认
3,86.59126316500186,73.0567893011675,688236,春立医疗,bottom_area,2023-07-10,23.88,2023-06-28,23.72,0.674536256323778,7.082630691399662,32.228571428571435,True,-2.4908,1.8657,1,1,1,100.0,28.788881535407025,28.788881535407025,19.325463743676224,0.674536256323778,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-2.49%; 状态bottom_area; 底部已确认
4,85.54997657984329,75.66381608303423,002063,远光软件,bottom_area,2023-07-10,6.98,2023-07-07,6.76,3.2544378698224947,3.698224852071006,29.656607700312172,False,1.3062,1.1742,1,1,1,100.0,21.311475409836078,21.311475409836078,16.745562130177504,3.2544378698224947,历史1/1次成功; 当前距低点3.25%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
5,85.2751615172073,76.90108564932332,300661,圣邦股份,bottom_area,2023-07-10,85.0,2023-07-03,81.48,4.320078546882666,7.388316151202743,27.145922746781114,True,4.0901,0.8857,1,1,1,100.0,31.832606108687024,31.832606108687024,15.679921453117334,4.320078546882666,历史1/1次成功; 当前距低点4.32%; 最新日涨幅4.09%; 状态bottom_area; 底部已确认
6,75.23866541875562,64.86017257227343,605266,健之佳,bottom_area,2023-07-10,59.97,2023-07-10,58.88,1.85122282608695,4.330842391304343,32.50028659864726,False,-2.1697,1.624,2,4,2,50.0,26.833121590062774,33.154615273148806,18.14877717391305,1.85122282608695,历史2/4次成功; 当前距低点1.85%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
7,75.12980104928772,64.07502556652953,603222,济民健康,bottom_area,2023-07-10,9.61,2023-07-10,9.49,1.264488935721804,4.636459430979974,27.112135176651304,False,-3.3199,3.1956,3,7,3,42.857142857142854,41.11092348681001,68.46504559270518,18.735511064278196,1.264488935721804,历史3/7次成功; 当前距低点1.26%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
8,74.74637063266536,63.57381630033954,688156,路德科技,bottom_area,2023-07-10,26.3,2023-07-03,26.01,1.1149557862360597,9.765474817377928,27.72992497916088,False,-1.2021,1.0489,1,2,1,50.0,44.22535211267606,44.22535211267606,18.88504421376394,1.1149557862360597,历史1/2次成功; 当前距低点1.11%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
9,66.94692046572436,59.78515688101895,000792,盐湖股份,bottom_area,2023-07-10,19.2,2023-05-30,18.5,3.7837837837837798,7.5675675675675595,29.49695121951219,True,1.2124,0.3357,1,2,1,50.0,24.904214559386965,24.904214559386965,16.21621621621622,3.7837837837837798,历史1/2次成功; 当前距低点3.78%; 最新日涨幅1.21%; 状态bottom_area; 底部已确认
10,65.89455846863068,58.81105702451025,002545,东方铁塔,bottom_area,2023-07-10,7.19,2023-06-26,6.93,3.7518037518037617,4.32900432900434,27.58620689655173,False,0.1393,0.3125,1,2,1,50.0,28.468653648509758,28.468653648509758,16.24819624819624,3.7518037518037617,历史1/2次成功; 当前距低点3.75%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
11,64.07668070746756,55.228675799086744,688258,卓易信息,bottom_area,2023-07-10,61.92,2023-07-07,60.8,1.8421052631579022,7.828947368421062,29.654055304871,False,-0.7374,2.0417,1,3,1,33.33333333333333,27.716894977168955,27.716894977168955,18.1578947368421,1.8421052631579022,历史1/3次成功; 当前距低点1.84%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
12,62.41006878368709,56.36718910780628,002395,双象股份,bottom_area,2023-07-10,11.38,2023-06-26,10.9,4.403669724770646,8.34862385321101,29.677419354838708,True,-0.0878,1.4768,1,2,1,50.0,36.59976387249114,36.59976387249114,15.596330275229356,4.403669724770646,历史1/2次成功; 当前距低点4.40%; 最新日涨幅-0.09%; 状态bottom_area; 底部已确认
