rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.50857151334053,81.49476635514019,002535,林州重机,bottom_area,2023-07-11,4.41,2023-07-10,4.28,3.037383177570091,5.140186915887844,30.179445350734092,False,3.0374,14.966,1,1,1,100.0,54.03225806451613,54.03225806451613,16.96261682242991,3.037383177570091,历史1/1次成功; 当前距低点3.04%; 最新日涨幅3.04%; 状态bottom_area; 底部未确认
2,89.90507220822712,78.15531198635128,002825,纳尔股份,bottom_area,2023-07-11,8.86,2023-07-07,8.66,2.3094688221708926,2.3094688221708926,32.55451713395638,False,1.0262,0.9546,1,1,1,100.0,23.123123123123136,23.123123123123136,17.690531177829108,2.3094688221708926,历史1/1次成功; 当前距低点2.31%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
3,89.09052698410639,78.78338289307307,688236,春立医疗,bottom_area,2023-07-11,24.49,2023-06-28,23.72,3.2462057335581775,7.082630691399662,32.228571428571435,True,2.5544,1.7335,1,1,1,100.0,28.788881535407025,28.788881535407025,16.753794266441822,3.2462057335581775,历史1/1次成功; 当前距低点3.25%; 最新日涨幅2.55%; 状态bottom_area; 底部已确认
4,85.54997657984329,75.66381608303423,002063,远光软件,bottom_area,2023-07-11,6.98,2023-07-07,6.76,3.2544378698224947,4.14201183431953,29.656607700312172,False,0.0,0.9171,1,1,1,100.0,21.311475409836078,21.311475409836078,16.745562130177504,3.2544378698224947,历史1/1次成功; 当前距低点3.25%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,81.81917990693366,69.91477266874237,603222,济民健康,bottom_area,2023-07-11,9.62,2023-07-10,9.49,1.3698630136986196,4.636459430979974,27.112135176651304,False,0.1041,1.4449,3,7,3,42.857142857142854,41.11092348681001,68.46504559270518,18.63013698630138,1.3698630136986196,历史3/7次成功; 当前距低点1.37%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
6,78.4875741700768,66.68014539836038,605266,健之佳,bottom_area,2023-07-11,59.5,2023-07-10,58.88,1.0529891304347783,4.330842391304343,32.50028659864726,False,-0.7837,0.5634,2,4,2,50.0,26.833121590062774,33.154615273148806,18.947010869565222,1.0529891304347783,历史2/4次成功; 当前距低点1.05%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
7,74.28353998844666,64.73063071961407,688156,路德科技,bottom_area,2023-07-11,26.44,2023-07-11,25.81,2.4409143742735475,3.370786516853937,28.285634898582945,False,0.5323,1.2589,1,2,1,50.0,44.22535211267606,44.22535211267606,17.559085625726453,2.4409143742735475,历史1/2次成功; 当前距低点2.44%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
8,68.4541053000073,59.95690197390431,603178,圣龙股份,bottom_area,2023-07-11,12.08,2023-07-11,11.76,2.721088435374152,3.7414965986394515,28.11735941320293,False,1.6835,6.4675,1,2,1,50.0,21.994535519125673,21.994535519125673,17.278911564625847,2.721088435374152,历史1/2次成功; 当前距低点2.72%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
9,68.15790181029176,58.958675799086755,688258,卓易信息,bottom_area,2023-07-11,62.04,2023-07-07,60.8,2.0394736842105297,7.828947368421062,29.654055304871,False,0.1938,1.6097,1,3,1,33.33333333333333,27.716894977168955,27.716894977168955,17.960526315789473,2.0394736842105297,历史1/3次成功; 当前距低点2.04%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
10,66.53213097659625,58.2681399710822,688195,腾景科技,bottom_area,2023-07-11,41.6,2023-07-11,40.5,2.716049382716053,5.753086419753082,29.626411815812332,False,-4.2798,10.9371,3,7,3,42.857142857142854,27.684430065839933,38.77410468319559,17.28395061728395,2.716049382716053,历史3/7次成功; 当前距低点2.72%; 最新日涨幅-4.28%; 状态bottom_area; 底部未确认
11,63.67024209204792,56.46785958372167,000792,盐湖股份,bottom_area,2023-07-11,19.13,2023-05-30,18.5,3.4054054054054,7.5675675675675595,29.49695121951219,True,-0.3646,0.3208,1,2,1,50.0,24.904214559386965,24.904214559386965,16.594594594594604,3.4054054054054,历史1/2次成功; 当前距低点3.41%; 最新日涨幅-0.36%; 状态bottom_area; 底部已确认
12,62.685365555816865,56.837031050484285,002545,东方铁塔,bottom_area,2023-07-11,7.25,2023-06-26,6.93,4.617604617604622,4.761904761904763,27.58620689655173,False,0.8345,0.493,1,2,1,50.0,28.468653648509758,28.468653648509758,15.38239538239538,4.617604617604622,历史1/2次成功; 当前距低点4.62%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
