rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.2839221125258,81.58636837237869,603033,三维股份,bottom_area,2023-07-17,15.77,2023-07-17,15.6,1.0897435897435894,5.25641025641027,27.677329624478446,False,-1.9279,0.2543,3,3,3,100.0,15.757977188140112,24.922480620155024,6.910256410256411,1.0897435897435894,历史3/3次成功; 当前距低点1.09%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
2,82.86419797736022,78.73910504071395,002403,爱仕达,bottom_area,2023-07-17,9.04,2023-07-17,8.92,1.345291479820619,3.9237668161434938,28.52564102564103,False,-4.7418,6.1472,3,3,3,100.0,13.797686100564366,21.63892445582587,6.654708520179381,1.345291479820619,历史3/3次成功; 当前距低点1.35%; 最新日涨幅-4.74%; 状态bottom_area; 底部未确认
3,81.21724521109546,77.87151105496177,688236,春立医疗,bottom_area,2023-07-17,24.15,2023-06-28,23.72,1.8128161888701504,7.082630691399662,32.228571428571435,True,-0.9434,0.7462,1,1,1,100.0,28.788881535407025,28.788881535407025,6.18718381112985,1.8128161888701504,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-0.94%; 状态bottom_area; 底部已确认
4,80.51884637832471,76.94158696929384,002755,奥赛康,bottom_area,2023-07-17,8.07,2023-07-17,7.94,1.6372795969773284,2.0151133501259353,28.853046594982075,False,-0.1238,0.4223,1,1,1,100.0,30.831099195710454,30.831099195710454,6.362720403022672,1.6372795969773284,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
5,79.97352866334488,76.06320055246883,002825,纳尔股份,bottom_area,2023-07-17,8.73,2023-07-17,8.61,1.3937282229965273,1.9744483159117299,32.94392523364487,False,-0.5695,1.1765,1,1,1,100.0,23.123123123123136,23.123123123123136,6.606271777003473,1.3937282229965273,历史1/1次成功; 当前距低点1.39%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
6,79.5892953537499,78.93017075454702,000792,盐湖股份,bottom_area,2023-07-17,19.16,2023-05-30,18.5,3.5675675675675684,7.5675675675675595,29.49695121951219,True,0.0522,0.2091,2,2,2,100.0,16.850671013984325,24.904214559386965,4.432432432432432,3.5675675675675684,历史2/2次成功; 当前距低点3.57%; 最新日涨幅0.05%; 状态bottom_area; 底部已确认
7,75.10953584121317,72.71770606675273,601669,中国电建,bottom_area,2023-07-17,5.74,2023-06-07,5.61,2.317290552584668,5.882352941176471,29.78723404255319,False,-0.1739,0.4321,1,1,1,100.0,16.457680250783696,16.457680250783696,5.682709447415332,2.317290552584668,历史1/1次成功; 当前距低点2.32%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
8,74.7763829327034,73.37139870223506,600935,华塑股份,bottom_area,2023-07-17,3.76,2023-06-27,3.65,3.013698630136983,6.575342465753431,28.571428571428577,False,-1.0526,0.3339,1,1,1,100.0,28.50877192982458,28.50877192982458,4.986301369863018,3.013698630136983,历史1/1次成功; 当前距低点3.01%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
9,74.17529481838946,69.18278258808948,688085,三友医疗,bottom_area,2023-07-17,23.89,2023-07-17,23.8,0.37815126050420106,3.3193277310924336,32.46311010215664,False,-2.2104,0.538,1,1,1,100.0,13.52133044107013,13.52133044107013,7.621848739495799,0.37815126050420106,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
10,73.5731259407867,71.31011328493764,002507,涪陵榨菜,bottom_area,2023-07-17,18.1,2023-06-26,17.68,2.3755656108597383,4.8076923076923155,28.967456809963842,False,-0.8762,0.4502,1,1,1,100.0,9.604316546762583,9.604316546762583,5.624434389140262,2.3755656108597383,历史1/1次成功; 当前距低点2.38%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
11,73.03346600386793,73.5618592738863,688318,财富趋势,bottom_area,2023-07-17,94.0,2023-07-12,90.06,4.374861203642014,6.995336442371748,27.17127607957302,False,-0.4132,0.7196,3,3,3,100.0,12.884638807473594,22.012826837691176,3.6251387963579864,4.374861203642014,历史3/3次成功; 当前距低点4.37%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
12,71.37678644611609,71.7429183656239,605178,时空科技,bottom_area,2023-07-17,22.73,2023-06-26,21.8,4.266055045871559,7.4311926605504635,29.4041450777202,True,-0.4816,2.447,2,2,2,100.0,9.244751990382023,9.557235421166304,3.7339449541284417,4.266055045871559,历史2/2次成功; 当前距低点4.27%; 最新日涨幅-0.48%; 状态bottom_area; 底部已确认
13,69.74166960006895,70.73758026965487,601360,三六零,bottom_area,2023-07-17,12.16,2023-07-12,11.61,4.73729543496986,6.287683031869082,28.15594059405941,False,0.4959,1.729,1,1,1,100.0,13.003300330033007,13.003300330033007,3.2627045650301403,4.73729543496986,历史1/1次成功; 当前距低点4.74%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
14,68.76104571981524,68.91115651457204,002626,金达威,bottom_area,2023-07-17,18.73,2023-06-26,17.99,4.113396331295176,7.281823235130641,27.165991902834012,True,-0.5839,0.313,1,1,1,100.0,8.815592203898044,8.815592203898044,3.8866036687048244,4.113396331295176,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-0.58%; 状态bottom_area; 底部已确认
15,68.43324282884298,68.75680426065782,002481,双塔食品,confirmed_rebound,2023-07-17,4.42,2023-06-26,4.24,4.245283018867918,8.490566037735835,31.61290322580645,True,-0.4505,0.5152,1,1,1,100.0,19.817470664928287,19.817470664928287,3.754716981132083,4.245283018867918,历史1/1次成功; 当前距低点4.25%; 最新日涨幅-0.45%; 状态confirmed_rebound; 底部已确认
16,67.7575953987086,67.89745061259502,600990,四创电子,bottom_area,2023-07-17,24.08,2023-07-10,23.13,4.1072200605274505,6.917423259835717,27.921470863197268,False,-0.4959,0.8015,1,1,1,100.0,12.483399734395755,12.483399734395755,3.8927799394725495,4.1072200605274505,历史1/1次成功; 当前距低点4.11%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
17,65.59433839350146,66.6201891252955,002153,石基信息,bottom_area,2023-07-17,13.3,2023-07-13,12.69,4.806934594168647,6.698187549251376,28.30508474576271,False,-0.7463,0.5418,1,1,1,100.0,14.193548387096769,14.193548387096769,3.1930654058313537,4.806934594168647,历史1/1次成功; 当前距低点4.81%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
