rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.81801938321185,84.75283520132012,002045,国光电器,bottom_area,2023-07-28,13.57,2023-07-28,13.31,1.9534184823441005,2.404207362885051,27.937195452084456,False,-0.2939,2.6743,4,4,4,100.0,26.70230828529398,33.77563329312426,8.0465815176559,1.9534184823441005,历史4/4次成功; 当前距低点1.95%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
2,83.71309820264717,81.23161036638933,300342,天银机电,bottom_area,2023-07-28,11.49,2023-07-28,11.11,3.4203420342034274,3.600360036003604,28.368794326241137,False,1.0554,5.7466,3,3,3,100.0,19.9461838944793,26.68539325842696,6.5796579657965735,3.4203420342034274,历史3/3次成功; 当前距低点3.42%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
3,83.69589425315311,78.99598477331634,300515,三德科技,bottom_area,2023-07-28,13.48,2023-07-28,13.22,1.9667170953101345,2.7231467473524917,27.162534435261698,False,0.6721,1.7683,1,1,1,100.0,23.441396508728182,23.441396508728182,8.033282904689866,1.9667170953101345,历史1/1次成功; 当前距低点1.97%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
4,83.23288755050935,77.4073834362359,301386,未来电器,bottom_area,2023-07-28,27.16,2023-07-28,26.84,1.1922503725782425,2.2727272727272707,28.13922356091031,False,-0.8035,11.0888,1,1,1,100.0,27.880184331797242,27.880184331797242,8.807749627421758,1.1922503725782425,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
5,83.14769727594681,77.21825880708062,688143,长盈通,bottom_area,2023-07-28,30.76,2023-07-28,30.42,1.1176857330703478,3.6489151873767236,27.20746590093323,False,-0.2594,1.7011,1,1,1,100.0,25.949367088607595,25.949367088607595,8.882314266929653,1.1176857330703478,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
6,81.83100482586433,77.1267715055272,600990,四创电子,bottom_area,2023-07-28,23.15,2023-07-24,22.72,1.8926056338028157,3.2570422535211354,29.199127454035533,False,0.6522,0.506,1,1,1,100.0,12.483399734395755,12.483399734395755,8.107394366197184,1.8926056338028157,历史1/1次成功; 当前距低点1.89%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
7,80.61342596383835,76.39439571884309,605118,力鼎光电,bottom_area,2023-07-28,14.54,2023-07-28,14.23,2.178496134926203,2.248770203794802,30.210887690044142,False,0.5533,7.1833,1,1,1,100.0,12.050359712230225,12.050359712230225,7.821503865073797,2.178496134926203,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
8,79.7572293007556,76.05431340812474,688287,退市观典,bottom_area,2023-07-28,11.05,2023-07-28,10.78,2.504638218923946,2.7829313543599326,27.941176470588243,False,0.546,0.854,1,1,1,100.0,14.219830899308223,14.219830899308223,7.495361781076054,2.504638218923946,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
9,79.75150746303477,75.96306800985774,601360,三六零,bottom_area,2023-07-28,11.73,2023-07-24,11.45,2.445414847161582,5.065502183406115,29.1460396039604,False,1.3829,1.444,1,1,1,100.0,13.003300330033007,13.003300330033007,7.554585152838418,2.445414847161582,历史1/1次成功; 当前距低点2.45%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
10,77.26009210349979,72.2289534421011,688035,德邦科技,bottom_area,2023-07-28,53.98,2023-07-28,53.2,1.4661654135338233,8.06390977443609,29.076123183575525,False,-5.7941,12.9488,1,1,1,100.0,13.611884865366756,13.611884865366756,8.533834586466178,1.4661654135338233,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-5.79%; 状态bottom_area; 底部未确认
11,77.06525874293817,76.01998396344085,600995,南网储能,bottom_area,2023-07-28,11.2,2023-06-07,10.74,4.283054003724386,8.379888268156428,32.7909887359199,True,0.9919,0.9809,1,1,1,100.0,26.64165103189493,26.64165103189493,5.716945996275615,4.283054003724386,历史1/1次成功; 当前距低点4.28%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
