rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.55384851101006,80.58925171081293,002829,星网宇达,bottom_area,2023-07-31,31.06,2023-07-28,30.6,1.5032679738562003,2.7450980392156854,31.6506589233862,False,-0.3849,2.2941,3,3,3,100.0,15.4661435011025,21.628131021194598,6.496732026143801,1.5032679738562003,历史3/3次成功; 当前距低点1.50%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
2,84.15602442470586,81.19234931657239,000037,深南电A,bottom_area,2023-07-31,10.52,2023-07-31,10.3,2.135922330097076,2.815533980582516,30.311231393775362,False,0.286,3.924,5,6,5,83.33333333333334,23.435047827206347,45.16765285996055,5.864077669902924,2.135922330097076,历史5/6次成功; 当前距低点2.14%; 最新日涨幅0.29%; 状态bottom_area; 底部未确认
3,83.19370621837695,81.37982978117346,002403,爱仕达,bottom_area,2023-07-31,8.65,2023-07-28,8.41,2.8537455410225947,3.091557669441139,32.61217948717949,False,0.4646,1.8734,3,3,3,100.0,13.797686100564366,21.63892445582587,5.146254458977405,2.8537455410225947,历史3/3次成功; 当前距低点2.85%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
4,82.52486090825055,81.1692192134492,688027,国盾量子,bottom_area,2023-07-31,140.97,2023-07-28,136.68,3.138718173836693,3.7167105648229324,27.096223597183695,False,0.9452,0.8277,3,3,3,100.0,16.15858413869275,26.382393397524062,4.8612818261633075,3.138718173836693,历史3/3次成功; 当前距低点3.14%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
5,82.14848725862068,77.6622269533745,301386,未来电器,bottom_area,2023-07-31,27.13,2023-07-28,26.84,1.080476900149028,2.2727272727272707,28.13922356091031,False,-0.1105,10.4491,1,1,1,100.0,27.880184331797242,27.880184331797242,6.919523099850972,1.080476900149028,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
6,81.86444487480586,77.77407012266933,688095,福昕软件,bottom_area,2023-07-31,99.42,2023-07-31,98.11,1.3352359596371444,5.279787993069012,27.325925925925926,False,-4.2565,6.2943,2,2,2,100.0,25.152731777645194,31.679509356817103,6.664764040362855,1.3352359596371444,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-4.26%; 状态bottom_area; 底部未确认
7,81.22281510492913,75.77267206868237,603033,三维股份,bottom_area,2023-07-31,15.46,2023-07-31,15.4,0.3896103896103928,3.1168831168831197,28.60454334724154,False,-1.1509,0.218,3,3,3,100.0,15.757977188140112,24.922480620155024,7.610389610389608,0.3896103896103928,历史3/3次成功; 当前距低点0.39%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
8,81.15193659078848,82.42344376630888,002045,国光电器,bottom_area,2023-07-31,13.95,2023-07-28,13.31,4.808414725770088,6.386175807663408,27.937195452084456,False,2.8003,3.6341,4,4,4,100.0,26.70230828529398,33.77563329312426,3.191585274229912,4.808414725770088,历史4/4次成功; 当前距低点4.81%; 最新日涨幅2.80%; 状态bottom_area; 底部未确认
9,80.26742712488924,76.43921909440141,688143,长盈通,bottom_area,2023-07-31,30.59,2023-07-31,30.15,1.4593698175787773,3.2504145936981774,27.85355348169419,False,-0.5527,2.0369,1,1,1,100.0,25.949367088607595,25.949367088607595,6.540630182421222,1.4593698175787773,历史1/1次成功; 当前距低点1.46%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
10,80.12067048578827,79.8360696818299,688322,奥比中光,bottom_area,2023-07-31,34.56,2023-07-28,33.29,3.8149594472814754,5.407029137879256,27.6304347826087,False,2.0975,1.6714,3,3,3,100.0,17.28052269694434,28.749462827675128,4.185040552718525,3.8149594472814754,历史3/3次成功; 当前距低点3.81%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
11,79.5675818250402,75.85078053731029,300515,三德科技,bottom_area,2023-07-31,13.42,2023-07-28,13.22,1.5128593040847147,2.7987897125567263,27.162534435261698,False,-0.4451,1.2686,1,1,1,100.0,23.441396508728182,23.441396508728182,6.487140695915286,1.5128593040847147,历史1/1次成功; 当前距低点1.51%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
12,79.11811337638426,76.39439571884309,605118,力鼎光电,bottom_area,2023-07-31,14.54,2023-07-28,14.23,2.178496134926203,3.5839775122979605,30.210887690044142,False,0.0,0.7314,1,1,1,100.0,12.050359712230225,12.050359712230225,5.821503865073797,2.178496134926203,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,78.25820862678647,77.25683088844153,300342,天银机电,bottom_area,2023-07-31,11.48,2023-07-28,11.11,3.330333033303339,4.230423042304237,28.368794326241137,False,-0.087,4.5173,3,3,3,100.0,19.9461838944793,26.68539325842696,4.669666966696661,3.330333033303339,历史3/3次成功; 当前距低点3.33%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
14,76.85216994743624,75.20830227639934,688287,退市观典,bottom_area,2023-07-31,11.09,2023-07-28,10.78,2.8756957328385946,3.617810760667909,27.941176470588243,False,0.362,0.6173,1,1,1,100.0,14.219830899308223,14.219830899308223,5.124304267161406,2.8756957328385946,历史1/1次成功; 当前距低点2.88%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
15,76.84139183753577,72.4180837542195,688320,禾川科技,bottom_area,2023-07-31,35.18,2023-07-31,34.86,0.9179575444635694,4.67584624211131,31.3374039787276,False,-1.4842,4.1663,2,2,2,100.0,20.865736320411,33.54902936784469,7.08204245553643,0.9179575444635694,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
16,75.9105644193344,74.51761657594972,600990,四创电子,bottom_area,2023-07-31,23.41,2023-07-24,22.72,3.0369718309859213,3.3890845070422517,29.199127454035533,False,1.1231,0.6929,1,1,1,100.0,12.483399734395755,12.483399734395755,4.963028169014079,3.0369718309859213,历史1/1次成功; 当前距低点3.04%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
17,75.18700763992634,73.62013931975902,600081,东风科技,bottom_area,2023-07-31,11.69,2023-07-28,11.36,2.9049295774647894,4.5774647887324065,31.27646702964308,False,-0.8482,2.551,2,2,2,100.0,11.84612234612234,13.923013923013915,5.095070422535211,2.9049295774647894,历史2/2次成功; 当前距低点2.90%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
