rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.72996905663973,80.12991819717242,300342,天银机电,bottom_area,2023-08-02,11.34,2023-07-28,11.11,2.070207020702074,4.230423042304237,28.368794326241137,False,-0.3515,2.418,3,3,3,100.0,19.9461838944793,26.68539325842696,7.929792979297927,2.070207020702074,历史3/3次成功; 当前距低点2.07%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
2,82.72477678652982,82.42344376630888,002045,国光电器,bottom_area,2023-08-02,13.95,2023-07-28,13.31,4.808414725770088,6.386175807663408,27.937195452084456,False,1.2337,1.9046,4,4,4,100.0,26.70230828529398,33.77563329312426,5.1915852742299125,4.808414725770088,历史4/4次成功; 当前距低点4.81%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
3,81.5891757909601,77.78872304865672,300515,三德科技,bottom_area,2023-08-02,13.55,2023-07-28,13.22,2.4962178517397886,3.706505295007566,27.162534435261698,False,2.2642,1.37,1,1,1,100.0,23.441396508728182,23.441396508728182,7.503782148260211,2.4962178517397886,历史1/1次成功; 当前距低点2.50%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
4,81.18400669744311,75.25619773947186,688287,退市观典,bottom_area,2023-08-02,10.88,2023-08-01,10.77,1.0213556174559073,3.899721448467966,28.00802139037434,False,-0.0918,0.4965,1,1,1,100.0,14.219830899308223,14.219830899308223,8.978644382544093,1.0213556174559073,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
5,80.96313828446127,78.69130475327997,688300,联瑞新材,bottom_area,2023-08-02,43.99,2023-08-02,42.5,3.505882352941181,4.564705882352936,27.350427350427353,False,2.0413,0.9046,2,2,2,100.0,24.003852247235756,26.809910956252438,6.49411764705882,3.505882352941181,历史2/2次成功; 当前距低点3.51%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
6,79.57346062767458,76.31790904638751,688095,福昕软件,bottom_area,2023-08-02,98.88,2023-08-02,96.18,2.8072364316905682,3.4206695778748095,28.75555555555555,False,-1.1595,2.8843,2,2,2,100.0,25.152731777645194,31.679509356817103,7.192763568309432,2.8072364316905682,历史2/2次成功; 当前距低点2.81%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
7,77.91126187159179,75.66850965250967,002219,新里程,bottom_area,2023-08-02,3.88,2023-07-28,3.75,3.4666666666666637,6.400000000000006,27.884615384615387,False,0.2584,0.514,1,1,1,100.0,23.938223938223942,23.938223938223942,6.533333333333337,3.4666666666666637,历史1/1次成功; 当前距低点3.47%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
8,77.58299456964534,74.35720409775732,002755,奥赛康,bottom_area,2023-08-02,8.16,2023-07-17,7.94,2.770780856423171,6.171284634760696,28.853046594982075,False,-0.8505,0.2516,1,1,1,100.0,30.831099195710454,30.831099195710454,7.22921914357683,2.770780856423171,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
9,76.03221251046209,72.14395460411873,600990,四创电子,bottom_area,2023-08-02,23.23,2023-07-24,22.72,2.244718309859162,3.3890845070422517,29.199127454035533,False,-0.1719,0.4113,1,1,1,100.0,12.483399734395755,12.483399734395755,7.755281690140839,2.244718309859162,历史1/1次成功; 当前距低点2.24%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
10,73.90104334871484,68.46210110310085,300633,开立医疗,bottom_area,2023-08-02,43.93,2023-08-02,43.5,0.9885057471264361,4.597701149425287,30.53337591823698,False,-2.8957,2.454,1,1,1,100.0,17.12846347607052,17.12846347607052,9.011494252873565,0.9885057471264361,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
11,73.86540041998275,72.47685547182073,600995,南网储能,bottom_area,2023-08-02,11.17,2023-06-07,10.74,4.003724394785844,8.379888268156428,32.7909887359199,True,-1.4122,0.6691,1,1,1,100.0,26.64165103189493,26.64165103189493,5.996275605214157,4.003724394785844,历史1/1次成功; 当前距低点4.00%; 最新日涨幅-1.41%; 状态bottom_area; 底部已确认
