rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.03559442775875,80.16937677460953,002403,爱仕达,bottom_area,2023-08-15,8.51,2023-08-14,8.38,1.5513126491646658,3.9379474940334136,32.852564102564095,False,-1.3905,0.9233,3,3,3,100.0,13.797686100564366,21.63892445582587,6.448687350835335,1.5513126491646658,历史3/3次成功; 当前距低点1.55%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
2,83.83257446864172,79.2745917585665,688262,国芯科技,bottom_area,2023-08-15,32.35,2023-08-15,32.0,1.0937500000000044,3.8124999999999964,30.885529157667378,False,-2.3544,1.1218,2,2,2,100.0,20.044848164336123,27.063197026022312,6.906249999999996,1.0937500000000044,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
3,83.68567654966834,79.48666597646958,688300,联瑞新材,bottom_area,2023-08-15,42.1,2023-08-14,41.55,1.3237063778580127,3.7304452466907447,28.974358974358978,False,-2.0475,0.316,2,2,2,100.0,24.003852247235756,26.809910956252438,6.676293622141988,1.3237063778580127,历史2/2次成功; 当前距低点1.32%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
4,82.6730637874391,79.37760370579076,600072,中船科技,bottom_area,2023-08-15,22.16,2023-08-14,21.75,1.8850574712643686,4.137931034482753,29.153094462540714,False,-1.2918,2.4512,3,3,3,100.0,13.631907205771569,14.0952380952381,6.114942528735631,1.8850574712643686,历史3/3次成功; 当前距低点1.89%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
5,82.12532407375016,76.55734056308037,688248,南网科技,bottom_area,2023-08-15,31.47,2023-08-15,31.36,0.35076530612244716,4.113520408163263,27.035830618892504,False,-3.4663,3.2421,3,3,3,100.0,29.715513231395445,49.406593406593416,7.6492346938775535,0.35076530612244716,历史3/3次成功; 当前距低点0.35%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
6,81.83034838323515,78.20468637346791,600935,华塑股份,bottom_area,2023-08-15,3.71,2023-06-27,3.65,1.6438356164383578,7.671232876712336,28.571428571428577,True,-0.5362,0.2331,1,1,1,100.0,28.50877192982458,28.50877192982458,6.356164383561643,1.6438356164383578,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-0.54%; 状态bottom_area; 底部已确认
7,81.59560598913514,76.93165099407517,300604,长川科技,bottom_area,2023-08-15,36.5,2023-08-15,36.16,0.9402654867256731,5.28207964601771,27.199516810952296,False,-3.388,2.1489,4,4,4,100.0,22.28739948284786,36.28082648300379,7.059734513274327,0.9402654867256731,历史4/4次成功; 当前距低点0.94%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
8,81.35681995064155,76.87440942649202,603015,弘讯科技,bottom_area,2023-08-15,8.63,2023-08-15,8.54,1.0538641686182861,3.0444964871194564,28.714524207011692,False,-1.1455,0.8376,1,1,1,100.0,23.318385650224208,23.318385650224208,6.946135831381714,1.0538641686182861,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
9,81.3428839462857,77.2506003832489,300763,锦浪科技,bottom_area,2023-08-15,83.89,2023-08-15,82.8,1.3164251207729512,5.072463768115946,29.13992297817715,False,-3.6633,3.0422,2,2,2,100.0,22.10779386350115,35.693617021276594,6.683574879227049,1.3164251207729512,历史2/2次成功; 当前距低点1.32%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
10,81.25985066835122,76.45551717957527,002386,天原股份,bottom_area,2023-08-15,6.06,2023-08-15,6.01,0.831946755407651,1.4975041597337746,27.503015681544024,False,-0.6557,0.593,3,3,3,100.0,24.851375171530723,48.85290148448042,7.1680532445923495,0.831946755407651,历史3/3次成功; 当前距低点0.83%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
11,80.59874362822067,75.41678184703498,603033,三维股份,bottom_area,2023-08-15,14.74,2023-08-15,14.66,0.5457025920873129,2.2510231923601642,32.035234121465,False,-1.3387,0.141,3,3,3,100.0,15.757977188140112,24.922480620155024,7.454297407912687,0.5457025920873129,历史3/3次成功; 当前距低点0.55%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
12,80.38134974494253,75.61670332756943,002240,盛新锂能,bottom_area,2023-08-15,25.71,2023-08-15,25.5,0.8235294117647093,3.647058823529411,27.762039660056654,False,-2.1317,1.0333,3,3,3,100.0,20.23844293759655,33.42198581560282,7.176470588235291,0.8235294117647093,历史3/3次成功; 当前距低点0.82%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
13,80.06518024650836,76.59556044351054,688115,思林杰,confirmed_rebound,2023-08-15,29.37,2023-08-15,28.88,1.6966759002770153,10.734072022160671,27.345911949685537,False,-8.2188,5.2856,3,3,3,100.0,16.79559944162432,23.658728081654015,6.3033240997229845,1.6966759002770153,历史3/3次成功; 当前距低点1.70%; 最新日涨幅-8.22%; 状态confirmed_rebound; 底部未确认
14,79.92424300144297,75.87744588744587,002519,银河电子,bottom_area,2023-08-15,5.46,2023-08-14,5.39,1.298701298701304,3.153988868274581,27.35849056603774,False,-1.087,0.945,1,1,1,100.0,20.959595959595962,20.959595959595962,6.701298701298697,1.298701298701304,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
15,79.71460365199711,75.59929880529967,002507,涪陵榨菜,bottom_area,2023-08-15,17.9,2023-06-26,17.68,1.2443438914027085,7.861990950226248,28.967456809963842,True,-0.7761,0.4777,1,1,1,100.0,9.604316546762583,9.604316546762583,6.755656108597291,1.2443438914027085,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-0.78%; 状态bottom_area; 底部已确认
16,79.30339814718494,74.90505841801334,600990,四创电子,bottom_area,2023-08-15,22.48,2023-08-15,22.25,1.0337078651685412,2.4719101123595535,30.66375818011842,False,-0.9692,0.4219,1,1,1,100.0,12.483399734395755,12.483399734395755,6.966292134831459,1.0337078651685412,历史1/1次成功; 当前距低点1.03%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
17,79.0197209659335,74.6059630516446,300565,科信技术,bottom_area,2023-08-15,15.97,2023-08-15,15.81,1.0120177103099313,3.478810879190379,30.536028119507915,False,-1.6626,2.2743,1,1,1,100.0,10.60948081264109,10.60948081264109,6.987982289690069,1.0120177103099313,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
18,78.9401339264752,73.99673619872699,688328,深科达,bottom_area,2023-08-15,22.07,2023-08-15,21.93,0.6383948928408598,3.6935704514363827,30.31458531935176,False,-2.5607,3.8327,2,2,2,100.0,25.92621803443088,29.170984455958543,7.36160510715914,0.6383948928408598,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
19,77.76276051473761,72.60753572829361,300473,德尔股份,bottom_area,2023-08-15,16.18,2023-08-14,16.11,0.43451272501552013,2.4829298572315466,28.24053452115813,False,-1.0398,1.4306,2,2,2,100.0,15.958197534026922,21.37137137137137,7.56548727498448,0.43451272501552013,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
