rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.19704014103105,80.03540243856347,688300,联瑞新材,bottom_area,2023-08-18,42.0,2023-08-14,41.55,1.0830324909747362,3.9470517448856817,28.974358974358978,False,-0.3559,0.4407,2,2,2,100.0,24.003852247235756,26.809910956252438,13.916967509025262,1.0830324909747362,历史2/2次成功; 当前距低点1.08%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
2,88.36343347493128,78.82934390771447,600935,华塑股份,bottom_area,2023-08-18,3.7,2023-06-27,3.65,1.3698630136986376,7.671232876712336,28.571428571428577,True,-0.5376,0.3201,1,1,1,100.0,28.50877192982458,28.50877192982458,13.63013698630136,1.3698630136986376,历史1/1次成功; 当前距低点1.37%; 最新日涨幅-0.54%; 状态bottom_area; 底部已确认
3,86.80789084236098,76.00030567685592,002150,正泰电源,bottom_area,2023-08-18,13.79,2023-08-18,13.74,0.3639010189228452,3.7845705967976677,28.4375,False,-2.6817,1.5474,1,1,1,100.0,164.87025948103792,164.87025948103792,14.636098981077152,0.3639010189228452,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
4,86.66085906934657,76.90749602853145,002219,新里程,bottom_area,2023-08-18,3.71,2023-08-07,3.67,1.0899182561307912,6.267029972752043,29.42307692307693,False,-2.3684,0.424,1,1,1,100.0,23.938223938223942,23.938223938223942,13.910081743869206,1.0899182561307912,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
5,86.1451259315412,77.12133769715538,002755,奥赛康,bottom_area,2023-08-18,7.82,2023-08-08,7.7,1.5584415584415598,6.363636363636354,31.00358422939068,False,-2.7363,0.3094,1,1,1,100.0,30.831099195710454,30.831099195710454,13.44155844155844,1.5584415584415598,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
6,85.89602485718606,76.27668709567584,002519,银河电子,bottom_area,2023-08-18,5.4,2023-08-17,5.34,1.123595505617987,4.494382022471914,28.03234501347709,False,-2.3508,1.195,1,1,1,100.0,20.959595959595962,20.959595959595962,13.876404494382014,1.123595505617987,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
7,85.55309631645314,76.16641997624114,300604,长川科技,bottom_area,2023-08-18,35.35,2023-08-17,34.91,1.2603838441707387,4.726439415640234,29.716126434467494,False,-1.9417,1.976,3,4,3,75.0,26.210188929840978,36.28082648300379,13.73961615582926,1.2603838441707387,历史3/4次成功; 当前距低点1.26%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
8,85.16405493590987,79.05702309818294,688328,深科达,bottom_area,2023-08-18,22.46,2023-08-17,21.7,3.5023041474654453,5.898617511520743,31.04544010168414,False,0.0445,3.8197,2,2,2,100.0,25.92621803443088,29.170984455958543,11.497695852534553,3.5023041474654453,历史2/2次成功; 当前距低点3.50%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
9,83.90571248840853,75.14729653830956,002819,东方中科,bottom_area,2023-08-18,25.71,2023-08-17,25.31,1.5804030027657137,5.175819834057694,27.68571428571429,False,-2.6874,0.6164,1,1,1,100.0,20.487179487179493,20.487179487179493,13.419596997234285,1.5804030027657137,历史1/1次成功; 当前距低点1.58%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
10,81.75515739513563,71.12519075192031,300438,鹏辉能源,bottom_area,2023-08-18,39.4,2023-08-18,39.39,0.025387154100020338,3.9096217314039077,27.391705069124423,False,-2.4511,1.9901,1,1,1,100.0,19.640179910044974,19.640179910044974,14.974612845899978,0.025387154100020338,历史1/1次成功; 当前距低点0.03%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
11,81.17425524664348,72.20911164231858,688248,南网科技,bottom_area,2023-08-18,30.78,2023-08-17,30.41,1.216705031239727,4.406445248273593,29.246161005118655,False,-2.0057,1.858,2,3,2,66.66666666666666,39.12114218751869,49.406593406593416,13.783294968760273,1.216705031239727,历史2/3次成功; 当前距低点1.22%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
12,80.83379904587558,70.40538609904729,300683,海特生物,bottom_area,2023-08-18,34.3,2023-08-18,34.27,0.08754012255615415,2.655383717537194,27.00745473908413,False,-2.2792,0.6904,1,1,1,100.0,16.532137518684582,16.532137518684582,14.912459877443846,0.08754012255615415,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
13,77.99291801496024,72.15227070058444,002045,国光电器,bottom_area,2023-08-18,13.7,2023-08-14,13.26,3.318250377073903,10.030165912518854,28.20790471034109,True,-4.3296,5.2077,3,4,3,75.0,30.875707313510432,33.77563329312426,11.681749622926096,3.318250377073903,历史3/4次成功; 当前距低点3.32%; 最新日涨幅-4.33%; 状态bottom_area; 底部已确认
14,72.94046753178894,64.42522619257174,002386,天原股份,bottom_area,2023-08-18,6.03,2023-08-17,5.98,0.8361204013377896,2.508361204013369,27.864897466827493,False,-0.1656,0.5402,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,14.16387959866221,0.8361204013377896,历史2/3次成功; 当前距低点0.84%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
15,71.46963213614022,65.36192075491036,688286,敏芯股份,bottom_area,2023-08-18,48.28,2023-08-16,47.01,2.701552861093391,7.679217187832375,28.338414634146336,False,-0.8624,0.8509,2,3,2,66.66666666666666,20.509648449121638,25.016501650165008,12.298447138906608,2.701552861093391,历史2/3次成功; 当前距低点2.70%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
16,70.76105450125844,61.80801762988975,688117,圣诺生物,bottom_area,2023-08-18,25.06,2023-08-18,25.0,0.2399999999999949,7.920000000000002,28.714000570287997,False,-6.8401,16.7321,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,14.760000000000003,0.2399999999999949,历史2/3次成功; 当前距低点0.24%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
17,69.720800759005,60.6267832687,002240,盛新锂能,bottom_area,2023-08-18,24.88,2023-08-18,24.88,0.0,3.657556270096464,29.518413597733705,False,-3.3035,0.993,2,3,2,66.66666666666666,24.247938720609284,33.42198581560282,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
18,68.52759465043466,59.77965425267524,603348,文灿股份,bottom_area,2023-08-18,41.08,2023-08-18,41.01,0.17069007559131988,5.2913923433309,30.112474437627817,False,-4.9074,1.8451,2,4,2,50.0,28.97219153238415,31.539888682745836,14.82930992440868,0.17069007559131988,历史2/4次成功; 当前距低点0.17%; 最新日涨幅-4.91%; 状态bottom_area; 底部未确认
19,65.35395286758818,59.52747570053576,300539,横河精密,bottom_area,2023-08-18,11.55,2023-08-17,11.27,2.484472049689451,4.8802129547471225,27.524115755627015,False,-1.1976,1.1471,1,2,1,50.0,39.25845147219192,39.25845147219192,12.515527950310549,2.484472049689451,历史1/2次成功; 当前距低点2.48%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
20,63.06486468085105,54.83901276595744,300763,锦浪科技,bottom_area,2023-08-18,81.09,2023-08-18,81.09,0.0,3.8352447897397948,30.603337612323482,False,-2.4423,1.6873,1,2,1,50.0,35.693617021276594,35.693617021276594,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
21,62.67976858418855,59.133099603514495,688355,明志科技,bottom_area,2023-08-18,22.45,2023-08-17,21.51,4.370060437006033,6.741050674105063,29.359605911330043,False,-1.1013,2.2156,2,4,2,50.0,26.91848064456046,35.08474576271185,10.629939562993968,4.370060437006033,历史2/4次成功; 当前距低点4.37%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
22,62.30445933710704,56.430832315250434,300455,航天智装,bottom_area,2023-08-18,10.77,2023-08-17,10.54,2.182163187855792,6.451612903225821,32.43589743589744,False,-2.0018,1.4677,1,2,1,50.0,18.904109589041095,18.904109589041095,12.817836812144206,2.182163187855792,历史1/2次成功; 当前距低点2.18%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
23,61.70188754330938,58.4168374984779,688262,国芯科技,bottom_area,2023-08-18,32.56,2023-08-17,31.14,4.560051380860635,7.4823378291586335,32.74298056155507,True,0.6803,1.8698,1,2,1,50.0,27.063197026022312,27.063197026022312,10.439948619139363,4.560051380860635,历史1/2次成功; 当前距低点4.56%; 最新日涨幅0.68%; 状态bottom_area; 底部已确认
24,60.792700573606595,56.94817830496738,300473,德尔股份,bottom_area,2023-08-18,16.42,2023-08-17,15.79,3.989867004433202,5.763141228625714,29.665924276169264,False,0.2442,1.7526,1,2,1,50.0,21.37137137137137,21.37137137137137,11.010132995566797,3.989867004433202,历史1/2次成功; 当前距低点3.99%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
