rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.90192961316923,82.09045803672372,000980,众泰汽车,confirmed_rebound,2023-08-21,3.89,2023-08-18,3.85,1.0389610389610398,8.571428571428562,27.35849056603773,False,-4.1872,5.0305,4,4,4,100.0,21.609081750295033,43.49775784753364,6.961038961038961,1.0389610389610398,历史4/4次成功; 当前距低点1.04%; 最新日涨幅-4.19%; 状态confirmed_rebound; 底部未确认
2,86.85731954357844,80.64692604444372,300604,长川科技,bottom_area,2023-08-21,34.75,2023-08-21,34.7,0.1440922190201647,2.6512968299711654,30.138916851218035,False,-1.6973,1.2711,4,4,4,100.0,22.28739948284786,36.28082648300379,7.855907780979836,0.1440922190201647,历史4/4次成功; 当前距低点0.14%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
3,86.4323606849624,80.34035390910641,603348,文灿股份,bottom_area,2023-08-21,39.88,2023-08-21,39.8,0.20100502512564172,3.5427135678392054,32.1745057941377,False,-2.9211,1.139,4,4,4,100.0,21.33680304512298,31.539888682745836,7.7989949748743586,0.20100502512564172,历史4/4次成功; 当前距低点0.20%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
4,86.28934007801799,81.54099910677684,001266,宏英智能,bottom_area,2023-08-21,25.8,2023-08-17,25.53,1.057579318448882,5.875440658049354,27.51277683134582,False,-1.6768,5.6201,3,3,3,100.0,15.119784692689752,23.285351397121083,6.942420681551117,1.057579318448882,历史3/3次成功; 当前距低点1.06%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
5,85.39142165130015,79.84673469387758,002150,正泰电源,bottom_area,2023-08-21,13.79,2023-08-21,13.72,0.5102040816326422,1.6763848396501357,28.54166666666666,False,0.0,0.9159,1,1,1,100.0,164.87025948103792,164.87025948103792,7.489795918367357,0.5102040816326422,历史1/1次成功; 当前距低点0.51%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
6,85.18787791249055,79.02946482876003,688248,南网科技,bottom_area,2023-08-21,30.08,2023-08-21,30.05,0.09983361064891043,3.460898502495837,30.083759888320145,False,-2.2742,2.3536,3,3,3,100.0,29.715513231395445,49.406593406593416,7.9001663893510905,0.09983361064891043,历史3/3次成功; 当前距低点0.10%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
7,85.12500422091033,80.97873015818539,688286,敏芯股份,bottom_area,2023-08-21,47.67,2023-08-16,47.01,1.4039566049776722,7.679217187832375,28.338414634146336,False,-1.2635,0.552,3,3,3,100.0,16.34274848136819,25.016501650165008,6.596043395022328,1.4039566049776722,历史3/3次成功; 当前距低点1.40%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
8,83.52532592543697,79.82456444703018,002219,新里程,bottom_area,2023-08-21,3.71,2023-08-21,3.65,1.6438356164383578,3.835616438356168,29.807692307692314,False,0.0,0.5422,1,1,1,100.0,23.938223938223942,23.938223938223942,6.356164383561643,1.6438356164383578,历史1/1次成功; 当前距低点1.64%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
9,83.37907766111164,77.2459089912211,300474,景嘉微,bottom_area,2023-08-21,69.1,2023-08-21,69.08,0.0289519397799595,3.155761436016223,27.40647330811265,False,-1.8047,1.7046,2,2,2,100.0,35.92429792429792,59.857142857142854,7.97104806022004,0.0289519397799595,历史2/2次成功; 当前距低点0.03%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
10,83.36280676517144,77.3088337061651,002240,盛新锂能,bottom_area,2023-08-21,24.6,2023-08-21,24.58,0.08136696501221777,2.5223759153783605,30.36827195467422,False,-1.1254,0.9024,3,3,3,100.0,20.23844293759655,33.42198581560282,7.918633034987782,0.08136696501221777,历史3/3次成功; 当前距低点0.08%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
11,83.28231711835399,78.63120704146722,603051,鹿山新材,bottom_area,2023-08-21,33.92,2023-08-17,33.58,1.0125074449076934,5.002977963073257,32.46178600160901,False,-1.7096,2.2777,2,2,2,100.0,15.58991406374611,18.738110336081178,6.987492555092306,1.0125074449076934,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
